STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
AL,RICHARD C. SHELBY,U.S. SENATE,SR,MEDIA & ADS,6064601.369999999
AL,RICHARD C. SHELBY,U.S. SENATE,SR,CAMPAIGN CONSULTING,869773.47
AL,RICHARD C. SHELBY,U.S. SENATE,SR,FUNDRAISING & FUNDRAISING CONSULTING,563456.25
AL,RICHARD C. SHELBY,U.S. SENATE,SR,POLLING & RESEARCH,111700.0
AL,RICHARD C. SHELBY,U.S. SENATE,SR,PAYROLL TAX,107964.0
AL,RICHARD C. SHELBY,U.S. SENATE,SR,TRAVEL & LODGING,91958.99999999999
AL,RICHARD C. SHELBY,U.S. SENATE,SR,MEALS & CATERING,79057.79000000001
AL,RICHARD C. SHELBY,U.S. SENATE,SR,CAMPAIGN SIGNS & PARAPHERNALIA,73086.72
AL,RICHARD C. SHELBY,U.S. SENATE,SR,GENERAL OPERATIONS & SUPPLIES,37863.85
AL,RICHARD C. SHELBY,U.S. SENATE,SR,LEGAL SERVICES,36000.0
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,MEDIA & ADS,4349814.34
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,FUNDRAISING & FUNDRAISING CONSULTING,554589.31
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,DIGITAL & SOCIAL MEDIA CONSULTING,492969.82
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,CAMPAIGN CONSULTING,378023.79000000004
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,POLLING & RESEARCH,247803.78
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,CREDIT CARD PROCESSING FEES,238325.45
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,TRAVEL & LODGING,193840.52000000002
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,CREDIT CARD PAYMENT & BANK FEES,190812.06
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,"PR, COMMUNICATIONS, & MARKETING",180731.07
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,MEALS & CATERING,175428.94999999995
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,MEDIA & ADS,1788531.74
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,CREDIT CARD PROCESSING FEES,557461.63
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,CREDIT CARD PAYMENT & BANK FEES,500858.11000000004
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,CAMPAIGN CONSULTING,422909.36999999994
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,TRAVEL & LODGING,295381.14
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,FUNDRAISING & FUNDRAISING CONSULTING,245968.52000000002
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,SHIPPING & POSTAGE,235730.21
