STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
AL,RICHARD C. SHELBY,U.S. SENATE,SR,8162679.15
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,7593838.999999999
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,5437404.37
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,127158582.88000003
AZ,MARK KELLY,U.S. SENATE,JR,92160455.97999999
AZ,KYRSTEN SINEMA,U.S. SENATE,SR,25119745.27
AR,JOHN N. BOOZMAN,U.S. SENATE,SR,3606297.5900000003
AR,TOM COTTON,U.S. SENATE,JR,4454369.14
CA,DIANNE FEINSTEIN,U.S. SENATE,SR,13991478.6
CO,MICHAEL FARRAND BENNET,U.S. SENATE,SR,18407756.54
CO,JOHN WRIGHT HICKENLOOPER,U.S. SENATE,JR,39702421.849999994
CT,RICHARD BLUMENTHAL,U.S. SENATE,SR,4357621.71
CT,CHRISTOPHER S. MURPHY,U.S. SENATE,JR,6913286.76
DE,THOMAS RICHARD CARPER,U.S. SENATE,SR,2667961.18
DE,CHRISTOPHER A. COONS,U.S. SENATE,JR,4290419.0600000005
FL,MARCO RUBIO,U.S. SENATE,SR,17286806.9
FL,RICK SCOTT,U.S. SENATE,JR,82842476.5
GA,JON OSSOFF,U.S. SENATE,SR,146397236.36999997
GA,RAPHAEL WARNOCK,U.S. SENATE,JR,95538999.19
HI,MAZIE K. HIRONO,U.S. SENATE,JR,2665024.61
HI,BRIAN EMMANEUL SCHATZ,U.S. SENATE,SR,1426108.62
ID,MICHAEL D. CRAPO,U.S. SENATE,SR,4410241.409999999
ID,JAMES E. RISCH,U.S. SENATE,JR,1650949.1399999997
IL,TAMMY DUCKWORTH,U.S. SENATE,JR,8697641.26
IL,RICHARD J. DURBIN,U.S. SENATE,SR,7753437.859999999
IN,MIKE BRAUN,U.S. SENATE,JR,17142066.07
IN,TODD C. YOUNG,U.S. SENATE,SR,10956498.11
IA,JONI K. ERNST,U.S. SENATE,JR,27777912.52
IA,CHARLES E. GRASSLEY,U.S. SENATE,SR,9626190.42
KS,ROGER WAYNE MARSHALL,U.S. SENATE,JR,6868735.31
KS,JERRY W. MORAN,U.S. SENATE,SR,3677248.36
