STATE,NAME,OFFICE,DISTRICT,ELECTION YEAR,FEC NAME
AL,RICHARD C. SHELBY,U.S. SENATE,SR,2016,"SHELBY, RICHARD C"
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,2020,"TUBERVILLE, THOMAS H"
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,2016,"MURKOWSKI, LISA"
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,2020,"SULLIVAN, DAN"
AZ,MARK KELLY,U.S. SENATE,JR,2020,"KELLY, MARK"
AZ,KYRSTEN SINEMA,U.S. SENATE,SR,2018,"SINEMA, KYRSTEN"
AR,JOHN N. BOOZMAN,U.S. SENATE,SR,2016,"BOOZMAN, SEN. JOHN"
AR,TOM COTTON,U.S. SENATE,JR,2020,"COTTON, THOMAS"
CA,DIANNE FEINSTEIN,U.S. SENATE,SR,2018,"FEINSTEIN, DIANNE"
CO,MICHAEL FARRAND BENNET,U.S. SENATE,SR,2016,"BENNET, MICHAEL F"
CO,JOHN WRIGHT HICKENLOOPER,U.S. SENATE,JR,2020,"HICKENLOOPER, JOHN W."
CT,RICHARD BLUMENTHAL,U.S. SENATE,SR,2016,"BLUMENTHAL, RICHARD"
CT,CHRISTOPHER S. MURPHY,U.S. SENATE,JR,2018,"MURPHY, CHRISTOPHER S MR"
DE,THOMAS RICHARD CARPER,U.S. SENATE,SR,2018,"CARPER, THOMAS R"
DE,CHRISTOPHER A. COONS,U.S. SENATE,JR,2020,"COONS, CHRISTOPHER A"
FL,MARCO RUBIO,U.S. SENATE,SR,2016,"RUBIO, MARCO"
FL,RICK SCOTT,U.S. SENATE,JR,2018,"SCOTT, RICK SEN"
GA,JON OSSOFF,U.S. SENATE,SR,2020,"OSSOFF, T. JONATHAN"
GA,RAPHAEL WARNOCK,U.S. SENATE,JR,2020,"WARNOCK, RAPHAEL"
HI,MAZIE K. HIRONO,U.S. SENATE,JR,2018,"HIRONO, MAZIE K."
HI,BRIAN EMMANEUL SCHATZ,U.S. SENATE,SR,2016,"SCHATZ, BRIAN"
ID,MICHAEL D. CRAPO,U.S. SENATE,SR,2016,"CRAPO, MICHAEL D"
ID,JAMES E. RISCH,U.S. SENATE,JR,2020,"RISCH, JAMES E MR"
IL,TAMMY DUCKWORTH,U.S. SENATE,JR,2016,"DUCKWORTH, L TAMMY"
IL,RICHARD J. DURBIN,U.S. SENATE,SR,2020,"DURBIN, RICHARD J"
IN,MIKE BRAUN,U.S. SENATE,JR,2018,"BRAUN, MIKE"
IN,TODD C. YOUNG,U.S. SENATE,SR,2016,"YOUNG, TODD CHRISTOPHER"
IA,JONI K. ERNST,U.S. SENATE,JR,2020,"ERNST, JONI K"
IA,CHARLES E. GRASSLEY,U.S. SENATE,SR,2016,"GRASSLEY, CHARLES E"
KS,ROGER WAYNE MARSHALL,U.S. SENATE,JR,2020,"MARSHALL, ROGER W"
KS,JERRY W. MORAN,U.S. SENATE,SR,2016,"MORAN, JERRY"
KY,ADDISON MITCHELL MCCONNELL,U.S. SENATE,SR,2020,"MCCONNELL, MITCH"
KY,RAND PAUL,U.S. SENATE,JR,2016,"PAUL, RAND"
LA,WILLIAM CASSIDY,U.S. SENATE,SR,2020,"CASSIDY, WILLIAM M."
LA,JOHN NEELY KENNEDY,U.S. SENATE,JR,2016,"KENNEDY, JOHN NEELY"
ME,SUSAN MARGARET COLLINS,U.S. SENATE,SR,2020,"COLLINS, SUSAN M"
ME,ANGUS S. KING,U.S. SENATE,JR,2018,"KING, ANGUS S. JR."
MD,BENJAMIN L. CARDIN,U.S. SENATE,SR,2018,"CARDIN, BENJAMIN L"
MD,CHRISTOPHER VAN HOLLEN,U.S. SENATE,JR,2016,"SMITH, CHRISTOPHER BARTHOLOMEW"
MA,EDWARD J. MARKEY,U.S. SENATE,JR,2020,"MARKEY, EDWARD JOHN MR"
MA,ELIZABETH ANN WARREN,U.S. SENATE,SR,2018,"WARREN, ELIZABETH"
MI,GARY C. PETERS,U.S. SENATE,JR,2020,"PETERS, GARY"
MI,DEBBIE ANN STABENOW,U.S. SENATE,SR,2018,"STABENOW, DEBBIE"
MN,AMY JEAN KLOBUCHAR,U.S. SENATE,SR,2018,"KLOBUCHAR, AMY"
MN,TINA SMITH,U.S. SENATE,JR,2020,"SMITH, TINA"
MS,CINDY HYDE-SMITH,U.S. SENATE,JR,2020,"HYDE-SMITH, CINDY"
MS,ROGER F. WICKER,U.S. SENATE,SR,2018,"WICKER, ROGER F"
MO,ROY BLUNT,U.S. SENATE,SR,2016,"BLUNT, ROY"
MO,JOSHUA DAVID HAWLEY,U.S. SENATE,JR,2018,"HAWLEY, JOSHUA DAVID"
MT,STEVE DAINES,U.S. SENATE,JR,2020,"DAINES, STEVEN"
