NAME,CATEGORY
1600 STRATEGIES,DIGITAL & SOCIAL MEDIA CONSULTING
1892 LLC,POLLING & RESEARCH
3 DOG CONSULTING LTD,FUNDRAISING & FUNDRAISING CONSULTING
360 CAMPAIGN CONSULTING,CAMPAIGN CONSULTING
4C PARTNERS,FUNDRAISING & FUNDRAISING CONSULTING
4DEGREES,DIGITAL ADVERTISING
50 PLUS 1 STRATEGIES (50+1 STRATEGIES),CAMPAIGN CONSULTING
500 NORTH TRYON LLC,OFFICE EXPENSES
76 WORDS,MEDIA & ADS
814 CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
9SEVEN CONSULTING,COMPLIANCE CONSULTING/SERVICES
AARON THOMAS & ASSOCIATES,DIRECT MAIL
AB DATA,DATA & DATABASE SERVICES
ABH CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
ABSB RESOURCES,GENERAL OPERATIONS & SUPPLIES
ACCELEVATE,CAMPAIGN CONSULTING
ACE SPECIALTIES,"PR, COMMUNICATIONS, & MARKETING"
ACS SOUND AND LIGHTING,EVENT EXPENSES
ACTBLUE,CREDIT CARD PROCESSING FEES
ACTION COMMITTEE MARKETING,"PR, COMMUNICATIONS, & MARKETING"
ACTION MAILERS,PRINTING
ACTION MAILING,DIRECT MAIL
ACTION SQUARED,CREDIT CARD PROCESSING FEES
ACTIVE ENGAGEMENT,FUNDRAISING & FUNDRAISING CONSULTING
STANLEY ADAIR,CRIMINAL INVESTIGATION OF THE US GOVERNMENT AND ELECTION
ADCO PRINTING AND GRAPHICS,PRINTING
ADELSTEIN ASSOCIATES,DIGITAL ADVERTISING
AUTOMATIC DATA PROCESSING (ADP) (FEES),SALARY & PAYROLL PROCESSING FEES
AUTOMATIC DATA PROCESSING (ADP) (PAYROLL TAX),PAYROLL TAX
AUTOMATIC DATA PROCESSING (ADP) (PAYROLL),SALARY & PAYROLL
ADVANCED AVIATION,TRAVEL & LODGING
ADVANCED NETWORK STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
ADVANCED RESPONSE SYSTEMS,SHIPPING & POSTAGE
ADVANTAGE DIRECT COMMUNICATIONS,DIRECT MAIL
ADVERTISING ANALYTICS,MEDIA & ADS
ADVICTORY,DIGITAL ADVERTISING
AEGIS PROCESSING SOLUTIONS,DIRECT MAIL
AETNA,INSURANCE
AIDEM,MEDIA & ADS
AIR PARTNER,TRAVEL & LODGING
AIRBNB,TRAVEL & LODGING
AISLE 518 STRATEGIES,DIGITAL ADVERTISING
AJ STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
AKM CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
AKPD MESSAGE AND MEDIA,MEDIA & ADS
AL MEDIA (ADELSTEIN LISTON),MEDIA & ADS
AL STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
ALASKA AIRLINES,TRAVEL & LODGING
ALERION JETS,TRAVEL & LODGING
ALL MOBILE VIDEO,MEDIA & ADS
ALLEGIANCE DIRECT,DIRECT MAIL
ALLEGIANCE STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
ALLEN SCHNASER,OFFICE EXPENSES
ALLSCOPE SERVICES,MEDIA & ADS
ALVARADO CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
AMALGAMATED BANK,CREDIT CARD PAYMENT & BANK FEES
AMAZON,OFFICE EXPENSES
AMAZON WEB SERVICES/DIRECT CONNECT,DATA & DATABASE SERVICES
AMERICA DIRECT,DIRECT MAIL
AMERICA FIRST POLICIES,POLITICAL FUNDS & GROUPS
AMERICA RISING,CAMPAIGN CONSULTING
AMERICA VOTES,POLITICAL FUNDS & GROUPS
AMERICAN ACTION NETWORK,SOFTWARE & TECHNOLOGY
AMERICAN AIRLINES,TRAVEL & LODGING
AMERICAN AUDIO VISUAL,MEDIA & ADS
AMERICAN CROSSROADS,POLITICAL FUNDS & GROUPS
AMERICAN EXPRESS (AMEX),CREDIT CARD PAYMENT & BANK FEES
AMERICAN LIBERTY GROUP,FUNDRAISING & FUNDRAISING CONSULTING
AMERICAN MADE MEDIA CONSULTANTS,MEDIA & ADS
AMERICAN MEDIA ADVOCACY GROUP,MEDIA & ADS
AMERICAN PCI SERVICES,SOFTWARE & TECHNOLOGY
AMERICAN PUBLIC RESOURCE,LEGAL SERVICES
AMERICAN TECHNOLOGY SERVICES,SOFTWARE & TECHNOLOGY
AMERICAN VIEWPOINT,POLLING & RESEARCH
AMERICANS FOR PROSPERITY,POLITICAL FUNDS & GROUPS
AMH PRINT GROUP,PRINTING
AMM POLITICAL STRATEGIES,CAMPAIGN CONSULTING
AMPLIFY MEDIA,MEDIA & ADS
AMPLIFY.AI,SOFTWARE & TECHNOLOGY
AMS COMMUNICATIONS,DIRECT MAIL
AMTRAK,TRAVEL & LODGING
ANEDOT,CREDIT CARD PROCESSING FEES
ANGERHOLZER BROZ CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
ANGLE MASTAGNI MATTHEWS POLITICAL STRATEGIES,CAMPAIGN CONSULTING
ANNE LEWIS STRATEGIES,DIGITAL & SOCIAL MEDIA CONSULTING
ANTHEM BLUE CROSS,INSURANCE
ANTHEM MEDIA,MEDIA & ADS
ANZALONE LISZT GROVE RESEARCH,POLLING & RESEARCH
AON RISK SERVICES NORTHEAST,INSURANCE
APARTMENT LUXE REALTY GROUP,OFFICE EXPENSES
APOLLO JETS,EVENT EXPENSES
APPLE,SOFTWARE & TECHNOLOGY
ARCUS GROUP,EVENT EXPENSES
ARDLEIGH GROUP,CANVASSING & FIELD WORK
ARENA,DIGITAL ADVERTISING
ARISTEIA GROUP,FUNDRAISING & FUNDRAISING CONSULTING
ARISTOTLE,CREDIT CARD PROCESSING FEES
ARSENAL MEDIA GROUP,MEDIA & ADS
ARTHUR J GALLAGHER,INSURANCE
ARTISAN 2,PRINTING
ASCENSUS TRUST,COMPLIANCE SERVICES
ASCENT MEDIA,MEDIA & ADS
ASHLEY EVENTS,EVENT EXPENSES
ASHTON MEDIA,MEDIA & ADS
ASP MEDIA,MEDIA & ADS
ASSEMBLE THE AGENCY,DIGITAL & SOCIAL MEDIA CONSULTING
ASSEMBLY,MEDIA & ADS
AT EASE ADVISORS,CAMPAIGN CONSULTING
AT SCALE,DIRECT MAIL
ATA INTERNET MARKETING DIVISION,"PR, COMMUNICATIONS, & MARKETING"
ATLAS STRATEGY GROUP,FUNDRAISING & FUNDRAISING CONSULTING
AT&T,UTILITIES
AUDIO VISUAL ADVISORS,MEDIA & ADS
AUTHENTIC CAMPAIGNS,COMPLIANCE SERVICES
AUTHORIZENET,CREDIT CARD PROCESSING FEES
AVALARA,COMPLIANCE SERVICES
AVIS,TRAVEL & LODGING
AX MEDIA,MEDIA & ADS
AXIOM STRATEGIES,CAMPAIGN CONSULTING
AXIOM WORLDWIDE LOGISTIX,EVENT EXPENSES
AXIS RESEARCH,POLLING & RESEARCH
BAKER HOSTETLER,LEGAL SERVICES
BALLOT ACCESS,CAMPAIGN CONSULTING
BANGOR PAYROLL SERVICES,SALARY & PAYROLL PROCESSING FEES
BANK OF AMERICA,CREDIT CARD PAYMENT & BANK FEES
BANKCARD CENTER,CREDIT CARD PROCESSING FEES
BARBARIAN GROUP,DIGITAL & SOCIAL MEDIA CONSULTING
BASECAMP STRATEGY,DIGITAL & SOCIAL MEDIA CONSULTING
BASSWOOD RESEARCH,POLLING & RESEARCH
BATTLEAXE DIGITAL STRATEGIES,DIGITAL ADVERTISING
BAUGHMANMERRILL,DIGITAL & SOCIAL MEDIA CONSULTING
BB&T BANK,CREDIT CARD PAYMENT & BANK FEES
BLUE CROSS BLUE SHIELD OF VERMONT (BCBSVT),INSURANCE
BEACON MEDIA,MEDIA & ADS
BEACON RESEARCH,POLLING & RESEARCH
BELARDI WONG,DIRECT MAIL
BELIEVE MEDIA,MEDIA & ADS
BENCHMARK STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
BENENSON STRATEGY GROUP,CAMPAIGN CONSULTING
BERGER HIRSCHBERG STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
BERGMANN ZWERDLING DIRECT,DIRECT MAIL
BERLIN ROSEN,CAMPAIGN CONSULTING
BEST BUY,OFFICE EXPENSES
BETH FOSTER CONSULTANTS,CAMPAIGN CONSULTING
BF DIRECT,DIRECT MAIL
BG CAUSES,DIGITAL & SOCIAL MEDIA CONSULTING
BH PHOTO,MEDIA & ADS
BIG DOG STRATEGIES,CAMPAIGN CONSULTING
BIGEYE DIRECT,DIRECT MAIL
BILLINGS GAZETTE,GENERAL OPERATIONS & SUPPLIES
BISTRO BIS,MEALS & CATERING
BLACK PINE FILMS,MEDIA & ADS
BLACK ROCK GROUP,CAMPAIGN CONSULTING
BLACK TIE PROTECTION SERVICES,GENERAL OPERATIONS & SUPPLIES
BLEACHERS ON DEMAND,EVENT EXPENSES
BLOOMBERG LP,SOFTWARE & TECHNOLOGY
BLUE ACTION,POLITICAL FUNDS & GROUPS
BLUE BIRD CONSULTING,COMPLIANCE SERVICES
BLUE CROSS,INSURANCE
BLUE DEAL,PRINTING
BLUE LABS ANALYTICS,DATA & DATABASE SERVICES
BLUE STATE,SOFTWARE & TECHNOLOGY
BLUE WAVE POLITICAL PARTNERS,CAMPAIGN CONSULTING
BLUE WEST MEDIA,MEDIA & ADS
BLUEBONNET FUNDRAISING,FUNDRAISING & FUNDRAISING CONSULTING
BLUEPRINT INTERACTIVE,DIGITAL ADVERTISING
BLUEPRINT STRATEGY,FUNDRAISING & FUNDRAISING CONSULTING
BNY PRODUCTION,MEDIA & ADS
BOGART ASSOCIATES,FUNDRAISING & FUNDRAISING CONSULTING
BOLD COLORS GROUP,ACCOUNTING & FINANCIAL MANAGEMENT
BONNER GROUP,FUNDRAISING & FUNDRAISING CONSULTING
BOOKSAMILLION,GENERAL OPERATIONS & SUPPLIES
BOWELS RICE,LEGAL SERVICES
BRABENDER COX,"PR, COMMUNICATIONS, & MARKETING"
BRADDOCK ROAD STRATEGIES,MEDIA & ADS
BRADLEY PATRICK GROUP,FUNDRAISING & FUNDRAISING CONSULTING
BRAINTREE,CREDIT CARD PROCESSING FEES
BRANFORD COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
BREAK SOMETHING,DIGITAL & SOCIAL MEDIA CONSULTING
BREAKER PRESS CO,PRINTING
BREAKTHROUGH CAMPAIGNS,POLLING & RESEARCH
BREX,CREDIT CARD PAYMENT & BANK FEES
BRIGHT COMPASS,"PR, COMMUNICATIONS, & MARKETING"
BRILLIANT CORNERS RESEARCH STRATEGIES,POLLING & RESEARCH
BROADPOINT,SOFTWARE & TECHNOLOGY
BROGHAMER CONSULTING,COMPLIANCE SERVICES
BRUSHFIRE,EVENT EXPENSES
BUDGET,TRAVEL & LODGING
BULLHORN COMMUNICATIONS,MEDIA & ADS
BULLSEYE MARKETING,DIRECT MAIL
BULLY PULPIT INTERACTIVE,DIGITAL ADVERTISING
BUMPERACTIVE,PRINTING
BURDICK CONSULTING GROUP,FUNDRAISING & FUNDRAISING CONSULTING
BURRELL COMMUNICATIONS GROUP,"PR, COMMUNICATIONS, & MARKETING"
BUYING TIME MEDIA,MEDIA & ADS
BW MEDIA,MEDIA & ADS
C FORBES,FUNDRAISING & FUNDRAISING CONSULTING
C3 PUBLIC STRATEGIES,CAMPAIGN CONSULTING
CALI FAME,GENERAL OPERATIONS & SUPPLIES
CALIFORNIA ASSOCIATION OF REALTORS,GENERAL OPERATIONS & SUPPLIES
CAMELBACK STRATEGY GROUP,CAMPAIGN CONSULTING
CAMPAIGN COMMUNICATION SOLUTIONS,DIGITAL & SOCIAL MEDIA CONSULTING
CAMPAIGN COMPLIANCE GROUP,COMPLIANCE SERVICES
CAMPAIGN CONSULTING GROUP,CAMPAIGN CONSULTING
CAMPAIGN FINANCE CONSULTANTS,FUNDRAISING & FUNDRAISING CONSULTING
CAMPAIGN FINANCE SOLUTIONS,ACCOUNTING & FINANCIAL MANAGEMENT
CAMPAIGN FINANCIAL SERVICES,ACCOUNTING & FINANCIAL MANAGEMENT
CAMPAIGN FUNDING DIRECT,DIRECT MAIL
CAMPAIGN GENERAL,DIRECT MAIL
CAMPAIGN INBOX,CREDIT CARD PROCESSING FEES
CAMPAIGN INDUSTRIES,CANVASSING & FIELD WORK
CAMPAIGN RESOURCE GROUP,FUNDRAISING & FUNDRAISING CONSULTING
CAMPAIGN SIDEKICK,CAMPAIGN CONSULTING
CAMPAIGN SOLUTIONS,DIGITAL & SOCIAL MEDIA CONSULTING
CAMPAIGNHQ,FUNDRAISING & FUNDRAISING CONSULTING
CANAL PARTNERS MEDIA,MEDIA & ADS
CANVASS AMERICA,CANVASSING & FIELD WORK
CAPELIANIS CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
CAPITAL CORNERED,FUNDRAISING & FUNDRAISING CONSULTING
CAPITAL GRILLE,MEALS & CATERING
CAPITAL ONE,CREDIT CARD PAYMENT & BANK FEES
CAPITAL SOLUTIONS AMERICAN UNIONS EMBROIDERY SCREENPRINTING,PRINTING
CAPITAL STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
CAPITOL CAGING,ACCOUNTING & FINANCIAL MANAGEMENT
CAPITOL COMPLIANCE ASSOCIATES,COMPLIANCE SERVICES
CAPITOL HILL CLUB,MEALS & CATERING
CAPITOL HILL LISTS,TRAVEL & LODGING
CAPLIN DRYSDALE,LEGAL SERVICES
CARDMEMBER SERVICE/CARD SERVICE CENTER,CREDIT CARD PAYMENT & BANK FEES
CAREFIRST BLUECROSS BLUESHIELD,INSURANCE
