STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,ANDREW JONES,STATE SENATE,10,GENERAL OPERATIONS & SUPPLIES,259804.28
ALABAMA,ANDREW JONES,STATE SENATE,10,CREDIT CARD PROCESSING FEES,55304.35
ALABAMA,ANDREW JONES,STATE SENATE,10,MEDIA & ADS,26814.25
ALABAMA,ANDREW JONES,STATE SENATE,10,REIMBURSEMENT,9790.880000000001
ALABAMA,ANDREW JONES,STATE SENATE,10,SHIPPING & POSTAGE,8712.3
ALABAMA,ANDREW JONES,STATE SENATE,10,DIRECT MAIL,7077.55
ALABAMA,ANDREW JONES,STATE SENATE,10,PRINTING,6410.289999999999
ALABAMA,ANDREW JONES,STATE SENATE,10,CAMPAIGN CONSULTING,5000.0
ALABAMA,ANDREW JONES,STATE SENATE,10,DIGITAL ADVERTISING,4142.83
ALABAMA,ANDREW JONES,STATE SENATE,10,OFFICE EXPENSES,2921.3999999999996
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,GENERAL OPERATIONS & SUPPLIES,13002.73
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,CAMPAIGN CONSULTING,7700.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,CONTRIBUTION & DONATION,4875.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,CAMPAIGN SIGNS & PARAPHERNALIA,3256.36
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,TRAVEL & LODGING,2783.79
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,FUEL & GAS,2680.94
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,CREDIT CARD PAYMENT & BANK FEES,2646.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,MEALS & CATERING,2113.87
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,SALARY & PAYROLL,1405.19
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,POLITICAL FUNDS & GROUPS,1125.1399999999999
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,PRINTING,5217.99
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,POLITICAL FUNDS & GROUPS,3369.2799999999997
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,GENERAL OPERATIONS & SUPPLIES,3361.5499999999997
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,EVENT EXPENSES,1955.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,CONTRIBUTION & DONATION,1822.12
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,MEALS & CATERING,1141.62
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,SHIPPING & POSTAGE,458.20000000000005
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,UTILITIES,200.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,TRAVEL & LODGING,150.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,CREDIT CARD PAYMENT & BANK FEES,125.0
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,MEDIA & ADS,13345.0
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,CONTRIBUTION & DONATION,5331.860000000001
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,UTILITIES,3411.55
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,GENERAL OPERATIONS & SUPPLIES,3106.43
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,EVENT EXPENSES,3000.0
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,CREDIT CARD PAYMENT & BANK FEES,1596.29
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,CANVASSING & FIELD WORK,1500.0
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,SALARY & PAYROLL,1463.87
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,PRINTING,1135.2
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,POLITICAL FUNDS & GROUPS,925.14
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,CAMPAIGN CONSULTING,61159.11
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,GENERAL OPERATIONS & SUPPLIES,23041.32
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,PRINTING,11078.62
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,CAMPAIGN SIGNS & PARAPHERNALIA,9189.369999999999
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,MEDIA & ADS,7655.0
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,DIGITAL & SOCIAL MEDIA CONSULTING,5000.0
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,DIRECT MAIL,4366.46
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,POLITICAL FUNDS & GROUPS,1805.1399999999999
