STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
ALABAMA,STEVE HURST,STATE HOUSE,35,0.0
ALABAMA,ANDREW JONES,STATE SENATE,10,394480.46
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,44052.11
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,17821.449999999997
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,35851.59
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,126758.38
ALABAMA,ARTHUR W. ORR,STATE SENATE,3,35990.36
ALABAMA,JAMIE KIEL,STATE HOUSE,18,141732.09999999998
ALABAMA,DONNIE CHESTEEN,STATE SENATE,29,15309.64
ALABAMA,BECKY NORDGREN,STATE HOUSE,29,95159.23
ALABAMA,ED OLIVER,STATE HOUSE,81,88444.67
ALABAMA,RODNEY SULLIVAN,STATE HOUSE,61,93665.47
ALABAMA,RANDY WOOD,STATE HOUSE,36,76625.51
ALABAMA,MARY MOORE,STATE HOUSE,59,42399.76
ALABAMA,MIKE JONES,STATE HOUSE,92,43546.22
ALABAMA,KAY E. IVEY,GOVERNOR,,8550560.29
ALABAMA,VAN SMITH,STATE HOUSE,42,0.0
ALABAMA,DAVID SESSIONS,STATE SENATE,35,160795.14
ALABAMA,JUANDALYNN DELEATHIA GIVAN,STATE HOUSE,60,63020.83
ALABAMA,LOUISE ALEXANDER,STATE HOUSE,56,64104.64
ALABAMA,ALAN BAKER,STATE HOUSE,66,66479.55
ALABAMA,PRONCEY ROBERTSON,STATE HOUSE,7,89928.0
ALABAMA,JOHN W. ROGERS,STATE HOUSE,52,29557.959999999995
ALABAMA,TOM WHATLEY,STATE SENATE,27,982461.4099999999
ALABAMA,BOB FINCHER,STATE HOUSE,37,22596.82
ALABAMA,LYNN GREER,STATE HOUSE,2,179424.14
ALABAMA,RICH WINGO,STATE HOUSE,62,33575.56
ALABAMA,DEL MARSH,STATE SENATE,12,1037198.8999999999
ALABAMA,TERRI COLLINS,STATE HOUSE,8,130172.57
ALABAMA,CHRIS SELLS,STATE HOUSE,90,157961.44
ALABAMA,ANDY WHITT,STATE HOUSE,6,42772.81
ALABAMA,TRACY ESTES,STATE HOUSE,17,124906.79000000002
ALABAMA,JOE FLOY LOVVORN,STATE HOUSE,79,127752.76
ALABAMA,VIVIAN DAVIS FIGURES,STATE SENATE,33,208245.71
ALABAMA,CLAY SCOFIELD,STATE SENATE,9,66093.70000000001
ALABAMA,JOHN W. WILLIAMS,STATE SENATE,34,13602.53
ALABAMA,REED INGRAM,STATE HOUSE,75,2703.5999999999995
ALABAMA,JIM HILL,STATE HOUSE,50,8703.76
ALABAMA,NEIL RAFFERTY,STATE HOUSE,54,119026.04999999999
ALABAMA,RODGER MELL SMITHERMAN,STATE SENATE,18,124709.72999999998
ALABAMA,ALLEN FARLEY,STATE HOUSE,15,54173.98999999999
ALABAMA,RODERICK HAMPTON SCOTT,STATE HOUSE,55,0.0
ALABAMA,RHETT MARQUES,STATE HOUSE,91,109810.66
ALABAMA,WES KITCHENS,STATE HOUSE,27,0.0
ALABAMA,WILLIAMS AINSWORTH,LIEUTENANT GOVERNOR,,0.0
ALABAMA,PRINCE CHESTNUT,STATE HOUSE,67,67748.87999999999
ALABAMA,REX REYNOLDS,STATE HOUSE,21,133201.31
ALABAMA,SAM JONES,STATE HOUSE,99,117422.3
ALABAMA,TASHINA MORRIS,STATE HOUSE,77,18833.35
ALABAMA,JIM MCCLENDON,STATE SENATE,11,106875.76999999999
ALABAMA,SHANE STRINGER,STATE HOUSE,102,92844.84
ALABAMA,RANDY PRICE,STATE SENATE,13,512392.34
ALABAMA,KOVEN L. BROWN,STATE HOUSE,40,43712.49
ALABAMA,ANDREW SORRELL,STATE HOUSE,3,369256.23
ALABAMA,DANNY F. CRAWFORD,STATE HOUSE,5,37261.3
ALABAMA,COREY HARBISON,STATE HOUSE,12,95245.81
ALABAMA,JIM CARNS,STATE HOUSE,48,125568.28
ALABAMA,JIMMY W. HOLLEY,STATE SENATE,31,14843.119999999999
ALABAMA,CORLEY ELLIS,STATE HOUSE,41,46141.159999999996
ALABAMA,CHRIS PRINGLE,STATE HOUSE,101,7266.89
ALABAMA,BENJAMIN ALLEN TREADAWAY,STATE HOUSE,51,23697.95
ALABAMA,DAVID FAULKNER,STATE HOUSE,46,189659.33
ALABAMA,MALIKA SANDERS-FORTIER,STATE SENATE,23,66941.98000000001
ALABAMA,JEFF SORRELLS,STATE HOUSE,87,46019.68
ALABAMA,GINNY SHAVER,STATE HOUSE,39,72780.13999999998
ALABAMA,PEBBLIN WALKER WARREN,STATE HOUSE,82,164404.93
ALABAMA,MIKE HOLMES,STATE HOUSE,31,120056.65000000001
ALABAMA,WILLIAM M. BEASLEY,STATE SENATE,28,26812.800000000003
ALABAMA,CONNIE COONER ROWE,STATE HOUSE,13,32327.489999999998
