STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,EVENT EXPENSES,83886.29
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,SHIPPING & POSTAGE,8131.2
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,CREDIT CARD PROCESSING FEES,5097.3099999999995
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,DIGITAL ADVERTISING,4988.68
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,PRINTING,4331.55
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,SOFTWARE & TECHNOLOGY,4239.88
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,MEDIA & ADS,1428.01
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,GENERAL OPERATIONS & SUPPLIES,898.1500000000001
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,OFFICE EXPENSES,511.24
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,MEALS & CATERING,486.71
ARIZONA,JOEL JOHN,STATE HOUSE,4,PRINTING,34617.51
ARIZONA,JOEL JOHN,STATE HOUSE,4,EVENT EXPENSES,26731.93
ARIZONA,JOEL JOHN,STATE HOUSE,4,MEDIA & ADS,16866.55
ARIZONA,JOEL JOHN,STATE HOUSE,4,CREDIT CARD PROCESSING FEES,1800.0
ARIZONA,JOEL JOHN,STATE HOUSE,4,CREDIT CARD PAYMENT & BANK FEES,1374.8
ARIZONA,JOEL JOHN,STATE HOUSE,4,TRAVEL & LODGING,930.75
ARIZONA,JOEL JOHN,STATE HOUSE,4,DIGITAL ADVERTISING,608.1
ARIZONA,JOEL JOHN,STATE HOUSE,4,GENERAL OPERATIONS & SUPPLIES,470.2
ARIZONA,JOEL JOHN,STATE HOUSE,4,FUEL & GAS,461.62
ARIZONA,JOEL JOHN,STATE HOUSE,4,SOFTWARE & TECHNOLOGY,329.2800000000001
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,EVENT EXPENSES,23413.86
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,CAMPAIGN SIGNS & PARAPHERNALIA,4500.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,GENERAL OPERATIONS & SUPPLIES,291.02
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,SHIPPING & POSTAGE,19.14
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,OFFICE EXPENSES,6.57
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,0,0.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,0,0.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,0,0.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,0,0.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,0,0.0
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,EVENT EXPENSES,49547.38
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,PRINTING,14270.43
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,DIGITAL ADVERTISING,7379.61
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,MEDIA & ADS,6327.24
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,GENERAL OPERATIONS & SUPPLIES,3298.53
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,CREDIT CARD PROCESSING FEES,2117.77
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,POLITICAL FUNDS & GROUPS,1750.0
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,CAMPAIGN SIGNS & PARAPHERNALIA,1550.0
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,CREDIT CARD PAYMENT & BANK FEES,1124.5300000000002
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,SHIPPING & POSTAGE,1077.6
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,EVENT EXPENSES,59299.8
ARIZONA,REGINA E. COBB,STATE HOUSE,5,GENERAL OPERATIONS & SUPPLIES,23858.65
ARIZONA,REGINA E. COBB,STATE HOUSE,5,CAMPAIGN CONSULTING,11630.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,OFFICE EXPENSES,538.27
ARIZONA,REGINA E. COBB,STATE HOUSE,5,TRAVEL & LODGING,455.53
ARIZONA,REGINA E. COBB,STATE HOUSE,5,SHIPPING & POSTAGE,254.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,CREDIT CARD PROCESSING FEES,146.64
ARIZONA,REGINA E. COBB,STATE HOUSE,5,MEALS & CATERING,31.93
ARIZONA,REGINA E. COBB,STATE HOUSE,5,FUEL & GAS,27.75
ARIZONA,REGINA E. COBB,STATE HOUSE,5,0,0.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,PRINTING,15290.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,EVENT EXPENSES,13587.85
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,GENERAL OPERATIONS & SUPPLIES,9856.07
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,SOFTWARE & TECHNOLOGY,4683.14
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,CANVASSING & FIELD WORK,3083.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,MEALS & CATERING,2305.12
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,UTILITIES,1240.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,MEDIA & ADS,595.21
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,OFFICE EXPENSES,541.6700000000001
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,WEBSITE SERVICES,174.20999999999998
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,PRINTING,14956.65
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,EVENT EXPENSES,7955.12
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,GENERAL OPERATIONS & SUPPLIES,3544.06
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,DIGITAL ADVERTISING,2065.86
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,CAMPAIGN SIGNS & PARAPHERNALIA,1799.0
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,OFFICE EXPENSES,946.95
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,"PR, COMMUNICATIONS, & MARKETING",450.7
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,WEBSITE SERVICES,324.0
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,0,0.0
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,0,0.0
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,EVENT EXPENSES,144776.4
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,DATA & DATABASE SERVICES,41522.0
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,PRINTING,14540.84
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,"PR, COMMUNICATIONS, & MARKETING",13456.0
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,GENERAL OPERATIONS & SUPPLIES,12864.990000000002
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,CAMPAIGN SIGNS & PARAPHERNALIA,5856.070000000001
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,SHIPPING & POSTAGE,5194.46
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,MEDIA & ADS,1114.46
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,MEALS & CATERING,1015.98
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,CREDIT CARD PROCESSING FEES,636.28
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,EVENT EXPENSES,92411.72
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,MEDIA & ADS,63180.08
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,DIRECT MAIL,34611.34
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,POLITICAL FUNDS & GROUPS,27204.340000000004
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,CREDIT CARD PROCESSING FEES,8446.28
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,SOFTWARE & TECHNOLOGY,7928.4
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,PRINTING,4224.89
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,SHIPPING & POSTAGE,1166.07
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,DIGITAL ADVERTISING,885.3700000000001
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,WEBSITE SERVICES,858.75
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,EVENT EXPENSES,32243.4
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,PRINTING,8469.17
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,"PR, COMMUNICATIONS, & MARKETING",4707.81
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,DIGITAL & SOCIAL MEDIA CONSULTING,3466.75
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,CAMPAIGN SIGNS & PARAPHERNALIA,1315.99
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,TRAVEL & LODGING,1000.0
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,SOFTWARE & TECHNOLOGY,402.52
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,CREDIT CARD PROCESSING FEES,215.69999999999996
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,GENERAL OPERATIONS & SUPPLIES,123.79
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,SHIPPING & POSTAGE,106.0
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,EVENT EXPENSES,40100.49
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,MEDIA & ADS,7300.0
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,PRINTING,6812.25
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,UTILITIES,6143.55
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,DIGITAL ADVERTISING,3948.2100000000005
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,GENERAL OPERATIONS & SUPPLIES,3159.22
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,FUEL & GAS,2621.3800000000006
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,MEALS & CATERING,2342.15
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,CANVASSING & FIELD WORK,2083.0
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,SOFTWARE & TECHNOLOGY,971.7900000000003
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0,0.0
