STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,114049.01999999999
ARIZONA,JOEL JOHN,STATE HOUSE,4,84538.57999999999
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,28230.59
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,91241.72
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,96242.57
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,51588.63
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,32042.34
ARIZONA,SHAWNNA BOLICK,STATE HOUSE,20,241906.03999999998
ARIZONA,AARON LIEBERMAN,STATE HOUSE,28,241208.24
ARIZONA,TRAVIS GRANTHAM,STATE HOUSE,12,52081.12999999999
ARIZONA,DIEGO ESPINOZA,STATE HOUSE,19,76367.29
ARIZONA,ANDRÉS CANO,STATE HOUSE,3,0.0
ARIZONA,REGINALD BOLDING,STATE HOUSE,27,71885.21
ARIZONA,SEAN BOWIE,STATE SENATE,18,209218.92
ARIZONA,OTONIEL NAVARRETE,STATE SENATE,30,6.0
ARIZONA,ATHENA SALMAN,STATE HOUSE,26,45112.56
ARIZONA,DENISE EPSTEIN,STATE HOUSE,18,95911.14
ARIZONA,VENDEN LEACH,STATE SENATE,11,119621.19999999998
ARIZONA,JEFF WENINGER,STATE HOUSE,17,0.0
ARIZONA,RAQUEL TERÁN,STATE HOUSE,30,0.0
ARIZONA,MARTíN J. QUEZADA,STATE SENATE,29,0.0
ARIZONA,RANDALL FRIESE,STATE HOUSE,9,70379.40000000001
ARIZONA,AMISH SHAH,STATE HOUSE,24,57059.439999999995
ARIZONA,LEO BIASIUCCI,STATE HOUSE,5,0.0
ARIZONA,JUSTIN WILMETH,STATE HOUSE,15,0.0
ARIZONA,TYLER PACE,STATE SENATE,25,8060.049999999999
ARIZONA,ANDREA DALESSANDRO,STATE HOUSE,2,54434.14000000001
ARIZONA,KELLY TOWNSEND,STATE SENATE,16,0.0
ARIZONA,WENDY J. ROGERS,STATE SENATE,6,1153346.97
ARIZONA,MELODY HERNANDEZ,STATE HOUSE,26,42481.17
ARIZONA,BRENDA J. BARTON,STATE HOUSE,6,58110.78
ARIZONA,MYRON TSOSIE,STATE HOUSE,7,0.0
ARIZONA,TIMOTHY DUNN,STATE HOUSE,13,136575.86
ARIZONA,WARREN PETERSEN,STATE SENATE,12,28891.47
ARIZONA,JAKE HOFFMAN,STATE HOUSE,12,26425.129999999994
ARIZONA,QUANG NGUYEN,STATE HOUSE,1,36024.05
ARIZONA,RUSSELL W. BOWERS,STATE HOUSE,25,97801.4
ARIZONA,CHARLENE R. FERNANDEZ,STATE HOUSE,4,127935.51999999999
ARIZONA,MARK FINCHEM,STATE HOUSE,11,73287.42000000001
