STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,CONTRIBUTION & DONATION,950.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,MEDIA & ADS,2241486.81
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,SALARY & PAYROLL,494002.02
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,SHIPPING & POSTAGE,427807.33
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,CAMPAIGN CONSULTING,407631.55999999994
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,EVENT EXPENSES,181435.3
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,DIRECT MAIL,166027.04
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,OFFICE EXPENSES,134546.14
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,GENERAL OPERATIONS & SUPPLIES,114586.12
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,PRINTING,111047.70999999999
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,DIGITAL ADVERTISING,107152.42
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
