STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,950.0
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,4821830.15
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,17800.0
CALIFORNIA,JOSH BECKER,STATE SENATE,13,3266658.42
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0.0
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,1840127.0599999998
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,3300911.0100000002
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,1511550.8599999999
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,3016912.3100000005
CALIFORNIA,FRANK BIGELOW,STATE ASSEMBLY,5,605939.5
CALIFORNIA,BOB J. ARCHULETA,STATE SENATE,32,840037.7
CALIFORNIA,STEVE BENNETT,STATE ASSEMBLY,37,802430.31
CALIFORNIA,TOM DALY,STATE ASSEMBLY,69,1628870.85
CALIFORNIA,PHILLIP CHEN,STATE ASSEMBLY,55,1494743.97
CALIFORNIA,DAVE MIN,STATE SENATE,37,2130958.9600000004
CALIFORNIA,EDWIN CHAU,STATE ASSEMBLY,49,0.0
CALIFORNIA,MARC LEVINE,STATE ASSEMBLY,10,2126136.83
CALIFORNIA,KELLY SEYARTO,STATE ASSEMBLY,67,269331.04
CALIFORNIA,CHRIS WARD,STATE ASSEMBLY,78,1500522.86
CALIFORNIA,AUTUMN R. BURKE,STATE ASSEMBLY,62,0.0
CALIFORNIA,RICHARD PAN,STATE SENATE,6,0.0
CALIFORNIA,JAMES GALLAGHER,STATE ASSEMBLY,3,1172593.7399999998
CALIFORNIA,BENJAMIN ALLEN,STATE SENATE,26,195777.09999999998
CALIFORNIA,REBECCA BAUER-KAHAN,STATE ASSEMBLY,16,1407168.6400000001
CALIFORNIA,CONNIE M. LEYVA,STATE SENATE,20,289.64
CALIFORNIA,CECILIA M. AGUIAR-CURRY,STATE ASSEMBLY,4,1723090.52
CALIFORNIA,REGINALD BYRON JONES-SAWYER,STATE ASSEMBLY,59,0.0
CALIFORNIA,ROBERT HERTZBERG,STATE SENATE,18,0.0
CALIFORNIA,PHILIP TING,STATE ASSEMBLY,19,2127730.4400000004
CALIFORNIA,MARC BERMAN,STATE ASSEMBLY,24,2750.0
CALIFORNIA,KEVIN KILEY,STATE ASSEMBLY,6,1791149.54
CALIFORNIA,SUZETTE MARTINEZ VALLADARES,STATE ASSEMBLY,38,0.0
CALIFORNIA,SYDNEY K. KAMLAGER,STATE SENATE,30,132710.0
CALIFORNIA,HENRY STERN,STATE SENATE,27,788145.89
CALIFORNIA,MARIE WALDRON,STATE ASSEMBLY,75,0.0
CALIFORNIA,JIM COOPER,STATE ASSEMBLY,9,3370255.4199999995
CALIFORNIA,THURSTON SMITH,STATE ASSEMBLY,33,261352.58999999997
CALIFORNIA,BRIAN W. JONES,STATE SENATE,38,1950.0
CALIFORNIA,SCOTT WIENER,STATE SENATE,11,4404387.34
CALIFORNIA,LAURIE DAVIES,STATE ASSEMBLY,73,77828.23999999999
CALIFORNIA,JAMES C. RAMOS,STATE ASSEMBLY,40,1494142.8900000001
