STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,149857.66999999998
COLORADO,JOANN GINAL,STATE SENATE,14,54665.25
COLORADO,KEVIN VAN WINKLE,STATE HOUSE,43,84682.81000000001
COLORADO,ANDRES G. PICO,STATE HOUSE,16,26892.839999999997
COLORADO,SHANE SANDRIDGE,STATE HOUSE,14,12927.88
COLORADO,DON CORAM,STATE SENATE,6,44791.030000000006
COLORADO,MIKE WEISSMAN,STATE HOUSE,36,58187.63
COLORADO,KIM RANSOM,STATE HOUSE,44,23990.0
COLORADO,COLIN LARSON,STATE HOUSE,22,74109.35
COLORADO,DOMINICK MORENO,STATE SENATE,21,20216.510000000002
COLORADO,JOHN B. COOKE,STATE SENATE,13,37086.67999999999
COLORADO,RICHARD HOLTORF,STATE HOUSE,64,30399.260000000002
COLORADO,LEROY M. GARCIA,STATE SENATE,3,102350.56
COLORADO,MARC A. SNYDER,STATE HOUSE,18,61638.83
COLORADO,YADIRA CARAVEO,STATE HOUSE,31,49494.49
COLORADO,KAREN MCCORMICK,STATE HOUSE,11,39380.03999999999
COLORADO,HUGH MCKEAN,STATE HOUSE,51,56274.37
COLORADO,CHRISTOPHER KOLKER,STATE SENATE,27,216849.28
COLORADO,THOMAS EXUM,STATE HOUSE,17,108607.33999999998
COLORADO,EDIE HOOTON,STATE HOUSE,10,85388.1
COLORADO,DYLAN ROBERTS,STATE HOUSE,26,24905.16
COLORADO,LARRY G. LISTON,STATE SENATE,10,110588.73999999998
COLORADO,JAMES RASHAD COLEMAN,STATE SENATE,33,0.0
COLORADO,PATRICK NEVILLE,STATE HOUSE,45,1083.08
COLORADO,SANFORD E. LEE,STATE SENATE,11,3742.6299999999997
COLORADO,JIM SMALLWOOD,STATE SENATE,4,19336.08
COLORADO,DAVID ORTIZ,STATE HOUSE,38,221237.13999999998
COLORADO,RACHEL ZENZINGER,STATE SENATE,19,283008.81
COLORADO,EMILY LIPP SIROTA,STATE HOUSE,9,25898.97
COLORADO,ALEC GARNETT,STATE HOUSE,2,59061.87
COLORADO,CHRIS HOLBERT,STATE SENATE,30,93853.01999999999
COLORADO,LISA A. CUTTER,STATE HOUSE,25,174123.22
COLORADO,KERRY DONOVAN,STATE SENATE,5,165509.24
COLORADO,DAFNA MICHAELSON JENET,STATE HOUSE,30,108674.35
COLORADO,JEFF BRIDGES,STATE SENATE,26,221470.08
COLORADO,ROBERT RODRIGUEZ,STATE SENATE,32,196064.29000000004
COLORADO,BOB GARDNER,STATE SENATE,12,0.0
COLORADO,DAN WOOG,STATE HOUSE,63,47358.350000000006
COLORADO,TOM SULLIVAN,STATE HOUSE,37,171428.12
COLORADO,STEPHANIE LUCK,STATE HOUSE,47,38126.67
COLORADO,CHRIS HANSEN,STATE SENATE,31,114509.81999999998
COLORADO,MARK A. BAISLEY,STATE HOUSE,39,26020.15
COLORADO,TRACEY BERNETT,STATE HOUSE,12,46312.78999999999
COLORADO,MEG FROELICH,STATE HOUSE,3,105860.87
COLORADO,SHANNON BIRD,STATE HOUSE,35,79207.61
COLORADO,TAMMY STORY,STATE SENATE,16,500013.2799999999
COLORADO,JARED S. POLIS,GOVERNOR,,24734275.810000002
COLORADO,IMAN JODEH,STATE HOUSE,41,63312.46000000001
COLORADO,MATT SOPER,STATE HOUSE,54,17162.4
COLORADO,ANDREW BOESENECKER,STATE HOUSE,53,35.0
COLORADO,JENNIFER BACON,STATE HOUSE,7,35084.25000000001
COLORADO,SONYA JAQUEZ LEWIS,STATE SENATE,17,8508.34
COLORADO,ADRIENNE BENAVIDEZ,STATE HOUSE,32,9506.22
COLORADO,PAUL LUNDEEN,STATE SENATE,9,35790.729999999996
COLORADO,DOMINIQUE JACKSON,STATE HOUSE,42,26571.05
COLORADO,ROD BOCKENFELD,STATE HOUSE,56,0.0
COLORADO,BRIANNA TITONE,STATE HOUSE,27,193750.23000000004
COLORADO,MATT GRAY,STATE HOUSE,33,84670.45000000001
COLORADO,KYLE MULLICA,STATE HOUSE,34,80581.76999999999
COLORADO,STEPHEN FENBERG,STATE SENATE,18,17715.190000000002
COLORADO,ALEX VALDEZ,STATE HOUSE,5,13544.640000000001
COLORADO,KERRY TIPPER,STATE HOUSE,28,82797.51
COLORADO,PERRY WILL,STATE HOUSE,57,40274.979999999996
COLORADO,SERENA GONZALES-GUTIERREZ,STATE HOUSE,4,24396.769999999997
COLORADO,BARBARA HALL MCLACHLAN,STATE HOUSE,59,138268.51
COLORADO,JUDY AMABILE,STATE HOUSE,13,95015.02
COLORADO,MARY BRADFIELD,STATE HOUSE,21,29835.850000000002
COLORADO,ROB WOODWARD,STATE SENATE,15,141165.08999999997
COLORADO,TONYA VAN BEBER,STATE HOUSE,48,57798.09
COLORADO,MONICA DURAN,STATE HOUSE,24,59216.17
COLORADO,RAY SCOTT,STATE SENATE,7,0.0
COLORADO,DANEYA LEIGH ESGAR,STATE HOUSE,46,82314.2
COLORADO,DIANNE I. PRIMAVERA,LIEUTENANT GOVERNOR,,0.0
COLORADO,KEVIN PRIOLA,STATE SENATE,25,99416.19
COLORADO,SUSAN LONTINE,STATE HOUSE,1,16062.349999999999
COLORADO,DONALD E. VALDEZ,STATE HOUSE,62,23384.43
COLORADO,MICHAEL LYNCH,STATE HOUSE,49,38522.22
COLORADO,JULIE GONZALES,STATE SENATE,34,77973.12
COLORADO,FAITH WINTER,STATE SENATE,24,454672.35
COLORADO,TERRI CARVER,STATE HOUSE,20,60799.19
COLORADO,BARBARA J. KIRKMEYER,STATE SENATE,23,0.0
COLORADO,TIM GEITNER,STATE HOUSE,19,0.0
COLORADO,CATHY KIPP,STATE HOUSE,52,48566.95
COLORADO,JULIE MCCLUSKIE,STATE HOUSE,61,81104.65
COLORADO,CHRIS KENNEDY,STATE HOUSE,23,0.0
COLORADO,MARC CATLIN,STATE HOUSE,58,37599.97
COLORADO,CLEAVE SIMPSON,STATE SENATE,35,101304.26
COLORADO,ROD PELTON,STATE HOUSE,65,15406.02
COLORADO,STEVEN WOODROW,STATE HOUSE,6,141598.34000000003
COLORADO,DAVE WILLIAMS,STATE HOUSE,15,31260.19
COLORADO,RHONDA FIELDS,STATE SENATE,29,29103.32
COLORADO,MARY YOUNG,STATE HOUSE,50,73676.51000000001
COLORADO,LESLIE HEROD,STATE HOUSE,8,70914.22
