STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,POLITICAL FUNDS & GROUPS,6414.91
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,DIRECT MAIL,6271.51
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,OFFICE EXPENSES,1849.74
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,MEDIA & ADS,1107.5
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,ACCOUNTING & FINANCIAL MANAGEMENT,1000.0
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,"PR, COMMUNICATIONS, & MARKETING",1000.0
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,CREDIT CARD PAYMENT & BANK FEES,740.0
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,PRINTING,409.32
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,MEALS & CATERING,400.0
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,REIMBURSEMENT,291.19
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,SALARY & PAYROLL,11235.0
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,TRAVEL & LODGING,6379.85
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,DIGITAL ADVERTISING,5168.51
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,PRINTING,4975.040000000001
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,POLITICAL FUNDS & GROUPS,4012.67
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,OFFICE EXPENSES,2703.43
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,CAMPAIGN SIGNS & PARAPHERNALIA,2518.5299999999997
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,SHIPPING & POSTAGE,1731.39
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,ACCOUNTING & FINANCIAL MANAGEMENT,837.62
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,MEDIA & ADS,817.52
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,DIRECT MAIL,12136.000000000002
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,POLITICAL FUNDS & GROUPS,8798.37
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,SHIPPING & POSTAGE,7069.0
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,CREDIT CARD PAYMENT & BANK FEES,2807.02
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,MEDIA & ADS,2600.0
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,TRAVEL & LODGING,1500.0
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,SALARY & PAYROLL,1100.0
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,DIGITAL ADVERTISING,962.89
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,TAXES,878.9200000000001
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,OFFICE EXPENSES,564.95
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,POLITICAL FUNDS & GROUPS,309.79
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,DIRECT MAIL,23692.800000000003
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,TRAVEL & LODGING,6306.55
