STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,MEDIA & ADS,2023.5
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,GENERAL OPERATIONS & SUPPLIES,500.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,CAMPAIGN SIGNS & PARAPHERNALIA,129.65
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,CANVASSING & FIELD WORK,120.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,"PR, COMMUNICATIONS, & MARKETING",74192.48
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,EVENT EXPENSES,11534.89
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,MEDIA & ADS,10083.37
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,CONTRIBUTION & DONATION,8188.68
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,CAMPAIGN SIGNS & PARAPHERNALIA,7106.16
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,MEALS & CATERING,7067.39
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,GENERAL OPERATIONS & SUPPLIES,5912.6
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,SALARY & PAYROLL,4261.83
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,SALARY & PAYROLL PROCESSING FEE,4000.0
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,SHIPPING & POSTAGE,3155.3999999999996
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
