STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,2773.15
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,137632.25
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0.0
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,27195.34
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,3897.85
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,39769.649999999994
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,25253.350000000002
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,70551.59
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,67374.73999999999
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,18835.460000000003
DELAWARE,KRISTA GRIFFITH,STATE HOUSE,12,69928.33000000002
DELAWARE,SHERAE'A MOORE,STATE HOUSE,8,25782.38
DELAWARE,WILLIAM J. CARSON,STATE HOUSE,28,23436.75
DELAWARE,DEBRA J. HEFFERNAN,STATE HOUSE,6,20180.440000000002
DELAWARE,WILLIAM BUSH,STATE HOUSE,29,91946.85999999999
DELAWARE,DAVID L. WILSON,STATE SENATE,18,9714.69
DELAWARE,MADINAH WILSON-ANTON,STATE HOUSE,26,70369.75
DELAWARE,KYLE EVANS GAY,STATE SENATE,5,166877.75
DELAWARE,LARRY LAMBERT,STATE HOUSE,7,30482.449999999997
DELAWARE,DAVID G. LAWSON,STATE SENATE,15,41710.63999999999
DELAWARE,NICOLE POORE,STATE SENATE,12,56451.96000000001
DELAWARE,DANIEL B. SHORT,STATE HOUSE,39,23774.29
DELAWARE,LAURA VIVIANA STURGEON,STATE SENATE,4,163095.83999999997
DELAWARE,SHANNON W. MORRIS,STATE HOUSE,30,25380.39
DELAWARE,SARAH MCBRIDE,STATE SENATE,1,223786.60000000003
DELAWARE,ELIZABETH S. LOCKMAN,STATE SENATE,3,79263.0
DELAWARE,LYNDON DEAN YEARICK,STATE HOUSE,34,44012.5
DELAWARE,STEPHANIE L. HANSEN,STATE SENATE,10,569567.52
DELAWARE,RUTH BRIGGS KING,STATE HOUSE,37,23880.34
DELAWARE,JOHN A. KOWALKO,STATE HOUSE,25,14172.67
DELAWARE,SEAN MATTHEWS,STATE HOUSE,10,21753.15
DELAWARE,DAVID P. SOKOLA,STATE SENATE,8,12443.380000000003
DELAWARE,VALERIE J. LONGHURST,STATE HOUSE,15,22631.120000000003
DELAWARE,BRUCE C. ENNIS,STATE SENATE,14,30098.33
DELAWARE,MICHAEL F. SMITH,STATE HOUSE,22,76022.05
DELAWARE,EDWARD S. OSIENSKI,STATE HOUSE,24,17724.55
DELAWARE,PETER C. SCHWARTZKOPF,STATE HOUSE,14,56344.32
DELAWARE,ANDRIA L. BENNETT,STATE HOUSE,32,17105.879999999997
DELAWARE,BETHANY A. HALL-LONG,LIEUTENANT GOVERNOR,,202011.25999999998
DELAWARE,STEPHANIE T. BOLDEN,STATE HOUSE,2,15584.060000000001
DELAWARE,SHERRY DORSEY WALKER,STATE HOUSE,3,0.0
DELAWARE,ERNESTO B. LOPEZ,STATE SENATE,6,76919.12999999999
DELAWARE,BRYAN WILLIAM SHUPE,STATE HOUSE,36,0.0
DELAWARE,SEAN M. LYNN,STATE HOUSE,31,26307.99
DELAWARE,DAVID S. BENTZ,STATE HOUSE,18,10188.96
DELAWARE,NNAMDI O. CHUKWUOCHA,STATE HOUSE,1,3517.5299999999997
DELAWARE,JOHN WALSH,STATE SENATE,9,41044.03
DELAWARE,SPIROS MANTZAVINOS,STATE SENATE,7,155554.93999999997
DELAWARE,BRYAN TOWNSEND,STATE SENATE,11,69287.86
DELAWARE,STEPHEN T. SMYK,STATE HOUSE,20,22486.520000000004
DELAWARE,KIMBERLY WILLIAMS,STATE HOUSE,19,16322.02
DELAWARE,RONALD E. GRAY,STATE HOUSE,38,13117.23
DELAWARE,PAUL S. BAUMBACH,STATE HOUSE,23,20669.21
DELAWARE,JESSE R. VANDERWENDE,STATE HOUSE,35,5599.0
DELAWARE,CHARLES S. POSTLES,STATE HOUSE,33,17882.050000000003
DELAWARE,COLIN R. J. BONINI,STATE SENATE,16,1200.0
DELAWARE,DARIUS J. BROWN,STATE SENATE,2,5634.49
DELAWARE,RICHARD G. COLLINS,STATE HOUSE,41,9944.9
DELAWARE,JOHN C. CARNEY,GOVERNOR,,856890.6399999999
DELAWARE,GERALD W. HOCKER,STATE SENATE,20,9920.06
DELAWARE,KENDRA L. JOHNSON,STATE HOUSE,5,6479.0199999999995
DELAWARE,TIMOTHY D. DUKES,STATE HOUSE,40,13728.42
DELAWARE,MARIE PINKNEY,STATE SENATE,13,37394.42
DELAWARE,WILLIAM CHARLES PARADEE,STATE SENATE,17,130893.94999999998
