STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,PRINTING,10304.91
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,MEDIA & ADS,4225.0
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,CAMPAIGN SIGNS & PARAPHERNALIA,3594.2200000000003
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,GENERAL OPERATIONS & SUPPLIES,1812.88
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,DIGITAL ADVERTISING,765.25
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,OFFICE EXPENSES,718.72
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,SHIPPING & POSTAGE,405.59
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,SOFTWARE & TECHNOLOGY,374.95
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,WEBSITE SERVICES,206.0
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,EVENT EXPENSES,195.2
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,CANVASSING & FIELD WORK,123868.18000000001
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,MEDIA & ADS,111802.58
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,GENERAL OPERATIONS & SUPPLIES,44135.56
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,DIRECT MAIL,37989.92
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,DIGITAL ADVERTISING,37686.07
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,ACCOUNTING & FINANCIAL MANAGEMENT,25549.97
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,CAMPAIGN SIGNS & PARAPHERNALIA,23537.579999999998
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,SALARY & PAYROLL,20203.48
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,CAMPAIGN CONSULTING,15205.0
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,PRINTING,8388.69
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,POLITICAL FUNDS & GROUPS,42481.82
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,CAMPAIGN SIGNS & PARAPHERNALIA,32052.62
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,DIRECT MAIL,30792.98
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,GENERAL OPERATIONS & SUPPLIES,22804.26
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,CAMPAIGN CONSULTING,16645.0
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,MEDIA & ADS,8084.0
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,ACCOUNTING & FINANCIAL MANAGEMENT,3000.0
