STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,22991.32
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,470341.03
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,164056.6
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,205308.81
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,162487.07
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,375313.25999999995
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,715036.92
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,70071.24
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,620866.7999999999
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,587344.9400000001
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,174527.97
FLORIDA,DAN DALEY,STATE HOUSE,97,220672.93
FLORIDA,KELLY A. SKIDMORE,STATE HOUSE,81,128622.43
FLORIDA,JAYER WILLIAMSON,STATE HOUSE,3,208709.94
FLORIDA,JASON T. BRODEUR,STATE SENATE,9,890487.1900000002
FLORIDA,TYLER I. SIROIS,STATE HOUSE,51,137982.82
FLORIDA,WYMAN RUSSO DUGGAN,STATE HOUSE,15,376985.73
FLORIDA,CARLOS GUILLERMO SMITH,STATE HOUSE,49,71899.27999999998
FLORIDA,MICHAEL GRIECO,STATE HOUSE,113,31.89
FLORIDA,ANTHONY SABATINI,STATE HOUSE,32,73227.57999999999
FLORIDA,JOHN SNYDER,STATE HOUSE,82,242480.14
FLORIDA,PATRICIA HAWKINS-WILLIAMS,STATE HOUSE,92,33329.31
FLORIDA,TOBIN R. OVERDORF,STATE HOUSE,83,194754.16
FLORIDA,ROBERT CHARLES BRANNAN,STATE HOUSE,10,42752.990000000005
FLORIDA,TRACI KOSTER,STATE HOUSE,64,140012.33000000002
FLORIDA,WILL ROBINSON,STATE HOUSE,71,232920.40000000002
FLORIDA,LINDA CHANEY,STATE HOUSE,69,67594.19
FLORIDA,SHEVRIN DION JONES,STATE SENATE,35,0.0
FLORIDA,CHIP LAMARCA,STATE HOUSE,93,529618.15
FLORIDA,RALPH E. MASSULLO,STATE HOUSE,34,84689.27
FLORIDA,LAUREN FRANCES BOOK,STATE SENATE,32,361584.67000000004
FLORIDA,KAMIA LATASHA BROWN,STATE HOUSE,45,49060.71
FLORIDA,EVAN BOYD JENNE,STATE HOUSE,99,64150.0
FLORIDA,JASON S. SHOAF,STATE HOUSE,7,413760.14
FLORIDA,THAD ALTMAN,STATE HOUSE,52,71023.45999999999
FLORIDA,STAN MCCLAIN,STATE HOUSE,23,87424.34999999999
FLORIDA,EMILY ANN SLOSBERG,STATE HOUSE,91,29388.55
FLORIDA,NICK DICEGLIE,STATE HOUSE,66,242140.0
FLORIDA,GEORGE B. GAINER,STATE SENATE,2,169843.85
FLORIDA,FENTRICE DRISKELL,STATE HOUSE,63,145923.12
FLORIDA,BLAISE INGOGLIA,STATE HOUSE,35,140115.38
FLORIDA,CHRIS SPROWLS,STATE HOUSE,65,319720.47
FLORIDA,JOE R. GRUTERS,STATE SENATE,23,344725.13
FLORIDA,LINDA STEWART,STATE SENATE,13,75662.18
FLORIDA,CHRISTOPHER BENJAMIN,STATE HOUSE,107,63036.24
FLORIDA,BRYAN AVILA,STATE HOUSE,111,163833.68999999997
FLORIDA,CORD BYRD,STATE HOUSE,11,193049.99999999997
FLORIDA,CHARLES WESLEY CLEMONS,STATE HOUSE,21,208.23
FLORIDA,BOBBY POWELL,STATE SENATE,30,166768.75999999998
FLORIDA,DARRYL ERVIN ROUSON,STATE SENATE,19,297836.52999999997
FLORIDA,PATT MANEY,STATE HOUSE,4,277535.55
FLORIDA,WILTON SIMPSON,STATE SENATE,10,772915.3400000001
FLORIDA,MICHAEL J. GRANT,STATE HOUSE,75,0.0
FLORIDA,LAUREN UHLICH MELO,STATE HOUSE,80,199385.56
FLORIDA,ANIKA TENE OMPHROY,STATE HOUSE,95,9411.279999999999
FLORIDA,SCOTT PLAKON,STATE HOUSE,29,422732.02
FLORIDA,JOSIE TOMKOW,STATE HOUSE,39,156444.86
FLORIDA,ILEANA GARCIA,STATE SENATE,37,139458.0
FLORIDA,RANDALL SCOTT MAGGARD,STATE HOUSE,38,360083.87
FLORIDA,ANNETTE TADDEO,STATE SENATE,40,782598.13
FLORIDA,LORANNE AUSLEY,STATE SENATE,3,696866.04
FLORIDA,AARON P. BEAN,STATE SENATE,4,281424.31
FLORIDA,ERIN GRALL,STATE HOUSE,54,89257.41
FLORIDA,ED HOOPER,STATE SENATE,16,713865.34
FLORIDA,JASON MICHAEL FISCHER,STATE HOUSE,16,221156.68
FLORIDA,MICHELLE SALZMAN,STATE HOUSE,1,225337.77000000002
FLORIDA,BRETT HAGE,STATE HOUSE,33,57700.0
FLORIDA,GERALDINE F. THOMPSON,STATE HOUSE,44,186906.88999999998
FLORIDA,TOM WRIGHT,STATE SENATE,14,8200.0
FLORIDA,JENNA PERSONS,STATE HOUSE,78,0.0
FLORIDA,RICK ROTH,STATE HOUSE,85,276259.88
FLORIDA,ARDIAN ZIKA,STATE HOUSE,37,136445.68000000002
FLORIDA,OMARI HARDY,STATE HOUSE,88,91923.87999999999
FLORIDA,DAVID BORRERO,STATE HOUSE,105,351754.28
FLORIDA,KAYLEE TUCK,STATE HOUSE,55,282070.0
FLORIDA,JIM BOYD,STATE SENATE,21,430825.13
FLORIDA,RAY RODRIGUES,STATE SENATE,27,655655.56
