STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,DIRECT MAIL,45960.810000000005
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,CAMPAIGN CONSULTING,41000.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,DIGITAL ADVERTISING,16744.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,MEDIA & ADS,8834.66
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,SHIPPING & POSTAGE,4370.07
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,POLLING & RESEARCH,4100.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,OFFICE EXPENSES,2647.9700000000003
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,PRINTING,1619.88
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,SALARY & PAYROLL,1500.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,CONTRIBUTION & DONATION,1200.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,UTILITIES,10065.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,PRINTING,7476.71
GEORGIA,GREGG KENNARD,STATE HOUSE,102,GENERAL OPERATIONS & SUPPLIES,3289.28
GEORGIA,GREGG KENNARD,STATE HOUSE,102,SOFTWARE & TECHNOLOGY,1598.53
GEORGIA,GREGG KENNARD,STATE HOUSE,102,POLITICAL FUNDS & GROUPS,1300.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,DIGITAL ADVERTISING,934.7
GEORGIA,GREGG KENNARD,STATE HOUSE,102,SHIPPING & POSTAGE,786.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,CANVASSING & FIELD WORK,750.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,CONTRIBUTION & DONATION,600.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,CAMPAIGN SIGNS & PARAPHERNALIA,478.05
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,GENERAL OPERATIONS & SUPPLIES,1270.62
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,CONTRIBUTION & DONATION,52450.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,MEALS & CATERING,7162.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,FUNDRAISING & FUNDRAISING CONSULTING,6265.36
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,GENERAL OPERATIONS & SUPPLIES,2789.7
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,POLITICAL FUNDS & GROUPS,550.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,CAMPAIGN SIGNS & PARAPHERNALIA,250.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,PRINTING,250.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,OFFICE EXPENSES,188.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,0,0.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,0,0.0
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,CAMPAIGN CONSULTING,105594.81
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,FUNDRAISING & FUNDRAISING CONSULTING,17519.54
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,ACCOUNTING & FINANCIAL MANAGEMENT,11957.25
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,MEDIA & ADS,10103.35
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,"PR, COMMUNICATIONS, & MARKETING",7800.39
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,CONTRIBUTION & DONATION,6000.0
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,PRINTING,2472.77
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,CREDIT CARD PROCESSING FEES,2148.5
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,POLITICAL FUNDS & GROUPS,1400.0
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,TRAVEL & LODGING,1353.62
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,MEDIA & ADS,912531.0699999998
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,CAMPAIGN CONSULTING,393086.77999999997
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,CONTRIBUTION & DONATION,371351.97
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,TRAVEL & LODGING,304243.6
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,PRINTING,250762.33000000002
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,GENERAL OPERATIONS & SUPPLIES,211812.71000000002
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,CAMPAIGN SIGNS & PARAPHERNALIA,190512.47999999998
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,DIRECT MAIL,148461.82
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,DIGITAL ADVERTISING,131515.41999999998
