STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,130214.07
GEORGIA,GREGG KENNARD,STATE HOUSE,102,28160.06
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,1270.62
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,69905.06
GEORGIA,WILLIAM S. WADE,STATE HOUSE,9,167828.62
GEORGIA,LEE I. ANDERSON,STATE SENATE,24,3794216.6599999997
GEORGIA,DANNY MATHIS,STATE HOUSE,144,3794216.6599999997
GEORGIA,MICHAEL DUGAN,STATE SENATE,30,3794216.6599999997
GEORGIA,KAREN MATHIAK,STATE HOUSE,73,92640.09
GEORGIA,MICHAEL A. SMITH,STATE HOUSE,41,3266.2
GEORGIA,HORACENA TATE,STATE SENATE,38,41727.87
GEORGIA,BETH CAMP,STATE HOUSE,131,3794216.6599999997
GEORGIA,LAUREN W. MCDONALD,STATE HOUSE,26,68095.02
GEORGIA,CARDEN H. SUMMERS,STATE SENATE,13,19976.45
GEORGIA,DERRICK L. JACKSON,STATE HOUSE,64,12986.34
GEORGIA,TIMOTHY BARR,STATE HOUSE,103,72127.92
GEORGIA,DAVID KNIGHT,STATE HOUSE,130,76436.71999999999
GEORGIA,VANCE C. SMITH,STATE HOUSE,133,94667.51
GEORGIA,JOHN FLANDERS KENNEDY,STATE SENATE,18,156563.97
GEORGIA,PEDRO MARIN,STATE HOUSE,96,3186.8
GEORGIA,MATTHEW BRASS,STATE SENATE,28,107959.86
GEORGIA,ANGELIKA KAUSCHE,STATE HOUSE,50,178590.35
GEORGIA,JASMINE CLARK,STATE HOUSE,108,128867.25
GEORGIA,DEWAYNE HILL,STATE HOUSE,3,14534.099999999999
GEORGIA,STEVEN SAINZ,STATE HOUSE,180,3794216.6599999997
GEORGIA,MARTIN MOMTAHAN,STATE HOUSE,17,17724.169999999995
GEORGIA,SHARON COOPER,STATE HOUSE,43,384669.99
GEORGIA,ERICK EUGENE ALLEN,STATE HOUSE,40,69331.84000000001
GEORGIA,DEMETRIUS DOUGLAS,STATE HOUSE,78,38772.04
GEORGIA,NIKKI MERRITT,STATE SENATE,9,116609.98
GEORGIA,MATTHEW WILSON,STATE HOUSE,80,85255.34999999999
GEORGIA,DEWEY L. MCCLAIN,STATE HOUSE,100,6788.1
GEORGIA,RON STEPHENS,STATE HOUSE,164,360675.32
GEORGIA,WINFRED J. DUKES,STATE HOUSE,154,6162.5
GEORGIA,STEVE GOOCH,STATE SENATE,51,294165.961
GEORGIA,BILL HITCHENS,STATE HOUSE,161,9698.29
GEORGIA,SAM WATSON,STATE HOUSE,172,32913.020000000004
GEORGIA,RHONDA BURNOUGH,STATE HOUSE,77,1512.8
GEORGIA,LARRY J. PARRISH,STATE HOUSE,158,98782.16
GEORGIA,GREG DOLEZAL,STATE SENATE,27,21048.18
GEORGIA,DEBRA BAZEMORE,STATE HOUSE,63,15295.19
GEORGIA,SHELLY HUTCHINSON,STATE HOUSE,107,6593.17
GEORGIA,BEE NGUYEN,STATE HOUSE,89,91764.54000000001
GEORGIA,MIRIAM PARIS,STATE HOUSE,142,8986.67
GEORGIA,BRAD THOMAS,STATE HOUSE,21,3794216.6599999997
GEORGIA,KAREN BENNETT,STATE HOUSE,94,1750.0
GEORGIA,MARK NEWTON,STATE HOUSE,123,55762.95
GEORGIA,BECKY EVANS,STATE HOUSE,83,80343.27
GEORGIA,ERICA R. THOMAS,STATE HOUSE,39,3520.36
GEORGIA,DON HOGAN,STATE HOUSE,179,73586.56
GEORGIA,TREY KELLEY,STATE HOUSE,16,371943.46
GEORGIA,JOHN L. CORBETT,STATE HOUSE,174,65733.91
GEORGIA,REGINA LEWIS-WARD,STATE HOUSE,109,118039.25
GEORGIA,VALENCIA M. SEAY,STATE SENATE,34,19090.0
GEORGIA,STAN GUNTER,STATE HOUSE,8,103050.29999999999
GEORGIA,CAMIA WHITAKER HOPSON,STATE HOUSE,153,4931.6
GEORGIA,SANDRA GIVENS SCOTT,STATE HOUSE,76,6074.0
GEORGIA,WILLIAM YEARTA,STATE HOUSE,152,105435.98999999999
GEORGIA,HEATH N. CLARK,STATE HOUSE,147,156614.66
GEORGIA,SONYA HALPERN,STATE SENATE,39,442068.22000000003
GEORGIA,BETSY HOLLAND,STATE HOUSE,54,67109.31
GEORGIA,HUGH WILLIAMSON,STATE HOUSE,115,3794216.6599999997
GEORGIA,DAVID JENKINS,STATE HOUSE,132,75225.01
GEORGIA,REBECCA MITCHELL,STATE HOUSE,106,124235.67000000001
GEORGIA,VIOLA DAVIS,STATE HOUSE,87,3645.08
GEORGIA,RENITTA SHANNON,STATE HOUSE,84,13010.15
GEORGIA,SHEILA CLARK NELSON,STATE HOUSE,125,3574.7599999999998
GEORGIA,MIKE CHEOKAS,STATE HOUSE,138,0.0
