STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,PRINTING,32585.789999999997
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,SALARY & PAYROLL,4100.0
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,GENERAL OPERATIONS & SUPPLIES,2321.3799999999997
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,EVENT EXPENSES,2000.0
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,SOFTWARE & TECHNOLOGY,1575.21
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,CAMPAIGN SIGNS & PARAPHERNALIA,1149.89
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,MEDIA & ADS,723.1800000000001
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,CONTRIBUTION & DONATION,500.0
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,TRAVEL & LODGING,500.0
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,WEBSITE SERVICES,426.12
HAWAII,SHARON E. HAR,STATE HOUSE,42,PRINTING,9361.25
HAWAII,SHARON E. HAR,STATE HOUSE,42,SHIPPING & POSTAGE,2449.85
HAWAII,SHARON E. HAR,STATE HOUSE,42,MEALS & CATERING,2157.38
HAWAII,SHARON E. HAR,STATE HOUSE,42,GENERAL OPERATIONS & SUPPLIES,1232.8400000000001
HAWAII,SHARON E. HAR,STATE HOUSE,42,WEBSITE SERVICES,618.65
HAWAII,SHARON E. HAR,STATE HOUSE,42,OFFICE EXPENSES,157.35
HAWAII,SHARON E. HAR,STATE HOUSE,42,SALARY & PAYROLL,153.6
HAWAII,SHARON E. HAR,STATE HOUSE,42,SOFTWARE & TECHNOLOGY,104.7
HAWAII,SHARON E. HAR,STATE HOUSE,42,CREDIT CARD PROCESSING FEES,4.65
HAWAII,SHARON E. HAR,STATE HOUSE,42,CREDIT CARD PAYMENT & BANK FEES,3.07
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,PRINTING,17550.78
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,MEDIA & ADS,12175.369999999999
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,SHIPPING & POSTAGE,11742.05
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,MEALS & CATERING,8020.6900000000005
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,EVENT EXPENSES,4509.38
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,TRAVEL & LODGING,4218.99
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,GENERAL OPERATIONS & SUPPLIES,3623.3799999999997
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,CONTRIBUTION & DONATION,2614.95
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,OFFICE EXPENSES,1227.46
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,SALARY & PAYROLL,503.89
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,PRINTING,4943.32
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,FUEL & GAS,4181.71
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,SALARY & PAYROLL,2319.01
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,SOFTWARE & TECHNOLOGY,1167.15
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,POLITICAL FUNDS & GROUPS,1105.0
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,WEBSITE SERVICES,918.91
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,CREDIT CARD PAYMENT & BANK FEES,815.92
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,MEDIA & ADS,758.12
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,TRAVEL & LODGING,699.35
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,DIRECT MAIL,250.0
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,TRAVEL & LODGING,12889.89
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,PRINTING,11729.99
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,SALARY & PAYROLL PROCESSING FEE,2782.8
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,SHIPPING & POSTAGE,2140.78
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,MEDIA & ADS,1461.9200000000003
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,DIGITAL ADVERTISING,1256.02
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,POLITICAL FUNDS & GROUPS,693.3299999999999
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,CREDIT CARD PROCESSING FEES,382.49
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,OFFICE EXPENSES,250.0
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,CONTRIBUTION & DONATION,155.0
HAWAII,GENE R. WARD,STATE HOUSE,17,PRINTING,15669.05
