STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,47082.249999999985
HAWAII,SHARON E. HAR,STATE HOUSE,42,16243.34
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,66746.56999999999
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,17367.36
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,34101.37
HAWAII,GENE R. WARD,STATE HOUSE,17,49604.63
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,11014.429999999998
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,58580.6
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,53016.18
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,50852.47000000001
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,16831.89
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,40489.240000000005
HAWAII,MICHELLE KIDANI,STATE SENATE,18,138332.87
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,174824.36000000002
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,117746.77
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,20978.36
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,19101.48
HAWAII,SHARON Y. MORIWAKI,STATE SENATE,12,93657.43999999997
HAWAII,JOY A. SAN BUENAVENTURA,STATE SENATE,2,23786.510000000002
HAWAII,RICHARD HIROYUKI KEALA ONISHI,STATE HOUSE,3,34885.31
HAWAII,BENNETTE MISALUCHA,STATE SENATE,16,67400.85999999999
HAWAII,LAURA ACASIO,STATE SENATE,1,0.0
HAWAII,TY J. K. CULLEN,STATE HOUSE,39,43666.219999999994
HAWAII,TROY N. HASHIMOTO,STATE HOUSE,8,28900.38
HAWAII,GIL RIVIERE,STATE SENATE,23,52999.67
HAWAII,AMY ANASTASIA PERRUSO,STATE HOUSE,46,26488.5
HAWAII,DANIEL HOLT,STATE HOUSE,29,40367.72000000001
HAWAII,SYLVIA J. LUKE,STATE HOUSE,25,85525.87
HAWAII,DELLA AU BELATTI,STATE HOUSE,24,48815.490000000005
HAWAII,JARRETT K. KEOHOKALOLE,STATE SENATE,24,136233.49
HAWAII,KARL A. RHOADS,STATE SENATE,13,27138.489999999998
HAWAII,LISA MARTEN,STATE HOUSE,51,41995.70999999999
HAWAII,GILBERT SC KEITH-AGARAN,STATE SENATE,5,125453.54999999999
HAWAII,PATRICK PIHANA BRANCO,STATE HOUSE,50,87483.15
HAWAII,JOSHUA BOOTH GREEN,LIEUTENANT GOVERNOR,,1087589.13
HAWAII,ADRIAN TAM,STATE HOUSE,22,50348.51
HAWAII,DAYNETTE MORIKAWA,STATE HOUSE,16,18912.9
HAWAII,LYNN P. DECOITE,STATE HOUSE,13,87553.20999999999
HAWAII,CEDRIC SOLOSOLO ASUEGA GATES,STATE HOUSE,44,33449.36
HAWAII,JOHN M. MIZUNO,STATE HOUSE,28,7652.900000000001
HAWAII,GLENN S. WAKAI,STATE SENATE,15,80567.53
HAWAII,ROSALYN H. BAKER,STATE SENATE,6,197912.21000000002
HAWAII,BERTRAND KOBAYASHI,STATE HOUSE,19,15784.419999999998
HAWAII,CHRIS KALANI LEE,STATE SENATE,25,74244.11000000002
HAWAII,MARK JUN HASHEM,STATE HOUSE,18,17062.61
HAWAII,SAM SATORU KONG,STATE HOUSE,33,11512.05
HAWAII,RONALD D. KOUCHI,STATE SENATE,8,221174.36
HAWAII,CHRISTOPHER TODD,STATE HOUSE,2,17152.950000000004
HAWAII,SCOT Z. MATAYOSHI,STATE HOUSE,49,12834.93
HAWAII,DAVID YUTAKA IGE,GOVERNOR,,2568216.13
HAWAII,TAKASHI OHNO,STATE HOUSE,27,25490.390000000003
HAWAII,VAL OKIMOTO,STATE HOUSE,36,35590.97
HAWAII,LES S. IHARA,STATE SENATE,10,12569.82
HAWAII,JACKSON SAYAMA,STATE HOUSE,20,46874.869999999995
HAWAII,LAUREN KEALOHILANI CHEAPE MATSUMOTO,STATE HOUSE,45,48797.27000000001
HAWAII,DONNA MERCADO KIM,STATE SENATE,14,40179.810000000005
HAWAII,MARK M. NAKASHIMA,STATE HOUSE,1,52264.490000000005
HAWAII,MAILE S. L. SHIMABUKURO,STATE SENATE,21,33902.93
HAWAII,GERALD M. GABBARD,STATE SENATE,20,37344.18999999999
HAWAII,GREGG TAKAYAMA,STATE HOUSE,34,21554.07
HAWAII,ROY M. TAKUMI,STATE HOUSE,35,32200.6
HAWAII,NADINE K. NAKAMURA,STATE HOUSE,14,25922.339999999997
HAWAII,GREGGOR P. ILAGAN,STATE HOUSE,4,25420.46
HAWAII,STANLEY CHANG,STATE SENATE,9,132332.74
HAWAII,SCOTT Y. NISHIMOTO,STATE HOUSE,21,30975.260000000006
HAWAII,LORRAINE RODERO INOUYE,STATE SENATE,4,175249.77
HAWAII,JEANNÉ KAPELA,STATE HOUSE,5,39460.78
HAWAII,TINA ML WILDBERGER,STATE HOUSE,11,31004.940000000002
HAWAII,ANGUS LK MCKELVEY,STATE HOUSE,10,21641.59
HAWAII,ROBERT CHARLES MCDERMOTT,STATE HOUSE,40,51878.68
HAWAII,JAMES KUNANE TOKIOKA,STATE HOUSE,15,26575.72
HAWAII,KURT FEVELLA,STATE SENATE,19,52436.96000000001
HAWAII,RYAN I. YAMANE,STATE HOUSE,37,67375.4
HAWAII,DALE T. KOBAYASHI,STATE HOUSE,23,12300.580000000002
HAWAII,JUSTIN H. WOODSON,STATE HOUSE,9,21250.899999999998
HAWAII,NICOLE E. LOWEN,STATE HOUSE,6,6352.259999999998
HAWAII,LISA C. KITAGAWA,STATE HOUSE,48,50551.47
