STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
IDAHO,C. SCOTT GROW,STATE SENATE,14,MEDIA & ADS,46938.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,GENERAL OPERATIONS & SUPPLIES,19508.100000000002
IDAHO,C. SCOTT GROW,STATE SENATE,14,DIRECT MAIL,4103.31
IDAHO,C. SCOTT GROW,STATE SENATE,14,SHIPPING & POSTAGE,582.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,POLITICAL FUNDS & GROUPS,380.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,CREDIT CARD PROCESSING FEES,199.10000000000002
IDAHO,C. SCOTT GROW,STATE SENATE,14,OFFICE EXPENSES,157.92
IDAHO,C. SCOTT GROW,STATE SENATE,14,DIGITAL ADVERTISING,25.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,0,0.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,0,0.0
IDAHO,PETER RIGGS,STATE SENATE,3,GENERAL OPERATIONS & SUPPLIES,11493.539999999999
IDAHO,PETER RIGGS,STATE SENATE,3,SHIPPING & POSTAGE,5045.0
IDAHO,PETER RIGGS,STATE SENATE,3,MEDIA & ADS,4120.87
IDAHO,PETER RIGGS,STATE SENATE,3,OFFICE EXPENSES,3962.26
IDAHO,PETER RIGGS,STATE SENATE,3,PRINTING,2780.38
IDAHO,PETER RIGGS,STATE SENATE,3,DIGITAL ADVERTISING,1593.25
IDAHO,PETER RIGGS,STATE SENATE,3,POLITICAL FUNDS & GROUPS,650.0
IDAHO,PETER RIGGS,STATE SENATE,3,UTILITIES,164.58999999999997
IDAHO,PETER RIGGS,STATE SENATE,3,CREDIT CARD PROCESSING FEES,132.74
IDAHO,PETER RIGGS,STATE SENATE,3,CAMPAIGN SIGNS & PARAPHERNALIA,48.88
IDAHO,CHRISTY ZITO,STATE SENATE,23,GENERAL OPERATIONS & SUPPLIES,10355.87
IDAHO,CHRISTY ZITO,STATE SENATE,23,CAMPAIGN SIGNS & PARAPHERNALIA,6861.38
IDAHO,CHRISTY ZITO,STATE SENATE,23,SHIPPING & POSTAGE,4521.83
IDAHO,CHRISTY ZITO,STATE SENATE,23,MEDIA & ADS,4237.599999999999
IDAHO,CHRISTY ZITO,STATE SENATE,23,PRINTING,3288.4300000000003
IDAHO,CHRISTY ZITO,STATE SENATE,23,DIGITAL ADVERTISING,2782.4100000000003
IDAHO,CHRISTY ZITO,STATE SENATE,23,SOFTWARE & TECHNOLOGY,736.4
IDAHO,CHRISTY ZITO,STATE SENATE,23,TRAVEL & LODGING,647.48
IDAHO,CHRISTY ZITO,STATE SENATE,23,POLITICAL FUNDS & GROUPS,541.0
IDAHO,CHRISTY ZITO,STATE SENATE,23,FUEL & GAS,535.62
IDAHO,BROOKE GREEN,STATE HOUSE,18B,CAMPAIGN SIGNS & PARAPHERNALIA,7648.22
IDAHO,BROOKE GREEN,STATE HOUSE,18B,POLITICAL FUNDS & GROUPS,5124.73
IDAHO,BROOKE GREEN,STATE HOUSE,18B,GENERAL OPERATIONS & SUPPLIES,4683.86
IDAHO,BROOKE GREEN,STATE HOUSE,18B,DIRECT MAIL,3184.67
IDAHO,BROOKE GREEN,STATE HOUSE,18B,PRINTING,573.05
IDAHO,BROOKE GREEN,STATE HOUSE,18B,SOFTWARE & TECHNOLOGY,450.0
IDAHO,BROOKE GREEN,STATE HOUSE,18B,WEBSITE SERVICES,319.87
IDAHO,BROOKE GREEN,STATE HOUSE,18B,SHIPPING & POSTAGE,250.48
IDAHO,BROOKE GREEN,STATE HOUSE,18B,OFFICE EXPENSES,248.60000000000002
IDAHO,BROOKE GREEN,STATE HOUSE,18B,DIGITAL ADVERTISING,210.19
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,GENERAL OPERATIONS & SUPPLIES,2523.4000000000005
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,POLITICAL FUNDS & GROUPS,1250.0
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,TRAVEL & LODGING,212.55
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,FUEL & GAS,200.0
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,SHIPPING & POSTAGE,195.66
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,WEBSITE SERVICES,96.0
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,CAMPAIGN SIGNS & PARAPHERNALIA,50.56
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,MEDIA & ADS,35.0
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,CANDIDATE FILING & BALLOT FEES,30.0
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,CREDIT CARD PROCESSING FEES,14.8
IDAHO,LORI DEN HARTOG,STATE SENATE,22,GENERAL OPERATIONS & SUPPLIES,10360.58
IDAHO,LORI DEN HARTOG,STATE SENATE,22,MEDIA & ADS,6829.03
IDAHO,LORI DEN HARTOG,STATE SENATE,22,CAMPAIGN SIGNS & PARAPHERNALIA,6156.530000000001
IDAHO,LORI DEN HARTOG,STATE SENATE,22,POLITICAL FUNDS & GROUPS,665.0
IDAHO,LORI DEN HARTOG,STATE SENATE,22,WEBSITE SERVICES,264.85
IDAHO,LORI DEN HARTOG,STATE SENATE,22,SHIPPING & POSTAGE,254.0
IDAHO,LORI DEN HARTOG,STATE SENATE,22,OFFICE EXPENSES,57.24
IDAHO,LORI DEN HARTOG,STATE SENATE,22,DIGITAL ADVERTISING,10.0
IDAHO,LORI DEN HARTOG,STATE SENATE,22,0,0.0
IDAHO,LORI DEN HARTOG,STATE SENATE,22,0,0.0
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,DIRECT MAIL,9584.97
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,CAMPAIGN SIGNS & PARAPHERNALIA,6118.91
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,POLITICAL FUNDS & GROUPS,2025.0
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,GENERAL OPERATIONS & SUPPLIES,1677.32
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,SHIPPING & POSTAGE,1106.8600000000001
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,PRINTING,1079.03
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,SOFTWARE & TECHNOLOGY,620.0
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,TRAVEL & LODGING,500.0
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,0,0.0
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,0,0.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,GENERAL OPERATIONS & SUPPLIES,10480.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,MEDIA & ADS,4735.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,PRINTING,850.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,POLITICAL FUNDS & GROUPS,705.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,0,0.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,0,0.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,0,0.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,0,0.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,0,0.0
IDAHO,JIM GUTHRIE,STATE SENATE,28,0,0.0
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,MEDIA & ADS,2898.3599999999997
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,GENERAL OPERATIONS & SUPPLIES,2876.7200000000003
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,PRINTING,1048.74
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,SHIPPING & POSTAGE,466.23
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,UTILITIES,240.0
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,POLITICAL FUNDS & GROUPS,192.4
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,OFFICE EXPENSES,189.56
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,SOFTWARE & TECHNOLOGY,63.59
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,0,0.0
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,0,0.0
IDAHO,CHUCK WINDER,STATE SENATE,20,GENERAL OPERATIONS & SUPPLIES,27787.9
IDAHO,CHUCK WINDER,STATE SENATE,20,POLITICAL FUNDS & GROUPS,6963.76
IDAHO,CHUCK WINDER,STATE SENATE,20,PRINTING,3356.0
IDAHO,CHUCK WINDER,STATE SENATE,20,REIMBURSEMENT,2370.13
IDAHO,CHUCK WINDER,STATE SENATE,20,CONTRIBUTION & DONATION,2065.0
IDAHO,CHUCK WINDER,STATE SENATE,20,UTILITIES,1387.89
IDAHO,CHUCK WINDER,STATE SENATE,20,TRAVEL & LODGING,1274.0
IDAHO,CHUCK WINDER,STATE SENATE,20,CAMPAIGN SIGNS & PARAPHERNALIA,709.98
IDAHO,CHUCK WINDER,STATE SENATE,20,OFFICE EXPENSES,450.80999999999995
IDAHO,CHUCK WINDER,STATE SENATE,20,MEALS & CATERING,427.65
IDAHO,VAN T. BURTENSHAW,STATE SENATE,35,MEDIA & ADS,10227.0
IDAHO,VAN T. BURTENSHAW,STATE SENATE,35,CAMPAIGN SIGNS & PARAPHERNALIA,5000.0
IDAHO,VAN T. BURTENSHAW,STATE SENATE,35,GENERAL OPERATIONS & SUPPLIES,4983.59
IDAHO,VAN T. BURTENSHAW,STATE SENATE,35,CREDIT CARD PROCESSING FEES,2500.0
IDAHO,VAN T. BURTENSHAW,STATE SENATE,35,PRINTING,2067.0
IDAHO,VAN T. BURTENSHAW,STATE SENATE,35,POLITICAL FUNDS & GROUPS,1723.0
IDAHO,VAN T. BURTENSHAW,STATE SENATE,35,REIMBURSEMENT,340.0
IDAHO,VAN T. BURTENSHAW,STATE SENATE,35,TRAVEL & LODGING,260.0
