STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
IDAHO,C. SCOTT GROW,STATE SENATE,14,71893.43000000001
IDAHO,PETER RIGGS,STATE SENATE,3,29991.510000000002
IDAHO,CHRISTY ZITO,STATE SENATE,23,35261.66
IDAHO,BROOKE GREEN,STATE HOUSE,18B,22796.280000000002
IDAHO,DANIEL G. JOHNSON,STATE SENATE,6,4607.969999999999
IDAHO,LORI DEN HARTOG,STATE SENATE,22,24597.23
IDAHO,JANIE WARD-ENGELKING,STATE SENATE,18,22712.09
IDAHO,JIM GUTHRIE,STATE SENATE,28,16770.0
IDAHO,RON J. MENDIVE,STATE HOUSE,3A,7975.599999999999
IDAHO,CHUCK WINDER,STATE SENATE,20,47714.0
IDAHO,VAN T. BURTENSHAW,STATE SENATE,35,27161.27
IDAHO,KAREY HANKS,STATE HOUSE,35A,17115.639999999996
IDAHO,MARC GIBBS,STATE HOUSE,32A,15943.31
IDAHO,DOUG RICKS,STATE SENATE,34,18321.65
IDAHO,PRISCILLA GIDDINGS,STATE HOUSE,7A,3596.85
IDAHO,BRUCE SKAUG,STATE HOUSE,12A,16035.650000000001
IDAHO,SAGE G. DIXON,STATE HOUSE,1B,56447.34
IDAHO,STEVE BERCH,STATE HOUSE,15A,90507.05000000002
IDAHO,DAVID M. CANNON,STATE HOUSE,31A,3001.7
IDAHO,LEE HEIDER,STATE SENATE,24,17968.98
IDAHO,MELISSA WINTROW,STATE SENATE,19,30577.47
IDAHO,MARK HARRIS,STATE SENATE,32,8879.750000000002
IDAHO,TAMMY NICHOLS,STATE HOUSE,11B,16018.220000000001
IDAHO,KELLY ARTHUR ANTHON,STATE SENATE,27,25949.91
IDAHO,CHARLIE SHEPHERD,STATE HOUSE,7B,4546.6
IDAHO,JIM RICE,STATE SENATE,10,46665.270000000004
IDAHO,JOE A. PALMER,STATE HOUSE,20A,48520.450000000004
IDAHO,KEVIN COOK,STATE SENATE,30,51026.62999999999
IDAHO,JIM WOODWARD,STATE SENATE,1,5289.5599999999995
IDAHO,MICHELLE STENNETT,STATE SENATE,26,41674.31
IDAHO,GAYANN DEMORDAUNT,STATE HOUSE,14B,37440.119999999995
IDAHO,WENDY HORMAN,STATE HOUSE,30B,6677.64
IDAHO,MARCO ERICKSON,STATE HOUSE,33B,29919.87
IDAHO,FRED S. MARTIN,STATE SENATE,15,64900.979999999996
IDAHO,MEGAN C. BLANKSMA,STATE HOUSE,23B,27591.78
IDAHO,KEVIN ANDRUS,STATE HOUSE,28B,1527.28
IDAHO,PATTI ANNE LODGE,STATE SENATE,11,58430.96000000001
IDAHO,SCOTT C. BEDKE,STATE HOUSE,27A,75884.89
IDAHO,STEVEN C. HARRIS,STATE HOUSE,21A,2243.54
IDAHO,CODI GALLOWAY,STATE HOUSE,15B,35527.75
IDAHO,SUSAN B. CHEW,STATE HOUSE,17B,15680.030000000002
IDAHO,JOHN A. MCCROSTIE,STATE HOUSE,16A,21961.730000000003
IDAHO,CLARK KAUFFMAN,STATE HOUSE,25B,15298.3
IDAHO,HEATHER SCOTT,STATE HOUSE,1A,11078.79
IDAHO,TODD M. LAKEY,STATE SENATE,12,19733.21
IDAHO,LAURIE LICKLEY,STATE HOUSE,25A,10542.45
IDAHO,BRENT J. CRANE,STATE HOUSE,13A,11047.619999999997
IDAHO,JASON A. MONKS,STATE HOUSE,22B,39470.91
IDAHO,DAVE LENT,STATE SENATE,33,6033.36
IDAHO,SCOTT A. SYME,STATE HOUSE,11A,27095.640000000003
IDAHO,BRANDON MITCHELL,STATE HOUSE,5A,36343.619999999995
IDAHO,TONY WISNIEWSKI,STATE HOUSE,3B,2788.9300000000003
IDAHO,JAMES HOLTZCLAW,STATE HOUSE,20B,16906.519999999997
IDAHO,RONALD M. NATE,STATE HOUSE,34B,24785.489999999998
IDAHO,ROD FURNISS,STATE HOUSE,35B,13374.11
IDAHO,COLIN NASH,STATE HOUSE,16B,13093.760000000002
IDAHO,GARY L. MARSHALL,STATE HOUSE,30A,1211.55
IDAHO,CARL G. CRABTREE,STATE SENATE,7,5087.5199999999995
IDAHO,JAMES DAW RUCHTI,STATE HOUSE,29B,53141.42
IDAHO,MIKE MOYLE,STATE HOUSE,14A,33547.979999999996
IDAHO,JAMES ADDIS,STATE HOUSE,4A,21491.26
IDAHO,GRANT T. BURGOYNE,STATE SENATE,16,13134.759999999998
IDAHO,R. STEVEN BAIR,STATE SENATE,31,6305.0
IDAHO,RYAN KERBY,STATE HOUSE,9A,29329.98
IDAHO,ILANA RUBEL,STATE HOUSE,18A,65046.53999999999
IDAHO,MATTHEW BUNDY,STATE HOUSE,23A,29316.67
IDAHO,JOHN VANDER WOUDE,STATE HOUSE,22A,25052.83
IDAHO,DUSTIN WHITNEY MANWARING,STATE HOUSE,29A,18723.419999999995
IDAHO,VITO BARBIERI,STATE HOUSE,2A,11191.62
IDAHO,FRED WOOD,STATE HOUSE,27B,35742.65
IDAHO,LAUREN NECOCHEA,STATE HOUSE,19A,38482.99
IDAHO,JULIANNE YOUNG,STATE HOUSE,31B,50225.65
IDAHO,STEVEN P. THAYN,STATE SENATE,8,18290.98
IDAHO,JEFF C. AGENBROAD,STATE SENATE,13,8307.72
IDAHO,DOROTHY MOON,STATE HOUSE,8B,25582.3
IDAHO,ALI RABE,STATE SENATE,17,29568.520000000004
IDAHO,GREGORY E. FERCH,STATE HOUSE,21B,10672.81
IDAHO,DAVID NELSON,STATE SENATE,5,68336.66
IDAHO,CAROLINE NILSSON TROY,STATE HOUSE,5B,59789.35
IDAHO,LANCE CLOW,STATE HOUSE,24A,19516.64
IDAHO,MARK NYE,STATE SENATE,29,18696.55
IDAHO,CHAD CHRISTENSEN,STATE HOUSE,32B,19572.76
IDAHO,JAMES PATRICK,STATE SENATE,25,8427.689999999999
IDAHO,PAUL AMADOR,STATE HOUSE,4B,4742.18
IDAHO,TERRY F. GESTRIN,STATE HOUSE,8A,4797.68
IDAHO,ABBY LEE,STATE SENATE,9,6157.0
IDAHO,JANICE K. MCGEACHIN,LIEUTENANT GOVERNOR,,0.0
IDAHO,JON O. WEBER,STATE HOUSE,34A,7354.759999999999
IDAHO,BARBARA DEE EHARDT,STATE HOUSE,33A,36230.44
IDAHO,JOHN GANNON,STATE HOUSE,17A,14557.929999999998
IDAHO,RICK D. YOUNGBLOOD,STATE HOUSE,12B,36754.96
IDAHO,JULIE YAMAMOTO,STATE HOUSE,10A,25295.780000000002
IDAHO,DOUG OKUNIEWICZ,STATE HOUSE,2B,50391.67
IDAHO,BEN ADAMS,STATE HOUSE,13B,24616.78
IDAHO,CHRIS MATHIAS,STATE HOUSE,19B,43429.969999999994
IDAHO,LINDA WRIGHT HARTGEN,STATE HOUSE,24B,8167.31
IDAHO,SALLY J. TOONE,STATE HOUSE,26B,24135.79
IDAHO,JUDY BOYLE,STATE HOUSE,9B,7371.65
