STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,CAMPAIGN CONSULTING,500625.0
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,MEDIA & ADS,101883.88
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,CANVASSING & FIELD WORK,18707.65
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,TRAVEL & LODGING,13560.960000000001
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,SALARY & PAYROLL,11430.75
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,SHIPPING & POSTAGE,7631.8
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,CAMPAIGN SIGNS & PARAPHERNALIA,3892.0
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,GENERAL OPERATIONS & SUPPLIES,2507.35
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,PRINTING,2100.0
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,SOFTWARE & TECHNOLOGY,1875.5
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,MEDIA & ADS,1473895.0
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,CAMPAIGN CONSULTING,142665.56000000006
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,DIGITAL & SOCIAL MEDIA CONSULTING,100000.0
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,CANVASSING & FIELD WORK,41237.48
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,OFFICE EXPENSES,18895.820000000003
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,SALARY & PAYROLL,6850.0
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,CREDIT CARD PAYMENT & BANK FEES,5715.0
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,PRINTING,4574.78
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,MEALS & CATERING,4151.8099999999995
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,GENERAL OPERATIONS & SUPPLIES,4047.74
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,LEGAL SERVICES,17500.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,CONTRIBUTION & DONATION,13100.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,ACCOUNTING & FINANCIAL MANAGEMENT,6094.02
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,POLITICAL FUNDS & GROUPS,4500.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,MEALS & CATERING,2369.94
