STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,670809.2899999999
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,1825991.5599999998
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,49556.2
ILLINOIS,STEVEN M. LANDEK,STATE SENATE,12,136716.52000000002
ILLINOIS,MIKE MURPHY,STATE HOUSE,99,59333.479999999996
ILLINOIS,CHARLES E. MEIER,STATE HOUSE,108,119685.78
ILLINOIS,PATRICK J. JOYCE,STATE SENATE,40,476979.62
ILLINOIS,DAVE VELLA,STATE HOUSE,68,547490.76
ILLINOIS,SAM YINGLING,STATE HOUSE,62,113580.36000000002
ILLINOIS,TIM BUTLER,STATE HOUSE,87,206841.66999999998
ILLINOIS,CAMILLE Y. LILLY,STATE HOUSE,78,53196.33
ILLINOIS,JONATHAN CARROLL,STATE HOUSE,57,204418.45
ILLINOIS,MARTIN J. MCLAUGHLIN,STATE HOUSE,52,98431.73
ILLINOIS,TERRI BRYANT,STATE SENATE,58,225226.801
ILLINOIS,KAMBIUM BUCKNER,STATE HOUSE,26,87420.83
ILLINOIS,JAIME M. ANDRADE,STATE HOUSE,40,396202.93
ILLINOIS,ANTONIO MUNOZ,STATE SENATE,1,990868.3899999999
ILLINOIS,CAROL AMMONS,STATE HOUSE,103,91456.24
ILLINOIS,CRISTINA PACIONE-ZAYAS,STATE SENATE,20,0.0
ILLINOIS,ELIZABETH HERNANDEZ,STATE HOUSE,24,179716.93
ILLINOIS,CRISTINA CASTRO,STATE SENATE,22,277672.6
ILLINOIS,JACKIE HAAS,STATE HOUSE,79,27801.93
ILLINOIS,THOMAS M. BENNETT,STATE HOUSE,106,122680.81
ILLINOIS,LAURA FINE,STATE SENATE,9,349285.93000000005
ILLINOIS,SUZANNE M. NESS,STATE HOUSE,66,517757.35
ILLINOIS,MEG LOUGHRAN-CAPPEL,STATE SENATE,49,523456.93
ILLINOIS,EMANUEL WELCH,STATE HOUSE,7,0.0
ILLINOIS,GREGORY S. HARRIS,STATE HOUSE,13,976268.64
ILLINOIS,JIL W. TRACY,STATE SENATE,47,209449.39
ILLINOIS,EMIL JONES,STATE SENATE,14,75295.57
ILLINOIS,LAMONT J. ROBINSON,STATE HOUSE,5,74093.45
ILLINOIS,DAVID KOEHLER,STATE SENATE,46,864640.3499999999
ILLINOIS,MICHELLE MUSSMAN,STATE HOUSE,56,559997.61
ILLINOIS,DAVE SYVERSON,STATE SENATE,35,255340.65
ILLINOIS,ROBERT F. MARTWICK,STATE SENATE,10,432397.87
ILLINOIS,WILL GUZZARDI,STATE HOUSE,39,102564.14
ILLINOIS,CYRIL NICHOLS,STATE HOUSE,32,0.0
ILLINOIS,KELLY M. BURKE,STATE HOUSE,36,244752.78
ILLINOIS,JAY C. HOFFMAN,STATE HOUSE,113,482799.33999999997
ILLINOIS,ANGELICA GUERRERO-CUELLAR,STATE HOUSE,22,0.0
ILLINOIS,TONY M. MCCOMBIE,STATE HOUSE,71,280681.83999999997
ILLINOIS,ELGIE R. SIMS,STATE SENATE,17,218233.21000000002
ILLINOIS,THOMAS E. CULLERTON,STATE SENATE,23,2592130.31
ILLINOIS,JUSTIN Q. SLAUGHTER,STATE HOUSE,27,43840.670000000006
ILLINOIS,JASON PLUMMER,STATE SENATE,54,0.0
ILLINOIS,RACHELLE AUD CROWE,STATE SENATE,56,0.0
ILLINOIS,RANDY E. FRESE,STATE HOUSE,94,108585.31
ILLINOIS,DALE FOWLER,STATE SENATE,59,0.0
ILLINOIS,WILLIAM CUNNINGHAM,STATE SENATE,18,126680.61
ILLINOIS,LAKESIA COLLINS,STATE HOUSE,9,344826.94
ILLINOIS,JULIE A. MORRISON,STATE SENATE,29,785641.05
ILLINOIS,SARA FEIGENHOLTZ,STATE SENATE,6,294621.29
ILLINOIS,NORINE K. HAMMOND,STATE HOUSE,93,218292.77000000002
ILLINOIS,MICHAEL MARRON,STATE HOUSE,104,143495.68999999997
ILLINOIS,LINDA HOLMES,STATE SENATE,42,171237.63
ILLINOIS,JOE SOSNOWSKI,STATE HOUSE,69,83355.51
ILLINOIS,WILLIAM DAVIS,STATE HOUSE,30,0.0
ILLINOIS,MAURICE A. WEST,STATE HOUSE,67,64903.81
ILLINOIS,LANCE YEDNOCK,STATE HOUSE,76,1135135.5499999998
ILLINOIS,STEVEN REICK,STATE HOUSE,63,80372.40999999999
ILLINOIS,ADRIANE JOHNSON,STATE SENATE,30,0.0
ILLINOIS,JOHN F. CURRAN,STATE SENATE,41,568769.5700000001
ILLINOIS,CHAPIN ROSE,STATE SENATE,51,126705.68
ILLINOIS,AVERY BOURNE,STATE HOUSE,95,117636.94999999998
ILLINOIS,DANIEL J. UGASTE,STATE HOUSE,65,65827.31999999999
ILLINOIS,JOHN C. D'AMICO,STATE HOUSE,15,115985.65
ILLINOIS,ROBERT PETERS,STATE SENATE,13,0.0
ILLINOIS,KARINA VILLA,STATE SENATE,25,454805.33999999997
ILLINOIS,BARBARA HERNANDEZ,STATE HOUSE,83,141997.9
ILLINOIS,PAUL JACOBS,STATE HOUSE,115,46153.53
ILLINOIS,RAM VILLIVALAM,STATE SENATE,8,531629.67
ILLINOIS,JACQUELINE Y. COLLINS,STATE SENATE,16,31575.489999999998
ILLINOIS,AMY ELIK,STATE HOUSE,111,223085.89
ILLINOIS,JULIANA STRATTON,LIEUTENANT GOVERNOR,,22543.15
ILLINOIS,ADAM M. NIEMERG,STATE HOUSE,109,58991.84
ILLINOIS,JASON BARICKMAN,STATE SENATE,53,190467.39
ILLINOIS,TERRA COSTA HOWARD,STATE HOUSE,48,255492.78
ILLINOIS,JAMES B. DURKIN,STATE HOUSE,82,3020352.9000000004
ILLINOIS,SUZANNE GLOWIAK,STATE SENATE,24,1657882.02
ILLINOIS,STEPHANIE A. KIFOWIT,STATE HOUSE,84,62794.14
ILLINOIS,BRIAN W. STEWART,STATE SENATE,45,137127.72
ILLINOIS,LAURA ELLMAN,STATE SENATE,21,1915179.29
ILLINOIS,MARY E. FLOWERS,STATE HOUSE,31,95558.63
ILLINOIS,RITA MAYFIELD,STATE HOUSE,60,226370.65999999997
ILLINOIS,MICHAEL W. HALPIN,STATE HOUSE,72,280900.18
ILLINOIS,DELIA CATALINA RAMIREZ,STATE HOUSE,4,0.0
ILLINOIS,MARK A. LUFT,STATE HOUSE,91,0.0
ILLINOIS,MICHAEL SIMMONS,STATE SENATE,7,0.0
ILLINOIS,ROBERT A. RITA,STATE HOUSE,28,853615.6799999999
ILLINOIS,CHRISTOPHER BELT,STATE SENATE,57,535229.48
ILLINOIS,BLAINE J. WILHOUR,STATE HOUSE,107,42270.03
ILLINOIS,TOM WEBER,STATE HOUSE,64,57493.39
ILLINOIS,MARK L. WALKER,STATE HOUSE,53,51082.1
ILLINOIS,MAURA HIRSCHAUER,STATE HOUSE,49,590578.51
ILLINOIS,LINDSEY LAPOINTE,STATE HOUSE,19,243811.02000000002
ILLINOIS,BRADLEY A. STEPHENS,STATE HOUSE,20,770785.94
ILLINOIS,NATALIE A. MANLEY,STATE HOUSE,98,1100597.65
ILLINOIS,JAWAHARIAL WILLIAMS,STATE HOUSE,10,175613.0
ILLINOIS,ANNA C. MOELLER,STATE HOUSE,43,234664.47
ILLINOIS,FRANCES ANN HURLEY,STATE HOUSE,35,140082.99
ILLINOIS,DONALD P. DEWITTE,STATE SENATE,33,415934.45999999996
ILLINOIS,DAN MCCONCHIE,STATE SENATE,26,150071.69999999998
ILLINOIS,TOM DEMMER,STATE HOUSE,90,0.0
ILLINOIS,DAN CAULKINS,STATE HOUSE,101,78098.73000000001
ILLINOIS,LAURA M. MURPHY,STATE SENATE,28,160024.28999999998
ILLINOIS,KELLY M. CASSIDY,STATE HOUSE,14,145617.46
ILLINOIS,ROBYN GABEL,STATE HOUSE,18,197121.88
ILLINOIS,THADDEUS M. JONES,STATE HOUSE,29,439071.06
ILLINOIS,DAVID FRIESS,STATE HOUSE,116,34985.46000000001
ILLINOIS,MARCUS C. EVANS,STATE HOUSE,33,532546.7450000001
ILLINOIS,ANTHONY DELUCA,STATE HOUSE,80,59947.41
ILLINOIS,DEANNE MARIE MAZZOCHI,STATE HOUSE,47,115048.91
ILLINOIS,THERESA MAH,STATE HOUSE,2,308920.18
ILLINOIS,KATHLEEN WILLIS,STATE HOUSE,77,896145.77
ILLINOIS,CELINA VILLANUEVA,STATE SENATE,11,83076.76000000001
ILLINOIS,LA SHAWN K. FORD,STATE HOUSE,8,63060.49
ILLINOIS,SALLY TURNER,STATE SENATE,44,0.0
ILLINOIS,MARK BATINICK,STATE HOUSE,97,181845.26
ILLINOIS,THOMAS R. MORRISON,STATE HOUSE,54,203942.09000000003
ILLINOIS,CHRIS BOS,STATE HOUSE,51,21304.96
ILLINOIS,DEBORAH O'KEEFE CONROY,STATE HOUSE,46,85192.35
ILLINOIS,MARTIN J. MOYLAN,STATE HOUSE,55,433792.89
ILLINOIS,CURTIS J. TARVER,STATE HOUSE,25,28548.370000000003
ILLINOIS,JEFF KEICHER,STATE HOUSE,70,139058.89
ILLINOIS,JEHAN A. GORDON-BOOTH,STATE HOUSE,92,107117.31999999999
ILLINOIS,MICHAEL E. HASTINGS,STATE SENATE,19,599633.27
ILLINOIS,MELINDA BUSH,STATE SENATE,31,430536.88
ILLINOIS,TIM OZINGA,STATE HOUSE,37,0.0
ILLINOIS,JENNIFER GONG-GERSHOWITZ,STATE HOUSE,17,117642.66999999998
ILLINOIS,DAGMARA AVELAR,STATE HOUSE,85,0.0
ILLINOIS,EDGAR GONZALEZ,STATE HOUSE,21,5173.82
ILLINOIS,AARON M. ORTIZ,STATE HOUSE,1,220736.84
ILLINOIS,JOHN CONNOR,STATE SENATE,43,254465.70000000004
ILLINOIS,SONYA MARIE HARPER,STATE HOUSE,6,59879.630000000005
ILLINOIS,DAVE SEVERIN,STATE HOUSE,117,169675.34999999998
ILLINOIS,SETH LEWIS,STATE HOUSE,45,130824.73
ILLINOIS,STEVEN STADELMAN,STATE SENATE,34,0.0
ILLINOIS,WIN STOLLER,STATE SENATE,37,100118.2
ILLINOIS,CHRISTOPHER DAVIDSMEYER,STATE HOUSE,100,148147.77
ILLINOIS,DON HARMON,STATE SENATE,39,1235721.55
ILLINOIS,DANIEL P. BRADY,STATE HOUSE,105,0.0
ILLINOIS,DAVID ALLEN WELTER,STATE HOUSE,75,139947.65
ILLINOIS,DARREN BAILEY,STATE SENATE,55,148791.52
ILLINOIS,SUE SCHERER,STATE HOUSE,96,183976.32
ILLINOIS,MARGARET CROKE,STATE HOUSE,12,0.0
ILLINOIS,SCOTT M. BENNETT,STATE SENATE,52,173389.46
ILLINOIS,MATTIE HUNTER,STATE SENATE,3,225595.63
ILLINOIS,KIMBERLY A. LIGHTFORD,STATE SENATE,4,360178.92000000004
ILLINOIS,LAWRENCE M. WALSH,STATE HOUSE,86,36361.56
ILLINOIS,ANNE M. STAVA-MURRAY,STATE HOUSE,81,0.0
ILLINOIS,NEIL ANDERSON,STATE SENATE,36,1473899.56
ILLINOIS,ANDREW S. CHESNEY,STATE HOUSE,89,130920.45000000001
ILLINOIS,CHRIS MILLER,STATE HOUSE,110,21836.4
ILLINOIS,SUE REZIN,STATE SENATE,38,206948.22999999998
ILLINOIS,PATRICIA VAN PELT,STATE SENATE,5,87200.6
ILLINOIS,KEITH R. WHEELER,STATE HOUSE,50,185657.52000000002
ILLINOIS,DORIS TURNER,STATE SENATE,48,4170.78
ILLINOIS,DENYSE WANG STONEBACK,STATE HOUSE,16,198637.08
ILLINOIS,FRED CRESPO,STATE HOUSE,44,72459.84
ILLINOIS,RYAN SPAIN,STATE HOUSE,73,356735.3
ILLINOIS,LATOYA N. GREENWOOD,STATE HOUSE,114,93717.82
