STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,CONTRIBUTION & DONATION,50859.0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,POLITICAL FUNDS & GROUPS,41887.1
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,EVENT EXPENSES,15850.4
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,FUNDRAISING & FUNDRAISING CONSULTING,13077.3
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,MEDIA & ADS,4427.8
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,PRINTING,1750.0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,"PR, COMMUNICATIONS, & MARKETING",561.75
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,CREDIT CARD PAYMENT & BANK FEES,505.0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,FUEL & GAS,250.0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,0,0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,CONTRIBUTION & DONATION,7750.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,EVENT EXPENSES,2200.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,CREDIT CARD PAYMENT & BANK FEES,2000.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,MEDIA & ADS,1595.4199999999998
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,CREDIT CARD PROCESSING FEES,456.17
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,SHIPPING & POSTAGE,346.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,PRINTING,160.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,0,0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,0,0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,0,0
INDIANA,TONYA PFAFF,STATE HOUSE,43,GENERAL OPERATIONS & SUPPLIES,8504.99
INDIANA,TONYA PFAFF,STATE HOUSE,43,POLITICAL FUNDS & GROUPS,7450.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,CONTRIBUTION & DONATION,5900.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,EVENT EXPENSES,4000.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,CAMPAIGN CONSULTING,2500.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,PRINTING,2040.8
INDIANA,TONYA PFAFF,STATE HOUSE,43,MEDIA & ADS,1072.4
INDIANA,TONYA PFAFF,STATE HOUSE,43,CREDIT CARD PAYMENT & BANK FEES,802.0899999999999
INDIANA,TONYA PFAFF,STATE HOUSE,43,SHIPPING & POSTAGE,775.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,MEALS & CATERING,300.0
INDIANA,SHANE LINDAUER,STATE HOUSE,63,CONTRIBUTION & DONATION,18441.489999999998
INDIANA,SHANE LINDAUER,STATE HOUSE,63,MEDIA & ADS,10255.109999999999
INDIANA,SHANE LINDAUER,STATE HOUSE,63,FUNDRAISING & FUNDRAISING CONSULTING,1180.76
INDIANA,SHANE LINDAUER,STATE HOUSE,63,EVENT EXPENSES,862.0799999999999
INDIANA,SHANE LINDAUER,STATE HOUSE,63,WEBSITE SERVICES,437.9
INDIANA,SHANE LINDAUER,STATE HOUSE,63,GENERAL OPERATIONS & SUPPLIES,348.85
INDIANA,SHANE LINDAUER,STATE HOUSE,63,SHIPPING & POSTAGE,343.0
INDIANA,SHANE LINDAUER,STATE HOUSE,63,PRINTING,332.82
INDIANA,SHANE LINDAUER,STATE HOUSE,63,0,0
INDIANA,SHANE LINDAUER,STATE HOUSE,63,0,0
INDIANA,STACEY DONATO,STATE SENATE,18,MEDIA & ADS,36253.87
INDIANA,STACEY DONATO,STATE SENATE,18,DIGITAL & SOCIAL MEDIA CONSULTING,5480.55
INDIANA,STACEY DONATO,STATE SENATE,18,PRINTING,3857.86
INDIANA,STACEY DONATO,STATE SENATE,18,DIGITAL ADVERTISING,1332.4299999999998
INDIANA,STACEY DONATO,STATE SENATE,18,SHIPPING & POSTAGE,440.0
INDIANA,STACEY DONATO,STATE SENATE,18,GENERAL OPERATIONS & SUPPLIES,271.32
INDIANA,STACEY DONATO,STATE SENATE,18,CONTRIBUTION & DONATION,250.0
INDIANA,STACEY DONATO,STATE SENATE,18,EVENT EXPENSES,246.2
INDIANA,STACEY DONATO,STATE SENATE,18,MEALS & CATERING,213.966
INDIANA,STACEY DONATO,STATE SENATE,18,WEBSITE SERVICES,204.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,MEDIA & ADS,18077.980000000003
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,CONTRIBUTION & DONATION,16750.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,EVENT EXPENSES,8662.85
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,PRINTING,6259.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,POLITICAL FUNDS & GROUPS,2500.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,SOFTWARE & TECHNOLOGY,2010.52
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,GENERAL OPERATIONS & SUPPLIES,784.83
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,CREDIT CARD PROCESSING FEES,200.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,TRAVEL & LODGING,199.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,CREDIT CARD PAYMENT & BANK FEES,174.5
INDIANA,JOHN JACOB,STATE HOUSE,93,EVENT EXPENSES,36945.73
INDIANA,JOHN JACOB,STATE HOUSE,93,MEDIA & ADS,20581.6
INDIANA,JOHN JACOB,STATE HOUSE,93,DIGITAL ADVERTISING,7974.39
INDIANA,JOHN JACOB,STATE HOUSE,93,FUNDRAISING & FUNDRAISING CONSULTING,2077.09
INDIANA,JOHN JACOB,STATE HOUSE,93,CREDIT CARD PROCESSING FEES,1790.8
INDIANA,JOHN JACOB,STATE HOUSE,93,GENERAL OPERATIONS & SUPPLIES,1088.54
INDIANA,JOHN JACOB,STATE HOUSE,93,CAMPAIGN SIGNS & PARAPHERNALIA,979.48
INDIANA,JOHN JACOB,STATE HOUSE,93,SOFTWARE & TECHNOLOGY,450.0
INDIANA,JOHN JACOB,STATE HOUSE,93,MEALS & CATERING,156.51
INDIANA,JOHN JACOB,STATE HOUSE,93,PRINTING,125.0
