STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0.0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,129168.34999999998
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,14507.59
INDIANA,TONYA PFAFF,STATE HOUSE,43,33545.28
INDIANA,SHANE LINDAUER,STATE HOUSE,63,32202.010000000002
INDIANA,STACEY DONATO,STATE SENATE,18,48724.435999999994
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,55738.119999999995
INDIANA,JOHN JACOB,STATE HOUSE,93,72169.14
INDIANA,ZACH CHARLES PAYNE,STATE HOUSE,66,282923.91000000003
INDIANA,EARL L. HARRIS,STATE HOUSE,2,0.0
INDIANA,JON FORD,STATE SENATE,38,594832.18
INDIANA,RITA A. FLEMING,STATE HOUSE,71,41242.03999999999
INDIANA,RYAN LAUER,STATE HOUSE,59,21350.01000000001
INDIANA,EDWARD D. CLERE,STATE HOUSE,72,125758.73000000001
INDIANA,JEAN A. LEISING,STATE SENATE,42,53786.24999999999
INDIANA,SHARON NEGELE,STATE HOUSE,13,40106.72
INDIANA,JD FORD,STATE SENATE,29,507182.87000000005
INDIANA,SEAN R. EBERHART,STATE HOUSE,57,43691.490000000005
INDIANA,RICK NIEMEYER,STATE SENATE,6,13075.91
INDIANA,JEFFREY A. THOMPSON,STATE HOUSE,28,28263.140000000003
INDIANA,BRUCE A. BORDERS,STATE HOUSE,45,19802.520000000004
INDIANA,EDMOND L. SOLIDAY,STATE HOUSE,4,355063.61000000004
INDIANA,SHEILA ANN JOHNSTON KLINKER,STATE HOUSE,27,13766.84
INDIANA,CURT NISLY,STATE HOUSE,22,24671.82
INDIANA,MIKE GASKILL,STATE SENATE,26,275821.26
INDIANA,VERNON G. SMITH,STATE HOUSE,14,5219.84
INDIANA,JAMES R. BUCK,STATE SENATE,21,70499.22
INDIANA,ALAN MORRISON,STATE HOUSE,42,35789.34
INDIANA,RYAN DAVID HATFIELD,STATE HOUSE,77,104660.16
INDIANA,EDDIE D. MELTON,STATE SENATE,3,64734.950000000004
INDIANA,CHRIS JETER,STATE HOUSE,88,573596.63
INDIANA,DAVID L. NIEZGODSKI,STATE SENATE,10,260277.59
INDIANA,LONNIE MARCUS RANDOLPH,STATE SENATE,2,29019.739999999998
INDIANA,MAUREEN BAUER,STATE HOUSE,6,48010.89
INDIANA,ROBERT WILLIAM BEHNING,STATE HOUSE,91,35611.05
INDIANA,VANETA BECKER,STATE SENATE,50,20872.010000000002
INDIANA,CAROLYN B. JACKSON,STATE HOUSE,1,20075.55
INDIANA,MIKE SPEEDY,STATE HOUSE,90,24761.59
INDIANA,GERALD R. TORR,STATE HOUSE,39,553956.52
INDIANA,TRAVIS HOLDMAN,STATE SENATE,19,454167.82999999996
INDIANA,SUE E. ERRINGTON,STATE HOUSE,34,87183.1
INDIANA,JUSTIN MOED,STATE HOUSE,97,98448.73999999999
INDIANA,DENNIS J. ZENT,STATE HOUSE,51,58668.33
INDIANA,PEGGY MAYFIELD,STATE HOUSE,60,62038.649999999994
INDIANA,DONALD J. LEHE,STATE HOUSE,25,49896.130000000005
INDIANA,PHILLIP L. BOOTS,STATE SENATE,23,41287.700000000004
INDIANA,LINDA ROGERS,STATE SENATE,11,314918.32999999996
INDIANA,DAVID H. ABBOTT,STATE HOUSE,82,26889.04
INDIANA,MICHAEL R. CRIDER,STATE SENATE,28,109011.87000000002
INDIANA,RYAN M. DVORAK,STATE HOUSE,8,13308.96
INDIANA,JOHN T. YOUNG,STATE HOUSE,47,5750.0
INDIANA,DAVE HEINE,STATE HOUSE,85,107933.60999999999
INDIANA,SUSAN C. GLICK,STATE SENATE,13,95801.55
INDIANA,MIKE KARICKHOFF,STATE HOUSE,30,109866.96
INDIANA,ANDY ZAY,STATE SENATE,17,132775.06
INDIANA,JACK E. SANDLIN,STATE SENATE,36,613193.1699999999
INDIANA,BOB HEATON,STATE HOUSE,46,93292.34
INDIANA,RYAN D. MISHLER,STATE SENATE,9,149494.97
INDIANA,FRANK MRVAN,STATE SENATE,1,36582.81
INDIANA,ANTHONY J. COOK,STATE HOUSE,32,33257.43
INDIANA,JACK EDWARD JORDAN,STATE HOUSE,17,11565.439999999999
INDIANA,CHRIS D. MAY,STATE HOUSE,65,28888.94
INDIANA,BEAU BAIRD,STATE HOUSE,44,32215.58
INDIANA,STEPHEN R. BARTELS,STATE HOUSE,74,26765.89
INDIANA,KAREN ENGLEMAN,STATE HOUSE,70,21936.41
INDIANA,JIM LUCAS,STATE HOUSE,69,23656.26
INDIANA,JEAN D. BREAUX,STATE SENATE,34,34656.55
INDIANA,PATRICIA A. BOY,STATE HOUSE,9,14585.17
INDIANA,DOUGLAS L. GUTWEIN,STATE HOUSE,16,62167.28
INDIANA,MATT PIERCE,STATE HOUSE,61,16490.79
INDIANA,KYLE WALKER,STATE SENATE,31,8112.009999999999
INDIANA,ROBERT W. CHERRY,STATE HOUSE,53,44251.119999999995
INDIANA,MIKE ANDRADE,STATE HOUSE,12,73048.41
INDIANA,JEFF RAATZ,STATE SENATE,27,51467.07000000001
INDIANA,TIM O'BRIEN,STATE HOUSE,78,0.0
INDIANA,BLAKE DORIOT,STATE SENATE,12,65108.20000000001
INDIANA,RANDALL FRYE,STATE HOUSE,67,86088.82
INDIANA,GREGGORY F. WALKER,STATE SENATE,41,58174.72
INDIANA,ED CHARBONNEAU,STATE SENATE,5,248306.61
INDIANA,ETHAN MANNING,STATE HOUSE,23,52032.71
INDIANA,MICHELLE DAVIS,STATE HOUSE,58,94337.67000000001
INDIANA,JOHN BROCKMAN CRANE,STATE SENATE,24,29672.86
INDIANA,FADY QADDOURA,STATE SENATE,30,688644.73
INDIANA,CHARLES A. MOSELEY,STATE HOUSE,10,36192.58
INDIANA,JOANNA KING,STATE HOUSE,49,0.0
INDIANA,PHILIP GIAQUINTA,STATE HOUSE,80,420921.51999999996
INDIANA,BRADFORD J. BARRETT,STATE HOUSE,56,21297.910000000003
INDIANA,TIMOTHY WESCO,STATE HOUSE,21,20762.950000000004
INDIANA,BLAKE JOHNSON,STATE HOUSE,100,28545.02
INDIANA,CINDY LEDBETTER,STATE HOUSE,75,33213.18
INDIANA,JIM PRESSEL,STATE HOUSE,20,81653.94
INDIANA,ROBERT MORRIS,STATE HOUSE,84,42562.61
INDIANA,CHRIS CAMPBELL,STATE HOUSE,26,30947.860000000008
INDIANA,WENDY MCNAMARA,STATE HOUSE,76,90486.3
INDIANA,DANIEL J. LEONARD,STATE HOUSE,50,158439.59
INDIANA,CLYDE A. PERFECT,STATE SENATE,43,54367.630000000005
INDIANA,GREG TAYLOR,STATE SENATE,33,54181.25
INDIANA,CINDY MEYER ZIEMKE,STATE HOUSE,55,20122.59
INDIANA,ERIN HOUCHIN,STATE SENATE,47,155482.72999999998
INDIANA,MARK B. MESSMER,STATE SENATE,48,268117.80000000005
INDIANA,ERIC BASSLER,STATE SENATE,39,28320.539999999997
INDIANA,VANESSA J. SUMMERS,STATE HOUSE,99,4916.639999999999
INDIANA,CHRIS GARTEN,STATE SENATE,45,165481.91
INDIANA,MATT HOSTETTLER,STATE HOUSE,64,18531.800000000003
INDIANA,JUSTIN BUSCH,STATE SENATE,16,278837.37
INDIANA,MITCH GORE,STATE HOUSE,89,139771.95
INDIANA,TIMOTHY S. LANANE,STATE SENATE,25,249296.13
INDIANA,R. MICHAEL YOUNG,STATE SENATE,35,157373.86000000002
INDIANA,CHARLES GOODRICH,STATE HOUSE,29,63680.9
INDIANA,SCOTT A. BALDWIN,STATE SENATE,20,593001.73
INDIANA,RODRIC D. BRAY,STATE SENATE,37,445352.02999999997
INDIANA,DENNIS K. KRUSE,STATE SENATE,14,28376.37
INDIANA,RANDY LYNESS,STATE HOUSE,68,12268.53
INDIANA,JAKE TESHKA,STATE HOUSE,7,350465.9
INDIANA,RONALD J. ALTING,STATE SENATE,22,312585.16
INDIANA,MARTIN CARBAUGH,STATE HOUSE,81,428710.94999999995
INDIANA,HEATH R. VANNATTER,STATE HOUSE,38,53327.92
INDIANA,TERRI JO AUSTIN,STATE HOUSE,36,165015.63999999998
INDIANA,DOUGLAS L. MILLER,STATE HOUSE,48,33997.189999999995
INDIANA,JOHN L. BARTLETT,STATE HOUSE,95,26671.64
INDIANA,KAREN R. TALLIAN,STATE SENATE,4,107157.24
INDIANA,MATTHEW S. LEHMAN,STATE HOUSE,79,247567.09000000003
INDIANA,CHERRISH S. PRYOR,STATE HOUSE,94,47942.84
INDIANA,AARON FREEMAN,STATE SENATE,32,332951.1399999999
INDIANA,JIM ANDREW TOMES,STATE SENATE,49,147591.21
INDIANA,STEVEN DAVISSON,STATE HOUSE,73,26534.29
INDIANA,ANN VERMILION,STATE HOUSE,31,20414.67
INDIANA,DALE R. DEVON,STATE HOUSE,5,395628.95
INDIANA,ELIZABETH BROWN,STATE SENATE,15,36536.75
INDIANA,CRAIG SNOW,STATE HOUSE,18,69251.49999999999
INDIANA,RENEE PACK,STATE HOUSE,92,7921.67
INDIANA,JOHN PRESCOTT,STATE HOUSE,33,40259.46
INDIANA,CAREY HAMILTON,STATE HOUSE,87,62680.50000000001
INDIANA,THOMAS E. SAUNDERS,STATE HOUSE,54,26899.28
INDIANA,BRIAN BUCHANAN,STATE SENATE,7,199752.27
INDIANA,SHELLI YODER,STATE SENATE,40,112098.16
INDIANA,TIMOTHY N. BROWN,STATE HOUSE,41,169773.94
INDIANA,GREGORY W. PORTER,STATE HOUSE,96,72940.56
INDIANA,BENJAMIN SMALTZ,STATE HOUSE,52,80190.58
INDIANA,TODD HUSTON,STATE HOUSE,37,1679603.0
INDIANA,EDWARD O. DELANEY,STATE HOUSE,86,88724.08
INDIANA,ERIC JOSEPH HOLCOMB,GOVERNOR,,10991533.100000001
INDIANA,JULIE OLTHOFF,STATE HOUSE,19,308295.42
INDIANA,DONNA SCHAIBLEY,STATE HOUSE,24,555330.24
INDIANA,JEFF ELLINGTON,STATE HOUSE,62,41076.53
INDIANA,HAROLD SLAGER,STATE HOUSE,15,317924.05999999994
INDIANA,SUZANNE CROUCH,LIEUTENANT GOVERNOR,,1745748.45
INDIANA,ELIZABETH VANDELENE ROWRAY,STATE HOUSE,35,419281.34
INDIANA,RONALD T. GROOMS,STATE SENATE,46,252681.02000000002
