STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
IOWA,MARTI ANDERSON,STATE HOUSE,36,POLITICAL FUNDS & GROUPS,38700.0
IOWA,MARTI ANDERSON,STATE HOUSE,36,PRINTING,2459.14
IOWA,MARTI ANDERSON,STATE HOUSE,36,GENERAL OPERATIONS & SUPPLIES,652.86
IOWA,MARTI ANDERSON,STATE HOUSE,36,CREDIT CARD PROCESSING FEES,531.11
IOWA,MARTI ANDERSON,STATE HOUSE,36,TRAVEL & LODGING,475.1
IOWA,MARTI ANDERSON,STATE HOUSE,36,SHIPPING & POSTAGE,126.3
IOWA,MARTI ANDERSON,STATE HOUSE,36,0,0.0
IOWA,MARTI ANDERSON,STATE HOUSE,36,0,0.0
IOWA,MARTI ANDERSON,STATE HOUSE,36,0,0.0
IOWA,MARTI ANDERSON,STATE HOUSE,36,0,0.0
IOWA,ANN MEYER,STATE HOUSE,9,PRINTING,125837.38
IOWA,ANN MEYER,STATE HOUSE,9,GENERAL OPERATIONS & SUPPLIES,4173.9800000000005
IOWA,ANN MEYER,STATE HOUSE,9,MEDIA & ADS,3441.0
IOWA,ANN MEYER,STATE HOUSE,9,"PR, COMMUNICATIONS, & MARKETING",2178.35
IOWA,ANN MEYER,STATE HOUSE,9,CREDIT CARD PROCESSING FEES,409.21000000000004
IOWA,ANN MEYER,STATE HOUSE,9,MEALS & CATERING,100.0
IOWA,ANN MEYER,STATE HOUSE,9,EVENT EXPENSES,35.0
IOWA,ANN MEYER,STATE HOUSE,9,CREDIT CARD PAYMENT & BANK FEES,26.35
IOWA,ANN MEYER,STATE HOUSE,9,0,0.0
IOWA,ANN MEYER,STATE HOUSE,9,0,0.0
IOWA,HENRY STONE,STATE HOUSE,7,PRINTING,8136.51
IOWA,HENRY STONE,STATE HOUSE,7,GENERAL OPERATIONS & SUPPLIES,1563.5
IOWA,HENRY STONE,STATE HOUSE,7,"PR, COMMUNICATIONS, & MARKETING",1421.4499999999998
IOWA,HENRY STONE,STATE HOUSE,7,SHIPPING & POSTAGE,165.0
