STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
IOWA,MARTI ANDERSON,STATE HOUSE,36,42944.51
IOWA,ANN MEYER,STATE HOUSE,9,136201.27000000002
IOWA,HENRY STONE,STATE HOUSE,7,11353.58
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0.0
IOWA,KEN ROZENBOOM,STATE SENATE,40,83428.08
IOWA,SUE CAHILL,STATE HOUSE,71,41758.85
IOWA,MARY WOLFE,STATE HOUSE,98,33015.81
IOWA,DAVID JACOBY,STATE HOUSE,74,70156.6
IOWA,STAN GUSTAFSON,STATE HOUSE,25,22346.239999999998
IOWA,BRIAN K. LOHSE,STATE HOUSE,30,88125.97
IOWA,DAVID E. MAXWELL,STATE HOUSE,76,49776.270000000004
IOWA,BROOKE BODEN,STATE HOUSE,26,15116.28
IOWA,ANNETTE SWEENEY,STATE SENATE,25,74016.52
IOWA,CRAIG JOHNSON,STATE SENATE,32,0.0
IOWA,AMY SINCLAIR,STATE SENATE,14,67414.68
IOWA,DEAN C. FISHER,STATE HOUSE,72,49099.94
IOWA,TIM GOODWIN,STATE SENATE,44,54667.17999999999
IOWA,DAWN DRISCOLL,STATE SENATE,38,39716.100000000006
IOWA,HERMAN C. QUIRMBACH,STATE SENATE,23,53109.030000000006
IOWA,JOE MITCHELL,STATE HOUSE,84,0.0
IOWA,TERRY BAXTER,STATE HOUSE,8,17142.05
IOWA,SHANNON LUNDGREN,STATE HOUSE,57,108351.42
IOWA,CARTER NORDMAN,STATE HOUSE,19,23219.23
IOWA,JOHN H. WILLS,STATE HOUSE,1,141500.75
IOWA,MARK S. LOFGREN,STATE SENATE,46,83200.46
IOWA,TOM MOORE,STATE HOUSE,21,12894.83
IOWA,ADAM GREGG,LIEUTENANT GOVERNOR,,235.32000000000002
IOWA,HOLLY BRINK,STATE HOUSE,80,92917.38000000002
IOWA,ZACH WAHLS,STATE SENATE,37,219592.03
IOWA,EDDIE ANDREWS,STATE HOUSE,39,25003.03
IOWA,ROSS C. PAUSTIAN,STATE HOUSE,92,81512.09
IOWA,STEVEN D. HANSEN,STATE HOUSE,14,45930.170000000006
IOWA,CARRIE KOELKER,STATE SENATE,29,44134.969999999994
IOWA,GARRETT GOBBLE,STATE HOUSE,38,18153.84
IOWA,CHARLES ISENHART,STATE HOUSE,100,32321.880000000005
IOWA,JOEL FRY,STATE HOUSE,27,76716.03
IOWA,JANET PETERSEN,STATE SENATE,18,382949.74000000005
IOWA,JOE L. BOLKCOM,STATE SENATE,43,90466.13000000002
IOWA,LIZ BENNETT,STATE HOUSE,65,18559.08
IOWA,SHANNON LATHAM,STATE HOUSE,54,47129.520000000004
IOWA,RICK L. OLSON,STATE HOUSE,31,36409.77
IOWA,GARY MOHR,STATE HOUSE,94,203465.14
IOWA,JOHN LANDON,STATE HOUSE,37,119137.6
IOWA,MARTIN L. GRABER,STATE HOUSE,83,4137.45
IOWA,JIM CARLIN,STATE SENATE,3,61240.84
IOWA,BRIAN MEYER,STATE HOUSE,33,44651.990000000005
IOWA,MOLLY DONAHUE,STATE HOUSE,68,55336.17999999999
IOWA,JEFF TAYLOR,STATE SENATE,2,8522.25
IOWA,KEVIN KINNEY,STATE SENATE,39,110840.98
IOWA,BRADLEY ZAUN,STATE SENATE,20,132649.09
IOWA,TONY BISIGNANO,STATE SENATE,17,60868.46
IOWA,LEE HEIN,STATE HOUSE,96,174677.76
IOWA,WESLEY C. BRECKENRIDGE,STATE HOUSE,29,95791.78
IOWA,GARY WORTHAN,STATE HOUSE,11,23644.920000000002
IOWA,MEGAN JONES,STATE HOUSE,2,138862.91
IOWA,CRAIG STEVEN WILLIAMS,STATE SENATE,6,125673.51
IOWA,ERIC GIDDENS,STATE SENATE,30,144664.25
IOWA,JEFFREY D. REICHMAN,STATE SENATE,42,21247.79
IOWA,CHERIELYNN WESTRICH,STATE HOUSE,81,30056.679999999997
IOWA,JASON SCHULTZ,STATE SENATE,9,45929.79
IOWA,PATRICK GRASSLEY,STATE HOUSE,50,1535394.6700000002
IOWA,TIMI BROWN-POWERS,STATE HOUSE,61,28128.3
IOWA,TODD PRICHARD,STATE HOUSE,52,596387.6399999999
