STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,GENERAL OPERATIONS & SUPPLIES,162153.86
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,BILL WESLEY,STATE HOUSE,91,CAMPAIGN SIGNS & PARAPHERNALIA,5272.169999999999
KENTUCKY,BILL WESLEY,STATE HOUSE,91,GENERAL OPERATIONS & SUPPLIES,4856.200000000001
KENTUCKY,BILL WESLEY,STATE HOUSE,91,MEDIA & ADS,1846.9299999999996
KENTUCKY,BILL WESLEY,STATE HOUSE,91,TRAVEL & LODGING,1781.67
KENTUCKY,BILL WESLEY,STATE HOUSE,91,SHIPPING & POSTAGE,1496.0
KENTUCKY,BILL WESLEY,STATE HOUSE,91,OFFICE EXPENSES,703.91
KENTUCKY,BILL WESLEY,STATE HOUSE,91,EVENT EXPENSES,323.51
KENTUCKY,BILL WESLEY,STATE HOUSE,91,MEALS & CATERING,243.56
KENTUCKY,BILL WESLEY,STATE HOUSE,91,ACCOUNTING & FINANCIAL MANAGEMENT,114.5
KENTUCKY,BILL WESLEY,STATE HOUSE,91,"PR, COMMUNICATIONS, & MARKETING",96.0
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,GENERAL OPERATIONS & SUPPLIES,38570.42
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,CREDIT CARD PAYMENT & BANK FEES,25873.88
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,CAMPAIGN CONSULTING,12500.0
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,SHIPPING & POSTAGE,9411.83
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,PRINTING,9152.07
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,CANVASSING & FIELD WORK,4280.25
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,CONTRIBUTION & DONATION,1400.0
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,"PR, COMMUNICATIONS, & MARKETING",663.2
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,WEBSITE SERVICES,583.2
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,MEDIA & ADS,510.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,CREDIT CARD PAYMENT & BANK FEES,99.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,CREDIT CARD PROCESSING FEES,20.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,MEDIA & ADS,18882.02
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,PRINTING,16516.190000000002
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,GENERAL OPERATIONS & SUPPLIES,8225.03
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,DIGITAL ADVERTISING,5840.84
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,SHIPPING & POSTAGE,2307.81
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,DIGITAL & SOCIAL MEDIA CONSULTING,2300.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,POLITICAL FUNDS & GROUPS,1200.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,SOFTWARE & TECHNOLOGY,1200.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,CAMPAIGN CONSULTING,700.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,CREDIT CARD PROCESSING FEES,684.74
KENTUCKY,DANNY CARROLL,STATE SENATE,2,GENERAL OPERATIONS & SUPPLIES,107863.63
KENTUCKY,DANNY CARROLL,STATE SENATE,2,BALANCE TRANSFER,55525.92
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,"PR, COMMUNICATIONS, & MARKETING",59172.799999999996
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,SALARY & PAYROLL,4300.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,SHIPPING & POSTAGE,1670.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,CAMPAIGN SIGNS & PARAPHERNALIA,916.68
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,EVENT EXPENSES,794.41
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,GENERAL OPERATIONS & SUPPLIES,749.84
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,POLITICAL FUNDS & GROUPS,450.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,OFFICE EXPENSES,436.70000000000005
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,DIGITAL ADVERTISING,289.19
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,MEALS & CATERING,254.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,DIGITAL ADVERTISING,5895.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,TRAVEL & LODGING,5768.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,CAMPAIGN SIGNS & PARAPHERNALIA,2260.7000000000003
KENTUCKY,SHANE BAKER,STATE HOUSE,85,CAMPAIGN CONSULTING,2000.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,"PR, COMMUNICATIONS, & MARKETING",1035.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,MEDIA & ADS,739.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,CREDIT CARD PROCESSING FEES,336.25
KENTUCKY,SHANE BAKER,STATE HOUSE,85,EVENT EXPENSES,265.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,WEBSITE SERVICES,230.87
KENTUCKY,SHANE BAKER,STATE HOUSE,85,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,GENERAL OPERATIONS & SUPPLIES,54909.77
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,BALANCE TRANSFER,46030.04
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,CREDIT CARD PAYMENT & BANK FEES,25319.91
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,BALANCE TRANSFER,23818.59
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,GENERAL OPERATIONS & SUPPLIES,216.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KAREN BERG,STATE SENATE,26,MEDIA & ADS,136961.0
KENTUCKY,KAREN BERG,STATE SENATE,26,CANVASSING & FIELD WORK,17500.0
KENTUCKY,KAREN BERG,STATE SENATE,26,CAMPAIGN CONSULTING,17000.0
KENTUCKY,KAREN BERG,STATE SENATE,26,TRAVEL & LODGING,6582.84
KENTUCKY,KAREN BERG,STATE SENATE,26,DIGITAL ADVERTISING,3982.09
KENTUCKY,KAREN BERG,STATE SENATE,26,GENERAL OPERATIONS & SUPPLIES,2424.15
KENTUCKY,KAREN BERG,STATE SENATE,26,"PR, COMMUNICATIONS, & MARKETING",1665.0
KENTUCKY,KAREN BERG,STATE SENATE,26,SHIPPING & POSTAGE,1477.0
KENTUCKY,KAREN BERG,STATE SENATE,26,CREDIT CARD PROCESSING FEES,1456.67
KENTUCKY,KAREN BERG,STATE SENATE,26,SOFTWARE & TECHNOLOGY,960.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,POLITICAL FUNDS & GROUPS,138419.03
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,"PR, COMMUNICATIONS, & MARKETING",23446.27
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,MEDIA & ADS,2593.3
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,SHIPPING & POSTAGE,877.92
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,MEALS & CATERING,666.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,CONTRIBUTION & DONATION,600.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,PRINTING,280.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,LEGAL SERVICES,260.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,REIMBURSEMENT,200.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,EVENT EXPENSES,109.22
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,"PR, COMMUNICATIONS, & MARKETING",36733.68
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,CREDIT CARD PAYMENT & BANK FEES,32563.88
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,GENERAL OPERATIONS & SUPPLIES,23038.29
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,SHIPPING & POSTAGE,130.34
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,CREDIT CARD PROCESSING FEES,61.879999999999995
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,0,0.0
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,0,0.0
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,0,0.0
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,0,0.0
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,0,0.0
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,CAMPAIGN CONSULTING,99204.19
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,CREDIT CARD PAYMENT & BANK FEES,27173.11
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,DIGITAL & SOCIAL MEDIA CONSULTING,12000.0
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,MEALS & CATERING,1859.73
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,TRAVEL & LODGING,1072.0900000000001
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,SHIPPING & POSTAGE,675.15
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,MEDIA & ADS,416.4
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,REIMBURSEMENT,321.38
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,GENERAL OPERATIONS & SUPPLIES,240.0
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,CONTRIBUTION & DONATION,200.0
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,"PR, COMMUNICATIONS, & MARKETING",32101.21
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,POLITICAL FUNDS & GROUPS,17140.73
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,CONTRIBUTION & DONATION,800.0
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,BALANCE TRANSFER,717.6
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,CAMPAIGN SIGNS & PARAPHERNALIA,715.5
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,GENERAL OPERATIONS & SUPPLIES,400.0
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,SHIPPING & POSTAGE,344.47
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,ACCOUNTING & FINANCIAL MANAGEMENT,200.0
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,EVENT EXPENSES,200.0
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,CREDIT CARD PROCESSING FEES,14.25
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,MEDIA & ADS,34715.68
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,GENERAL OPERATIONS & SUPPLIES,10318.97
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,CREDIT CARD PAYMENT & BANK FEES,8808.78
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,DIGITAL ADVERTISING,8696.32
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,CAMPAIGN SIGNS & PARAPHERNALIA,3471.17
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,CANVASSING & FIELD WORK,2725.0
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,SHIPPING & POSTAGE,2365.0
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,TRAVEL & LODGING,1200.0
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,WEBSITE SERVICES,504.0
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,"PR, COMMUNICATIONS, & MARKETING",171.0
KENTUCKY,LISA WILLNER,STATE HOUSE,35,CREDIT CARD PAYMENT & BANK FEES,29593.04
KENTUCKY,LISA WILLNER,STATE HOUSE,35,GENERAL OPERATIONS & SUPPLIES,25792.71
KENTUCKY,LISA WILLNER,STATE HOUSE,35,DIRECT MAIL,6475.0
KENTUCKY,LISA WILLNER,STATE HOUSE,35,DIGITAL ADVERTISING,510.62
KENTUCKY,LISA WILLNER,STATE HOUSE,35,EVENT EXPENSES,300.0
KENTUCKY,LISA WILLNER,STATE HOUSE,35,WEBSITE SERVICES,299.98
KENTUCKY,LISA WILLNER,STATE HOUSE,35,SHIPPING & POSTAGE,257.0
KENTUCKY,LISA WILLNER,STATE HOUSE,35,CREDIT CARD PROCESSING FEES,25.52
KENTUCKY,LISA WILLNER,STATE HOUSE,35,0,0.0
KENTUCKY,LISA WILLNER,STATE HOUSE,35,0,0.0
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,MEDIA & ADS,41500.0
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,"PR, COMMUNICATIONS, & MARKETING",20204.54
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,PRINTING,10062.68
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,POLLING & RESEARCH,6000.0
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,GENERAL OPERATIONS & SUPPLIES,3576.5800000000004
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,CONTRIBUTION & DONATION,1000.0
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,SALARY & PAYROLL,1000.0
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,CREDIT CARD PROCESSING FEES,852.48
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,CAMPAIGN SIGNS & PARAPHERNALIA,275.6
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,ACCOUNTING & FINANCIAL MANAGEMENT,200.0
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,GENERAL OPERATIONS & SUPPLIES,11472.18
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,MEDIA & ADS,11172.0
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,CAMPAIGN SIGNS & PARAPHERNALIA,1587.8400000000001
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,0,0.0
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,0,0.0
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,0,0.0
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,0,0.0
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,0,0.0
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,0,0.0
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,0,0.0
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,CREDIT CARD PAYMENT & BANK FEES,4296.26
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,GENERAL OPERATIONS & SUPPLIES,2809.37
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,CAMPAIGN SIGNS & PARAPHERNALIA,1774.99
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,MEDIA & ADS,1605.74
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,REIMBURSEMENT,1250.0
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,SALARY & PAYROLL,750.0
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,PRINTING,690.6
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,FUEL & GAS,565.0
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,MEALS & CATERING,420.4
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,SHIPPING & POSTAGE,251.0
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,GENERAL OPERATIONS & SUPPLIES,4140.59
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,SHIPPING & POSTAGE,131.67
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,0,0.0
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,0,0.0
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,0,0.0
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,0,0.0
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,0,0.0
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,0,0.0
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,0,0.0
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,0,0.0
KENTUCKY,TOM BUFORD,STATE SENATE,22,GENERAL OPERATIONS & SUPPLIES,65655.1
KENTUCKY,TOM BUFORD,STATE SENATE,22,0,0.0
KENTUCKY,TOM BUFORD,STATE SENATE,22,0,0.0
KENTUCKY,TOM BUFORD,STATE SENATE,22,0,0.0
KENTUCKY,TOM BUFORD,STATE SENATE,22,0,0.0
KENTUCKY,TOM BUFORD,STATE SENATE,22,0,0.0
KENTUCKY,TOM BUFORD,STATE SENATE,22,0,0.0
KENTUCKY,TOM BUFORD,STATE SENATE,22,0,0.0
KENTUCKY,TOM BUFORD,STATE SENATE,22,0,0.0
