STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,162153.86
KENTUCKY,BILL WESLEY,STATE HOUSE,91,16801.85
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,103367.84
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,119.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,59009.74
KENTUCKY,DANNY CARROLL,STATE SENATE,2,163389.55
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,69466.66
KENTUCKY,SHANE BAKER,STATE HOUSE,85,18529.820000000003
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,100939.81
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,49354.5
KENTUCKY,KAREN BERG,STATE SENATE,26,191413.05000000002
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,167495.72999999998
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,92528.07
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,143599.74000000002
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,52633.76
KENTUCKY,DEREK LEWIS,STATE HOUSE,90,73004.82
KENTUCKY,LISA WILLNER,STATE HOUSE,35,63253.87
KENTUCKY,JASON MICHAEL NEMES,STATE HOUSE,33,84701.87999999999
KENTUCKY,BOBBY WAYNE MCCOOL,STATE HOUSE,97,24232.02
KENTUCKY,NORMA KIRK-MCCORMICK,STATE HOUSE,93,14614.42
KENTUCKY,STEVE SHELDON,STATE HOUSE,17,4272.26
KENTUCKY,TOM BUFORD,STATE SENATE,22,65655.1
KENTUCKY,NANCY J. TATE,STATE HOUSE,27,90666.65000000001
KENTUCKY,JARED K. CARPENTER,STATE SENATE,34,153591.89
KENTUCKY,MELINDA GIBBONS PRUNTY,STATE HOUSE,15,94816.67
KENTUCKY,JOHNNIE L. TURNER,STATE SENATE,29,34998.09
KENTUCKY,RUTH ANN PALUMBO,STATE HOUSE,76,15950.0
KENTUCKY,SAMARA RAE HEAVRIN,STATE HOUSE,18,114215.51
KENTUCKY,JIM DUPLESSIS,STATE HOUSE,25,9139.759999999998
KENTUCKY,RYAN DOTSON,STATE HOUSE,73,24100.0
KENTUCKY,DAVID YATES,STATE SENATE,37,535.58
KENTUCKY,PATTI MINTER,STATE HOUSE,20,87758.75
KENTUCKY,KELLY FLOOD,STATE HOUSE,75,19309.87
KENTUCKY,GERALD A. NEAL,STATE SENATE,33,10187.89
KENTUCKY,JASON G. HOWELL,STATE SENATE,1,0.0
KENTUCKY,JOSH BRAY,STATE HOUSE,71,24599.34
KENTUCKY,JULIE RAQUE ADAMS,STATE SENATE,36,498952.37000000005
KENTUCKY,BERTRAM ROBERT STIVERS,STATE SENATE,25,204472.63
KENTUCKY,ATTICA WOODSON SCOTT,STATE HOUSE,41,3274.3100000000004
KENTUCKY,SHAWN MCPHERSON,STATE HOUSE,22,0.0
KENTUCKY,ADAM BOWLING,STATE HOUSE,87,49228.96000000001
KENTUCKY,JACQUELINE COLEMAN,LIEUTENANT GOVERNOR,,0.0
KENTUCKY,PAMELA D. STEVENSON,STATE HOUSE,43,9023.92
KENTUCKY,ROBERT GOFORTH,STATE HOUSE,89,778093.51
KENTUCKY,DENISE HARPER ANGEL,STATE SENATE,35,40274.61
KENTUCKY,DERRICK W. GRAHAM,STATE HOUSE,57,33076.1
KENTUCKY,FELICIA RABOURN,STATE HOUSE,47,38142.7
KENTUCKY,D. CHAD MCCOY,STATE HOUSE,50,134745.33
KENTUCKY,DAVID HALE,STATE HOUSE,74,97124.06
