STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,"PR, COMMUNICATIONS, & MARKETING",1311.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,SHIPPING & POSTAGE,665.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,TRAVEL & LODGING,334.69
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,LEGAL SERVICES,150.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,CAMPAIGN SIGNS & PARAPHERNALIA,50.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,CREDIT CARD PROCESSING FEES,11.8
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,0,0.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,0,0.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,0,0.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,0,0.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,PRINTING,6139.67
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,SOFTWARE & TECHNOLOGY,2211.66
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,MEALS & CATERING,481.38
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,CAMPAIGN CONSULTING,400.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,LEGAL SERVICES,79.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,TRAVEL & LODGING,34.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,CREDIT CARD PAYMENT & BANK FEES,14.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,0,0.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,0,0.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,0,0.0
MAINE,POPPY ARFORD,STATE HOUSE,49,TRAVEL & LODGING,6358.32
MAINE,POPPY ARFORD,STATE HOUSE,49,MEDIA & ADS,4365.25
MAINE,POPPY ARFORD,STATE HOUSE,49,PRINTING,770.1500000000001
MAINE,POPPY ARFORD,STATE HOUSE,49,DIGITAL ADVERTISING,721.52
MAINE,POPPY ARFORD,STATE HOUSE,49,GENERAL OPERATIONS & SUPPLIES,679.79
MAINE,POPPY ARFORD,STATE HOUSE,49,LEGAL SERVICES,328.5
MAINE,POPPY ARFORD,STATE HOUSE,49,SHIPPING & POSTAGE,309.6
MAINE,POPPY ARFORD,STATE HOUSE,49,CANVASSING & FIELD WORK,305.9
MAINE,POPPY ARFORD,STATE HOUSE,49,WEBSITE SERVICES,180.27
MAINE,POPPY ARFORD,STATE HOUSE,49,SOFTWARE & TECHNOLOGY,104.92999999999999
MAINE,ANNE M. CARNEY,STATE SENATE,29,PRINTING,19942.079999999998
MAINE,ANNE M. CARNEY,STATE SENATE,29,SALARY & PAYROLL,13500.0
MAINE,ANNE M. CARNEY,STATE SENATE,29,MEDIA & ADS,9702.419999999998
MAINE,ANNE M. CARNEY,STATE SENATE,29,SHIPPING & POSTAGE,9329.130000000001
MAINE,ANNE M. CARNEY,STATE SENATE,29,CAMPAIGN SIGNS & PARAPHERNALIA,8106.699999999999
MAINE,ANNE M. CARNEY,STATE SENATE,29,DIGITAL ADVERTISING,6651.9
MAINE,ANNE M. CARNEY,STATE SENATE,29,TRAVEL & LODGING,5607.72
MAINE,ANNE M. CARNEY,STATE SENATE,29,LEGAL SERVICES,4700.0
MAINE,ANNE M. CARNEY,STATE SENATE,29,"PR, COMMUNICATIONS, & MARKETING",2000.0
MAINE,ANNE M. CARNEY,STATE SENATE,29,CREDIT CARD PROCESSING FEES,1212.24
MAINE,GARY A. DRINKWATER,STATE HOUSE,121,DIRECT MAIL,5458.39
MAINE,GARY A. DRINKWATER,STATE HOUSE,121,SALARY & PAYROLL,1300.0
