STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,2522.4900000000002
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,9359.710000000001
MAINE,POPPY ARFORD,STATE HOUSE,49,14265.199999999999
MAINE,ANNE M. CARNEY,STATE SENATE,29,81285.92000000001
MAINE,GARY A. DRINKWATER,STATE HOUSE,121,7235.849999999999
MAINE,JOSHUA K. MORRIS,STATE HOUSE,75,8730.5
MAINE,RICHARD M. CEBRA,STATE HOUSE,68,3269.05
MAINE,RENA D. NEWELL,STATE HOUSE,PASSAMAQUODDY TRIBE,0.0
MAINE,JANICE S. DODGE,STATE HOUSE,97,3846.8099999999995
MAINE,REBECCA J. MILLETT,STATE HOUSE,30,0.0
MAINE,MARK W. LAWRENCE,STATE SENATE,35,37686.130000000005
MAINE,DONNA A. BAILEY,STATE SENATE,31,35198.42999999999
MAINE,RICHARD A. EVANS,STATE HOUSE,120,0.0
MAINE,SHELLEY J. RUDNICKI,STATE HOUSE,108,4102.709999999999
MAINE,MICHAEL D. PERKINS,STATE HOUSE,77,0.0
MAINE,GINA M. MELARAGNO,STATE HOUSE,62,3265.02
MAINE,MARK JOHN BLIER,STATE HOUSE,22,0.0
MAINE,TRACY QUINT,STATE HOUSE,144,1500.0
MAINE,COLLEEN M. MADIGAN,STATE HOUSE,110,2003.26
MAINE,LYDIA BLUME,STATE HOUSE,3,0.0
MAINE,RALPH L. TUCKER,STATE HOUSE,50,10078.470000000001
MAINE,PAUL T. DAVIS,STATE SENATE,4,0.0
MAINE,RANDALL ADAM GREENWOOD,STATE HOUSE,82,10698.52
MAINE,SHERMAN HUTCHINS,STATE HOUSE,131,2527.62
MAINE,MARIANNE MOORE,STATE SENATE,6,14883.58
MAINE,WILLIAM DONOHUE PLUECKER,STATE HOUSE,95,12656.099999999999
MAINE,SCOTT W. CYRWAY,STATE SENATE,16,24210.480000000003
MAINE,JOSEPH E. RAFFERTY,STATE SENATE,34,57757.060000000005
MAINE,TAVIS ROCK HASENFUS,STATE HOUSE,81,18271.56
MAINE,JAMES E. THORNE,STATE HOUSE,103,13377.189999999999
MAINE,LESTER S. ORDWAY,STATE HOUSE,23,2204.7200000000003
MAINE,JESSICA L. FAY,STATE HOUSE,66,11535.65
MAINE,DAVID G. HAGGAN,STATE HOUSE,101,7574.41
MAINE,SUSAN BERNARD,STATE HOUSE,149,7472.77
MAINE,AMY B. ARATA,STATE HOUSE,65,9556.78
MAINE,BRADLEE THOMAS FARRIN,STATE SENATE,3,0.0
MAINE,NICOLE GROHOSKI,STATE HOUSE,132,15511.41
MAINE,JEFFREY L. TIMBERLAKE,STATE SENATE,22,572.6
MAINE,JOHN L. TUTTLE,STATE HOUSE,18,12091.83
MAINE,THOMAS H. MARTIN,STATE HOUSE,57,0.0
MAINE,CHLOE S. MAXMIN,STATE SENATE,13,69713.42
MAINE,MATTHEA ELISABETH DAUGHTRY,STATE SENATE,24,0.0
MAINE,STEVEN D. FOSTER,STATE HOUSE,104,843.3600000000001
MAINE,BRADEN K. SHARPE,STATE HOUSE,46,2739.0
MAINE,SETH A. BERRY,STATE HOUSE,55,31989.2
MAINE,JONATHAN M. CONNOR,STATE HOUSE,58,9550.39
MAINE,CHARLOTTE MAY WARREN,STATE HOUSE,84,12623.95
MAINE,LAUREL D. LIBBY,STATE HOUSE,64,33052.97
MAINE,ANN H. MATLACK,STATE HOUSE,92,8150.33
MAINE,JEFFREY P. EVANGELOS,STATE HOUSE,91,16099.0
MAINE,RYAN MICHAEL FECTEAU,STATE HOUSE,11,1115.46
MAINE,THEODORE J. KRYZAK,STATE HOUSE,20,3925.68
MAINE,DAVID R. MIRAMANT,STATE SENATE,12,55742.520000000004
MAINE,STEPHEN W. MORIARTY,STATE HOUSE,45,19563.5
MAINE,NATHAN J. WADSWORTH,STATE HOUSE,70,0.0
MAINE,CATHERINE M. NADEAU,STATE HOUSE,78,0.0
MAINE,DANIEL NEWMAN,STATE HOUSE,76,6503.87
MAINE,MARK E. BRYANT,STATE HOUSE,24,2952.3199999999997
MAINE,H. SCOTT LANDRY,STATE HOUSE,113,12591.8
MAINE,ROBERT W. ALLEY,STATE HOUSE,138,8376.480000000001
MAINE,JOHN L. MARTIN,STATE HOUSE,151,8469.45
MAINE,JOHN E. ANDREWS,STATE HOUSE,73,10565.260000000002
MAINE,G. WILLIAM DIAMOND,STATE SENATE,26,8513.78
MAINE,CHRISTOPHER JAMES CAIAZZO,STATE HOUSE,28,0.0
MAINE,SHEILA A. LYMAN,STATE HOUSE,74,16371.7
MAINE,SARAH A. PEBWORTH,STATE HOUSE,133,3000.09
MAINE,ANNE CHURCHILL PERRY,STATE HOUSE,140,7579.9
MAINE,MARGARET M. CRAVEN,STATE HOUSE,59,5340.5
MAINE,MAUREEN FITZGERALD TERRY,STATE HOUSE,26,5840.43
MAINE,H. SAWIN MILLETT,STATE HOUSE,71,10252.64
MAINE,DAVID HAROLD MCCREA,STATE HOUSE,148,0.0
MAINE,BARBARA A. CARDONE,STATE HOUSE,127,6087.0
MAINE,LYDIA V. CRAFTS,STATE HOUSE,90,11668.42
MAINE,TIMOTHY M. ROCHE,STATE HOUSE,7,5541.74
MAINE,RICHARD A. PICKETT,STATE HOUSE,116,7983.370000000001
MAINE,VICTORIA W. DOUDERA,STATE HOUSE,94,3125.0
MAINE,AMY J. ROEDER,STATE HOUSE,125,4798.1900000000005
MAINE,SCOTT W. CUDDY,STATE HOUSE,98,11402.970000000001
MAINE,GRAYSON B. LOOKNER,STATE HOUSE,37,10589.77
MAINE,SOPHIA B. WARREN,STATE HOUSE,29,22123.9
MAINE,CHRISTOPHER W. BABBIDGE,STATE HOUSE,8,11997.67
MAINE,MICHAEL H. LEMELIN,STATE HOUSE,88,0.0
MAINE,BETH A. O'CONNOR,STATE HOUSE,5,231.57
MAINE,SUSAN M. AUSTIN,STATE HOUSE,67,4001.96
MAINE,ROLAND DANIEL MARTIN,STATE HOUSE,150,5377.84
MAINE,JUSTIN JACOB FECTEAU,STATE HOUSE,86,24899.23
MAINE,SUSAN A. DESCHAMBAULT,STATE SENATE,32,24765.68
MAINE,MELDON H. CARMICHAEL,STATE HOUSE,137,5659.839999999999
MAINE,LORI KATHRYN GRAMLICH,STATE HOUSE,13,10754.73
MAINE,MICHAEL A. SYLVESTER,STATE HOUSE,39,0.0
MAINE,PETER A. LYFORD,STATE HOUSE,129,2067.3599999999997
MAINE,STACY FIELDING BRENNER,STATE SENATE,30,68508.65000000001
MAINE,TIMOTHY S. THERIAULT,STATE HOUSE,79,827.27
MAINE,BRUCE A. WHITE,STATE HOUSE,109,17298.810000000005
MAINE,MICHELLE ANN DUNPHY,STATE HOUSE,122,6581.74
MAINE,THOMAS A. HARNETT,STATE HOUSE,83,10738.59
MAINE,ELOISE A. VITELLI,STATE SENATE,23,63396.62
MAINE,BENJAMIN M. CHIPMAN,STATE SENATE,27,6990.93
MAINE,PATRICK W. COREY,STATE HOUSE,25,2112.249999999999
MAINE,JEFFREY P. HANLEY,STATE HOUSE,87,1002.02
MAINE,MORGAN J. RIELLY,STATE HOUSE,34,2109.28
MAINE,WILLIAM R. TUELL,STATE HOUSE,139,0.0
MAINE,RICHARD G. MASON,STATE HOUSE,56,10498.42
MAINE,CHAD WAYNE GRIGNON,STATE HOUSE,118,1400.0
MAINE,BRUCE A. BICKFORD,STATE HOUSE,63,5703.95
MAINE,KEVIN JM O'CONNELL,STATE HOUSE,128,7261.29
MAINE,JAMES F. DILL,STATE SENATE,5,54599.36
MAINE,PATRICIA HYMANSON,STATE HOUSE,4,7120.8
MAINE,WALTER N. RISEMAN,STATE HOUSE,69,0.0
MAINE,JENNIFER LYNN POIRIER,STATE HOUSE,107,4529.79
MAINE,KATHY I. JAVNER,STATE HOUSE,141,6003.25
MAINE,JOSANNE C. DOLLOFF,STATE HOUSE,115,6757.48
MAINE,KRISTEN S. CLOUTIER,STATE HOUSE,60,8110.93
MAINE,MICHELE MEYER,STATE HOUSE,2,14725.470000000001
MAINE,JOYCE E. MCCREIGHT,STATE HOUSE,51,12642.48
MAINE,MICHAEL F. BRENNAN,STATE HOUSE,36,0.0
