STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,MEDIA & ADS,32877.44
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,PRINTING,24108.25
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,CAMPAIGN SIGNS & PARAPHERNALIA,12971.89
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,GENERAL OPERATIONS & SUPPLIES,7273.340000000001
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,UTILITIES,6500.0
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,SALARY & PAYROLL PROCESSING FEE,6224.41
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,"PR, COMMUNICATIONS, & MARKETING",4265.43
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,TRAVEL & LODGING,3662.4700000000003
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,CAMPAIGN CONSULTING,3000.0
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,MEALS & CATERING,2563.1599999999994
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,PRINTING,26578.89
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,MEDIA & ADS,14558.189999999999
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,GENERAL OPERATIONS & SUPPLIES,9368.68
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,MEALS & CATERING,6822.0
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,CAMPAIGN SIGNS & PARAPHERNALIA,5368.93
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,DIRECT MAIL,4090.83
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,SHIPPING & POSTAGE,2998.04
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,POLITICAL FUNDS & GROUPS,2800.0
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,OFFICE EXPENSES,1200.0
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,"PR, COMMUNICATIONS, & MARKETING",500.0
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,CAMPAIGN CONSULTING,41136.3
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,MEDIA & ADS,25584.6
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,ACCOUNTING & FINANCIAL MANAGEMENT,16740.0
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,"PR, COMMUNICATIONS, & MARKETING",8450.0
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,SHIPPING & POSTAGE,6727.91
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,PRINTING,6647.09
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,DIGITAL ADVERTISING,6095.78
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,CAMPAIGN SIGNS & PARAPHERNALIA,3363.42
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,CANVASSING & FIELD WORK,3078.72
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,GENERAL OPERATIONS & SUPPLIES,2712.07
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,DIRECT MAIL,18765.02
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,PRINTING,2039.2299999999998
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,CAMPAIGN SIGNS & PARAPHERNALIA,1878.9
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,SOFTWARE & TECHNOLOGY,1068.0
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,CREDIT CARD PROCESSING FEES,623.74
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,CANVASSING & FIELD WORK,512.07
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,GENERAL OPERATIONS & SUPPLIES,408.24
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,ACCOUNTING & FINANCIAL MANAGEMENT,275.0
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,MEALS & CATERING,256.93
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,MEDIA & ADS,250.0
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,CREDIT CARD PAYMENT & BANK FEES,44131.28
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,ACCOUNTING & FINANCIAL MANAGEMENT,23610.0
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,SHIPPING & POSTAGE,11086.330000000002
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,CAMPAIGN SIGNS & PARAPHERNALIA,4716.34
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,GENERAL OPERATIONS & SUPPLIES,4185.030000000001
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,MEALS & CATERING,3870.33
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,MEDIA & ADS,2122.65
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,POLITICAL FUNDS & GROUPS,1600.32
