STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0.0
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,113192.15000000001
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,75081.65000000001
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,133575.80000000002
MARYLAND,JACK BAILEY,STATE SENATE,29,0.0
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,26461.75
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,97126.33
MARYLAND,BRIAN M. CROSBY,STATE HOUSE,29B,87645.04
MARYLAND,JAMES C. ROSAPEPE,STATE SENATE,21,266234.68
MARYLAND,GABRIEL ACEVERO,STATE HOUSE,39,48819.67999999999
MARYLAND,PAMELA G. BEIDLE,STATE SENATE,32,173649.93
MARYLAND,CATHERINE M. FORBES,STATE HOUSE,42A,0.0
MARYLAND,VANESSA E. ATTERBEARY,STATE HOUSE,13,80123.54999999999
MARYLAND,SHANEKA HENSON,STATE HOUSE,30A,0.0
MARYLAND,DARRYL BARNES,STATE HOUSE,25,66762.53000000001
MARYLAND,LISA M. BELCASTRO,STATE HOUSE,11,3705.5600000000004
MARYLAND,SARA LOVE,STATE HOUSE,16,168970.38999999998
MARYLAND,WANIKA FISHER,STATE HOUSE,47B,63210.85999999999
MARYLAND,JULIAN IVEY,STATE HOUSE,47A,49614.380000000005
MARYLAND,SUSAN C. LEE,STATE SENATE,16,154347.82
MARYLAND,WILLIAM C. SMITH,STATE SENATE,20,91513.17
MARYLAND,ANNE R. KAISER,STATE HOUSE,14,0.0
MARYLAND,MICHAEL A. JACKSON,STATE SENATE,27,72708.36000000002
MARYLAND,MARY ANN LISANTI,STATE HOUSE,34A,149433.16999999998
MARYLAND,KIRILL REZNIK,STATE HOUSE,39,109829.16999999998
MARYLAND,JASON C. BUCKEL,STATE HOUSE,1B,0.0
MARYLAND,EDITH J. PATTERSON,STATE HOUSE,28,38489.770000000004
MARYLAND,J. B. JENNINGS,STATE SENATE,7,209452.46
MARYLAND,J. SANDY BARTLETT,STATE HOUSE,32,47368.6
MARYLAND,DERECK EUGENE DAVIS,STATE HOUSE,25,348614.55
MARYLAND,DOUGLAS J. J. PETERS,STATE SENATE,23,442710.29000000004
MARYLAND,BRENDA J. THIAM,STATE HOUSE,2B,0.0
MARYLAND,RON WATSON,STATE HOUSE,23B,127904.91
MARYLAND,ALFRED CLINTON CARR,STATE HOUSE,18,63882.69
MARYLAND,NEIL C. PARROTT,STATE HOUSE,2A,0.0
MARYLAND,SETH A. HOWARD,STATE HOUSE,30B,48914.04
MARYLAND,JAY WALKER,STATE HOUSE,26,121630.12
MARYLAND,LESLEY J. LOPEZ,STATE HOUSE,39,19001.930000000004
MARYLAND,WENDELL R. BEITZEL,STATE HOUSE,1A,27741.59
MARYLAND,MIKE GRIFFITH,STATE HOUSE,35B,0.0
MARYLAND,BENJAMIN F. KRAMER,STATE SENATE,19,98831.31999999999
MARYLAND,CHERYL C. KAGAN,STATE SENATE,17,59906.42
MARYLAND,DIANA M. FENNELL,STATE HOUSE,47A,60513.229999999996
MARYLAND,HARRY H. B. BHANDARI,STATE HOUSE,8,0.0
MARYLAND,CLARENCE K. LAM,STATE SENATE,12,170023.72999999998
MARYLAND,STEVEN JAMES ARENTZ,STATE HOUSE,36,0.0
MARYLAND,JAY JALISI,STATE HOUSE,10,0.0
MARYLAND,EREK L. BARRON,STATE HOUSE,24,107697.17000000001
MARYLAND,DELORES G. KELLEY,STATE SENATE,10,144801.4
MARYLAND,KRISELDA VALDERRAMA,STATE HOUSE,26,0.0
MARYLAND,KATIE FRY HESTER,STATE SENATE,9,0.0
MARYLAND,NICOLE A. WILLIAMS,STATE HOUSE,22,52324.65000000001
