STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,GENERAL OPERATIONS & SUPPLIES,39796.600000000006
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,FUNDRAISING & FUNDRAISING CONSULTING,10015.25
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,MEALS & CATERING,9074.07
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,CONTRIBUTION & DONATION,6321.58
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,POLITICAL FUNDS & GROUPS,5744.58
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,TRAVEL & LODGING,3512.9300000000003
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,OFFICE EXPENSES,3319.3000000000006
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,EVENT EXPENSES,3168.0299999999997
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,SOFTWARE & TECHNOLOGY,3103.36
MASSACHUSETTS,KATE HOGAN,STATE HOUSE,THIRD MIDDLESEX,PRINTING,2916.67
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,GENERAL OPERATIONS & SUPPLIES,4412.03
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,POLITICAL FUNDS & GROUPS,1300.0
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,DIGITAL ADVERTISING,119.99
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,CREDIT CARD PROCESSING FEES,70.13
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,SALARY & PAYROLL,28.04
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,0,0.0
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,0,0.0
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,0,0.0
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,0,0.0
MASSACHUSETTS,DAVID PAUL LINSKY,STATE HOUSE,FIFTH MIDDLESEX,0,0.0
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,GENERAL OPERATIONS & SUPPLIES,6132.9800000000005
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,POLITICAL FUNDS & GROUPS,1625.0
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,SOFTWARE & TECHNOLOGY,1328.0
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,SALARY & PAYROLL,1099.39
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,TRAVEL & LODGING,591.85
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,MEALS & CATERING,366.24
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,CONTRIBUTION & DONATION,330.0
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,PRINTING,250.0
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,SHIPPING & POSTAGE,110.0
MASSACHUSETTS,JOSEPH D. MCKENNA,STATE HOUSE,EIGHTEENTH WORCESTER,CAMPAIGN SIGNS & PARAPHERNALIA,100.0
MASSACHUSETTS,ADAM J. SCANLON,STATE HOUSE,FOURTEENTH BRISTOL,0,0.0
