STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
MICHIGAN,MARK TISDEL,STATE HOUSE,45,SHIPPING & POSTAGE,92130.35
MICHIGAN,MARK TISDEL,STATE HOUSE,45,MEDIA & ADS,76949.13
MICHIGAN,MARK TISDEL,STATE HOUSE,45,CAMPAIGN CONSULTING,9700.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,OFFICE EXPENSES,3203.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,DIGITAL ADVERTISING,2172.29
MICHIGAN,MARK TISDEL,STATE HOUSE,45,CONTRIBUTION & DONATION,1600.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,DIRECT MAIL,1500.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,PRINTING,949.85
MICHIGAN,MARK TISDEL,STATE HOUSE,45,MEALS & CATERING,860.94
MICHIGAN,MARK TISDEL,STATE HOUSE,45,CANVASSING & FIELD WORK,550.0
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,PRINTING,34325.92
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,POLITICAL FUNDS & GROUPS,23000.0
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,CONTRIBUTION & DONATION,2900.0
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,EVENT EXPENSES,2650.7
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,MEALS & CATERING,2201.39
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,GENERAL OPERATIONS & SUPPLIES,2156.1800000000003
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,SALARY & PAYROLL,1534.8200000000002
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,MEDIA & ADS,1461.99
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,SHIPPING & POSTAGE,612.5
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,CANVASSING & FIELD WORK,600.0
MICHIGAN,ANDREW FINK,STATE HOUSE,58,MEDIA & ADS,18020.25
MICHIGAN,ANDREW FINK,STATE HOUSE,58,PRINTING,15086.72
MICHIGAN,ANDREW FINK,STATE HOUSE,58,SALARY & PAYROLL,10530.119999999999
MICHIGAN,ANDREW FINK,STATE HOUSE,58,TRAVEL & LODGING,7486.240000000001
MICHIGAN,ANDREW FINK,STATE HOUSE,58,SHIPPING & POSTAGE,6900.27
