STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
MICHIGAN,MARK TISDEL,STATE HOUSE,45,190685.26
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,72435.26000000001
MICHIGAN,ANDREW FINK,STATE HOUSE,58,67263.83
MICHIGAN,STEPHANIE CHANG,STATE SENATE,1,179835.77000000002
MICHIGAN,GARLIN D. GILCHRIST,LIEUTENANT GOVERNOR,,0.0
MICHIGAN,WINNIE BRINKS,STATE SENATE,29,418181.19
MICHIGAN,KEVIN DALEY,STATE SENATE,31,627476.85
MICHIGAN,RYAN BERMAN,STATE HOUSE,39,206610.33
MICHIGAN,DARRIN CAMILLERI,STATE HOUSE,23,217094.09000000003
MICHIGAN,MARY CAVANAGH,STATE HOUSE,10,41796.84
MICHIGAN,JASON WENTWORTH,STATE HOUSE,97,121165.05
MICHIGAN,GRETCHEN E. WHITMER,GOVERNOR,,24762354.369999997
MICHIGAN,MARSHALL BULLOCK,STATE SENATE,4,72845.31
MICHIGAN,JON BUMSTEAD,STATE SENATE,34,1237163.21
MICHIGAN,SARAH ANTHONY,STATE HOUSE,68,36180.689999999995
MICHIGAN,ARIC NESBITT,STATE SENATE,26,318926.26
MICHIGAN,RUTH JOHNSON,STATE SENATE,14,25649.139999999996
MICHIGAN,RONNIE D. PETERSON,STATE HOUSE,54,36911.17
MICHIGAN,LORI M. STONE,STATE HOUSE,28,42628.89
MICHIGAN,STEVE CARRA,STATE HOUSE,59,38182.799999999996
MICHIGAN,RACHEL HOOD,STATE HOUSE,76,99613.13
MICHIGAN,MARK E. HUIZENGA,STATE HOUSE,74,84355.43
MICHIGAN,PAULINE WENDZEL,STATE HOUSE,79,144917.12
MICHIGAN,ROGER HAUCK,STATE HOUSE,99,142547.94999999998
MICHIGAN,CYNTHIA R. NEELEY,STATE HOUSE,34,24045.1
MICHIGAN,KIM LASATA,STATE SENATE,21,51516.69
MICHIGAN,AMOS O'NEAL,STATE HOUSE,95,39482.840000000004
