STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
MINNESOTA,JEN MCEWEN,STATE SENATE,7,MEDIA & ADS,36683.55
MINNESOTA,JEN MCEWEN,STATE SENATE,7,CREDIT CARD PROCESSING FEES,4423.71
MINNESOTA,JEN MCEWEN,STATE SENATE,7,POLITICAL FUNDS & GROUPS,4000.0
MINNESOTA,JEN MCEWEN,STATE SENATE,7,PRINTING,3888.8799999999997
MINNESOTA,JEN MCEWEN,STATE SENATE,7,DIGITAL ADVERTISING,2574.26
MINNESOTA,JEN MCEWEN,STATE SENATE,7,"PR, COMMUNICATIONS, & MARKETING",2000.0
MINNESOTA,JEN MCEWEN,STATE SENATE,7,CANVASSING & FIELD WORK,1450.0
MINNESOTA,JEN MCEWEN,STATE SENATE,7,SHIPPING & POSTAGE,483.1
MINNESOTA,JEN MCEWEN,STATE SENATE,7,TRAVEL & LODGING,310.3
MINNESOTA,JEN MCEWEN,STATE SENATE,7,SOFTWARE & TECHNOLOGY,244.95000000000002
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,MEDIA & ADS,24852.47
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,SHIPPING & POSTAGE,13635.46
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,OFFICE EXPENSES,10700.42
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,PRINTING,9095.75
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,FUEL & GAS,6387.460000000001
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,CREDIT CARD PAYMENT & BANK FEES,4781.92
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,CREDIT CARD PROCESSING FEES,3655.0
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,CAMPAIGN CONSULTING,1750.0
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,UTILITIES,1044.3
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,ACCOUNTING & FINANCIAL MANAGEMENT,1000.0
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,POLITICAL FUNDS & GROUPS,20000.0
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,CAMPAIGN CONSULTING,6500.0
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,PRINTING,5484.52
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,CANVASSING & FIELD WORK,5318.849999999999
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,MEDIA & ADS,3931.63
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,CAMPAIGN SIGNS & PARAPHERNALIA,1131.71
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,WEBSITE SERVICES,1099.15
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,GENERAL OPERATIONS & SUPPLIES,710.53
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,MEALS & CATERING,302.5
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,OFFICE EXPENSES,286.79
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,DIGITAL ADVERTISING,14140.740000000002
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,PRINTING,13355.980000000003
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,SHIPPING & POSTAGE,12705.849999999999
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,MEDIA & ADS,3863.29
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,GENERAL OPERATIONS & SUPPLIES,3717.69
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,CAMPAIGN SIGNS & PARAPHERNALIA,2184.15
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,OFFICE EXPENSES,1071.06
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,MEALS & CATERING,1026.17
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,SOFTWARE & TECHNOLOGY,1009.61
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,CONTRIBUTION & DONATION,500.0
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,POLITICAL FUNDS & GROUPS,18200.0
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,TRAVEL & LODGING,2188.4900000000002
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,MEALS & CATERING,1872.74
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,CREDIT CARD PAYMENT & BANK FEES,1621.0
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,GENERAL OPERATIONS & SUPPLIES,800.0
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,SOFTWARE & TECHNOLOGY,580.57
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,DIRECT MAIL,543.41
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,OFFICE EXPENSES,518.25
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,UTILITIES,500.0
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,MEDIA & ADS,250.0
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,SALARY & PAYROLL,33339.9
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,CAMPAIGN CONSULTING,21540.0
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,PRINTING,16689.25
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,GENERAL OPERATIONS & SUPPLIES,11233.25
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,OFFICE EXPENSES,4363.79
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,CAMPAIGN SIGNS & PARAPHERNALIA,4270.389999999999
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,DIGITAL ADVERTISING,3018.0299999999997
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,CANVASSING & FIELD WORK,2067.0
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,MEDIA & ADS,982.0
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,SOFTWARE & TECHNOLOGY,600.0400000000002
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,GENERAL OPERATIONS & SUPPLIES,13073.4
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,POLITICAL FUNDS & GROUPS,5800.0
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,MEDIA & ADS,3490.23
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,CREDIT CARD PAYMENT & BANK FEES,2305.14
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,OFFICE EXPENSES,1316.61
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,EVENT EXPENSES,1170.8799999999999
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,SHIPPING & POSTAGE,1069.0
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,UTILITIES,999.7199999999998
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,FUEL & GAS,949.46
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,PRINTING,681.1
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,DIRECT MAIL,18704.66
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,GENERAL OPERATIONS & SUPPLIES,12504.0
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,PRINTING,10545.31
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,DIGITAL ADVERTISING,4714.27
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,MEDIA & ADS,1793.63
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,SHIPPING & POSTAGE,1692.7
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,MEALS & CATERING,997.6800000000001
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,WEBSITE SERVICES,928.8000000000001
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,OFFICE EXPENSES,712.94
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,POLITICAL FUNDS & GROUPS,500.0
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,MEDIA & ADS,18282.08
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,"PR, COMMUNICATIONS, & MARKETING",3332.5
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,CANVASSING & FIELD WORK,2132.54
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,TRAVEL & LODGING,1508.6
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,GENERAL OPERATIONS & SUPPLIES,1500.0
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,SOFTWARE & TECHNOLOGY,1283.73
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,MEALS & CATERING,795.86
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,CONTRIBUTION & DONATION,700.0
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,CREDIT CARD PAYMENT & BANK FEES,582.87
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,EVENT EXPENSES,444.43
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,"PR, COMMUNICATIONS, & MARKETING",35176.81
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,MEDIA & ADS,23370.0
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,SHIPPING & POSTAGE,6791.11
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,PRINTING,6298.07
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,TRAVEL & LODGING,1061.5900000000001
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,OFFICE EXPENSES,730.61
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,SOFTWARE & TECHNOLOGY,537.38
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,SALARY & PAYROLL,528.0600000000001
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,MEALS & CATERING,502.93999999999994
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,0,0.0
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,DIRECT MAIL,19442.260000000002
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,POLITICAL FUNDS & GROUPS,11725.0
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,MEDIA & ADS,9874.34
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,PRINTING,5794.51
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,WEBSITE SERVICES,3500.0
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,SOFTWARE & TECHNOLOGY,2767.13
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,DIGITAL ADVERTISING,2406.26
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,GENERAL OPERATIONS & SUPPLIES,2161.49
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,SHIPPING & POSTAGE,2023.8200000000002
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,TRAVEL & LODGING,1310.5900000000001
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,GENERAL OPERATIONS & SUPPLIES,16956.059999999998
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,PRINTING,13070.99
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,OFFICE EXPENSES,3936.61
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,POLITICAL FUNDS & GROUPS,2550.0
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,SHIPPING & POSTAGE,2266.37
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,MEDIA & ADS,1220.82
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,SALARY & PAYROLL,1000.0
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,MEALS & CATERING,745.25
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,CANVASSING & FIELD WORK,600.0
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,CONTRIBUTION & DONATION,450.0
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,MEDIA & ADS,69190.54000000001
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,DIGITAL ADVERTISING,52039.96
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,DIRECT MAIL,50019.55
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,MEALS & CATERING,23048.23
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,GENERAL OPERATIONS & SUPPLIES,11200.0
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,PRINTING,10787.539999999999
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,CREDIT CARD PROCESSING FEES,8751.45
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,SHIPPING & POSTAGE,6868.77
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,POLITICAL FUNDS & GROUPS,5500.0
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,SALARY & PAYROLL,4232.5
MINNESOTA,LIZ OLSON,STATE HOUSE,7B,0,0.0
MINNESOTA,LIZ OLSON,STATE HOUSE,7B,0,0.0
