STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
MINNESOTA,JEN MCEWEN,STATE SENATE,7,56058.75
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,79376.9
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,44865.68
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,54372.079999999994
MINNESOTA,PATRICK GAROFALO,STATE HOUSE,58B,27074.460000000003
MINNESOTA,OMAR M. FATEH,STATE SENATE,62,99597.39
MINNESOTA,JOSHUA HEINTZEMAN,STATE HOUSE,10A,32605.56
MINNESOTA,PATTY ACOMB,STATE HOUSE,44B,54278.46000000001
MINNESOTA,JULIE SANDSTEDE,STATE HOUSE,6A,31002.61
MINNESOTA,DAVID H. SENJEM,STATE SENATE,25,74996.57000000002
MINNESOTA,KARLA BIGHAM,STATE SENATE,54,63714.62
MINNESOTA,CONNIE BERNARDY,STATE HOUSE,41A,43530.3
MINNESOTA,ANN JOHNSON STEWART,STATE SENATE,44,250512.99
MINNESOTA,LIZ OLSON,STATE HOUSE,7B,0.0
MINNESOTA,KRISTIN ROBBINS,STATE HOUSE,34A,74312.85
MINNESOTA,LEON M. LILLIE,STATE HOUSE,43B,26080.28
MINNESOTA,JIM NASH,STATE HOUSE,47A,48714.939999999995
MINNESOTA,BRUCE D. ANDERSON,STATE SENATE,29,18040.75
MINNESOTA,GARY DAHMS,STATE SENATE,16,112365.01000000001
MINNESOTA,LAURIE PRYOR,STATE HOUSE,48A,50784.14
MINNESOTA,HODAN HASSAN,STATE HOUSE,62A,21935.58
MINNESOTA,TAMA THEIS,STATE HOUSE,14A,39384.43
MINNESOTA,GREGORY D. CLAUSEN,STATE SENATE,57,64256.36
MINNESOTA,BILL WEBER,STATE SENATE,22,60015.82
MINNESOTA,DAVID J. TOMASSONI,STATE SENATE,6,75601.29999999999
MINNESOTA,PAUL NOVOTNY,STATE HOUSE,30A,30614.869999999995
MINNESOTA,MIKE FREIBERG,STATE HOUSE,45B,42438.03999999999
MINNESOTA,JIM ABELER,STATE SENATE,35,83292.03
MINNESOTA,TOU XIONG,STATE HOUSE,53A,17057.23
MINNESOTA,SHANE MEKELAND,STATE HOUSE,15B,20888.7
MINNESOTA,JEREMY MILLER,STATE SENATE,28,86362.10999999999
MINNESOTA,PEGGY BENNETT,STATE HOUSE,27A,41022.68
MINNESOTA,CARLIE KOTYZA-WITTHUHN,STATE HOUSE,48B,56368.01
MINNESOTA,RENA MORAN,STATE HOUSE,65A,17710.14
MINNESOTA,MELISSA HALVORSON WIKLUND,STATE SENATE,50,45880.66
MINNESOTA,KAOHLY HER,STATE HOUSE,64A,26949.47
MINNESOTA,DONALD RALEIGH,STATE HOUSE,38A,48305.42
MINNESOTA,JEFF BACKER,STATE HOUSE,12A,57204.03999999999
MINNESOTA,JOHN MARTY,STATE SENATE,66,25275.219999999998
MINNESOTA,ZACK STEPHENSON,STATE HOUSE,36A,88355.06
MINNESOTA,PATRICIA TORRES RAY,STATE SENATE,63,27868.02
MINNESOTA,CALVIN K. BAHR,STATE HOUSE,31B,0.0
MINNESOTA,MICHAEL P. GOGGIN,STATE SENATE,21,51461.310000000005
MINNESOTA,WARREN LIMMER,STATE SENATE,34,79343.75
MINNESOTA,GENE PELOWSKI,STATE HOUSE,28A,24825.36
MINNESOTA,SUSAN AKLAND,STATE HOUSE,19A,0.0
MINNESOTA,KENT EKEN,STATE SENATE,4,91249.75000000001
MINNESOTA,MARY E. KIFFMEYER,STATE SENATE,30,44159.19
MINNESOTA,FRANK D. HORNSTEIN,STATE HOUSE,61A,33390.700000000004
MINNESOTA,GERALD F. NEWTON,STATE SENATE,37,0.0
MINNESOTA,JULIE A. ROSEN,STATE SENATE,23,46275.06999999999
MINNESOTA,DEAN URDAHL,STATE HOUSE,18A,22326.28
MINNESOTA,PAUL A. MARQUART,STATE HOUSE,4B,38484.37
