STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,CAMPAIGN CONSULTING,3500.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,CONTRIBUTION & DONATION,600.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,GENERAL OPERATIONS & SUPPLIES,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,GENERAL OPERATIONS & SUPPLIES,5478.49
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,CONTRIBUTION & DONATION,4450.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,WEBSITE SERVICES,75.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,0,0.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,0,0.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,0,0.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,0,0.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,0,0.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,0,0.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,0,0.0
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,DIRECT MAIL,81476.11
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,MEDIA & ADS,39460.869999999995
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,CAMPAIGN CONSULTING,18937.6
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,PRINTING,13836.33
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,CONTRIBUTION & DONATION,10250.0
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,GENERAL OPERATIONS & SUPPLIES,10145.84
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,FUNDRAISING & FUNDRAISING CONSULTING,5425.0
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,SALARY & PAYROLL,5025.0
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,FUEL & GAS,3161.3
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,CREDIT CARD PROCESSING FEES,2275.0
NEBRASKA,BEN HANSEN,STATE SENATE,16,ACCOUNTING & FINANCIAL MANAGEMENT,144615.47999999998
NEBRASKA,BEN HANSEN,STATE SENATE,16,TRAVEL & LODGING,19686.149999999998
NEBRASKA,BEN HANSEN,STATE SENATE,16,MEDIA & ADS,13698.21
NEBRASKA,BEN HANSEN,STATE SENATE,16,EVENT EXPENSES,11050.0
NEBRASKA,BEN HANSEN,STATE SENATE,16,DIGITAL ADVERTISING,6050.0
NEBRASKA,BEN HANSEN,STATE SENATE,16,GENERAL OPERATIONS & SUPPLIES,6000.0
NEBRASKA,BEN HANSEN,STATE SENATE,16,FUNDRAISING & FUNDRAISING CONSULTING,3399.9
NEBRASKA,BEN HANSEN,STATE SENATE,16,SHIPPING & POSTAGE,3159.71
NEBRASKA,BEN HANSEN,STATE SENATE,16,MEALS & CATERING,1174.91
NEBRASKA,BEN HANSEN,STATE SENATE,16,CAMPAIGN SIGNS & PARAPHERNALIA,500.0
NEBRASKA,RITA SANDERS,STATE SENATE,45,CAMPAIGN CONSULTING,71389.49
NEBRASKA,RITA SANDERS,STATE SENATE,45,MEDIA & ADS,60765.0
NEBRASKA,RITA SANDERS,STATE SENATE,45,FUNDRAISING & FUNDRAISING CONSULTING,22152.48
NEBRASKA,RITA SANDERS,STATE SENATE,45,DIRECT MAIL,9682.8
NEBRASKA,RITA SANDERS,STATE SENATE,45,CAMPAIGN SIGNS & PARAPHERNALIA,6488.5199999999995
NEBRASKA,RITA SANDERS,STATE SENATE,45,GENERAL OPERATIONS & SUPPLIES,4074.5
NEBRASKA,RITA SANDERS,STATE SENATE,45,SHIPPING & POSTAGE,2533.49
NEBRASKA,RITA SANDERS,STATE SENATE,45,EVENT EXPENSES,1285.91
NEBRASKA,RITA SANDERS,STATE SENATE,45,TRAVEL & LODGING,695.19
NEBRASKA,RITA SANDERS,STATE SENATE,45,MEALS & CATERING,543.41
NEBRASKA,TONY VARGAS,STATE SENATE,7,CAMPAIGN CONSULTING,51559.21000000001
NEBRASKA,TONY VARGAS,STATE SENATE,7,SALARY & PAYROLL,23792.120000000003
NEBRASKA,TONY VARGAS,STATE SENATE,7,TRAVEL & LODGING,8825.800000000001
NEBRASKA,TONY VARGAS,STATE SENATE,7,CAMPAIGN SIGNS & PARAPHERNALIA,8000.0
NEBRASKA,TONY VARGAS,STATE SENATE,7,GENERAL OPERATIONS & SUPPLIES,6450.969999999999
NEBRASKA,TONY VARGAS,STATE SENATE,7,SOFTWARE & TECHNOLOGY,5999.0599999999995
NEBRASKA,TONY VARGAS,STATE SENATE,7,PRINTING,4788.139999999999
NEBRASKA,TONY VARGAS,STATE SENATE,7,MEDIA & ADS,3435.0
NEBRASKA,TONY VARGAS,STATE SENATE,7,CREDIT CARD PROCESSING FEES,2874.4
NEBRASKA,TONY VARGAS,STATE SENATE,7,"PR, COMMUNICATIONS, & MARKETING",1863.75
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,EVENT EXPENSES,14150.0
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,PRINTING,7894.7
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,GENERAL OPERATIONS & SUPPLIES,1774.3899999999999
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,TRAVEL & LODGING,1500.0
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,CONTRIBUTION & DONATION,1000.0
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,COMPLIANCE SERVICES,490.0
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,MEDIA & ADS,275.0
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,MEALS & CATERING,0.0
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,0,0.0
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,0,0.0
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,PRINTING,33489.26
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,CANVASSING & FIELD WORK,21778.43
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,MEDIA & ADS,9035.0
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,GENERAL OPERATIONS & SUPPLIES,7069.41
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,CREDIT CARD PAYMENT & BANK FEES,4833.06
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,DIGITAL ADVERTISING,2603.8600000000006
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,CAMPAIGN SIGNS & PARAPHERNALIA,2136.46
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,WEBSITE SERVICES,604.96
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,OFFICE EXPENSES,300.0
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,FUEL & GAS,255.0
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,MEDIA & ADS,57286.15000000001
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,CAMPAIGN CONSULTING,45182.89
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,SHIPPING & POSTAGE,24361.5
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,EVENT EXPENSES,11773.25
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,FUNDRAISING & FUNDRAISING CONSULTING,9183.1
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,CONTRIBUTION & DONATION,2920.0
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,MEALS & CATERING,1648.51
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,"PR, COMMUNICATIONS, & MARKETING",1000.0
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,PRINTING,402.43
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,REIMBURSEMENT,346.0
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,CAMPAIGN CONSULTING,66240.62000000001
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,SHIPPING & POSTAGE,57287.81
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,DIGITAL ADVERTISING,20843.75
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,MEDIA & ADS,20137.65
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,GENERAL OPERATIONS & SUPPLIES,17605.33
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,PRINTING,16425.3
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,WEBSITE SERVICES,6295.799999999999
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,POLITICAL FUNDS & GROUPS,4999.6900000000005
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,MEALS & CATERING,1191.92
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,CANVASSING & FIELD WORK,500.0
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,"PR, COMMUNICATIONS, & MARKETING",15000.0
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,CREDIT CARD PAYMENT & BANK FEES,7745.27
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,PRINTING,7171.76
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,OFFICE EXPENSES,6078.36
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,SALARY & PAYROLL,5716.36
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,MEALS & CATERING,4596.64
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,SOFTWARE & TECHNOLOGY,3750.0
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,CAMPAIGN SIGNS & PARAPHERNALIA,2581.01
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,TRAVEL & LODGING,2580.92
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,WEBSITE SERVICES,516.62
NEBRASKA,TOM BRANDT,STATE SENATE,32,PRINTING,46059.14000000001
NEBRASKA,TOM BRANDT,STATE SENATE,32,MEDIA & ADS,28051.22
NEBRASKA,TOM BRANDT,STATE SENATE,32,"PR, COMMUNICATIONS, & MARKETING",11031.5
NEBRASKA,TOM BRANDT,STATE SENATE,32,TRAVEL & LODGING,4755.0
NEBRASKA,TOM BRANDT,STATE SENATE,32,CAMPAIGN SIGNS & PARAPHERNALIA,2800.0
NEBRASKA,TOM BRANDT,STATE SENATE,32,DIGITAL ADVERTISING,1384.9500000000003
NEBRASKA,TOM BRANDT,STATE SENATE,32,CAMPAIGN CONSULTING,500.0
NEBRASKA,TOM BRANDT,STATE SENATE,32,0,0.0
NEBRASKA,TOM BRANDT,STATE SENATE,32,0,0.0
NEBRASKA,TOM BRANDT,STATE SENATE,32,0,0.0
NEBRASKA,MIKE HILGERS,STATE SENATE,21,MEDIA & ADS,121447.74999999999
NEBRASKA,MIKE HILGERS,STATE SENATE,21,DIRECT MAIL,60701.600000000006
NEBRASKA,MIKE HILGERS,STATE SENATE,21,ACCOUNTING & FINANCIAL MANAGEMENT,40017.0
NEBRASKA,MIKE HILGERS,STATE SENATE,21,EVENT EXPENSES,30000.0
NEBRASKA,MIKE HILGERS,STATE SENATE,21,FUNDRAISING & FUNDRAISING CONSULTING,28789.37
NEBRASKA,MIKE HILGERS,STATE SENATE,21,SHIPPING & POSTAGE,26406.66
NEBRASKA,MIKE HILGERS,STATE SENATE,21,DIGITAL ADVERTISING,12799.4
NEBRASKA,MIKE HILGERS,STATE SENATE,21,GENERAL OPERATIONS & SUPPLIES,12000.0
NEBRASKA,MIKE HILGERS,STATE SENATE,21,UTILITIES,4590.0
NEBRASKA,MIKE HILGERS,STATE SENATE,21,CAMPAIGN SIGNS & PARAPHERNALIA,2923.41
NEBRASKA,TOM BRIESE,STATE SENATE,41,POLLING & RESEARCH,6500.0
NEBRASKA,TOM BRIESE,STATE SENATE,41,MEDIA & ADS,5970.24
NEBRASKA,TOM BRIESE,STATE SENATE,41,ACCOUNTING & FINANCIAL MANAGEMENT,3518.17
NEBRASKA,TOM BRIESE,STATE SENATE,41,GENERAL OPERATIONS & SUPPLIES,300.0
NEBRASKA,TOM BRIESE,STATE SENATE,41,LEGAL SERVICES,300.0
NEBRASKA,TOM BRIESE,STATE SENATE,41,POLITICAL FUNDS & GROUPS,0.0
NEBRASKA,TOM BRIESE,STATE SENATE,41,0,0.0
