STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,4100.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,10003.49
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,201664.17000000004
NEBRASKA,BEN HANSEN,STATE SENATE,16,209816.65999999997
NEBRASKA,RITA SANDERS,STATE SENATE,45,180622.09
NEBRASKA,TONY VARGAS,STATE SENATE,7,122646.97000000002
NEBRASKA,MIKE MCDONNELL,STATE SENATE,5,27084.09
NEBRASKA,TERRELL MCKINNEY,STATE SENATE,11,82105.44
NEBRASKA,SUZANNE GEIST,STATE SENATE,25,154834.12
NEBRASKA,LYNNE M. WALZ,STATE SENATE,15,212054.99
NEBRASKA,PATTY PANSING BROOKS,STATE SENATE,28,56258.45
NEBRASKA,TOM BRANDT,STATE SENATE,32,94581.81
NEBRASKA,MIKE HILGERS,STATE SENATE,21,346534.89999999997
NEBRASKA,TOM BRIESE,STATE SENATE,41,16588.41
NEBRASKA,BRETT LINDSTROM,STATE SENATE,18,231621.18
NEBRASKA,WENDY DEBOER,STATE SENATE,10,135864.34
NEBRASKA,JOHN S. LOWE,STATE SENATE,37,67864.89
NEBRASKA,MIKE FLOOD,STATE SENATE,19,222393.59999999998
NEBRASKA,MEGAN HUNT,STATE SENATE,8,66184.57
NEBRASKA,ROBERT J. HILKEMANN,STATE SENATE,4,91463.38999999998
NEBRASKA,STEVE LATHROP,STATE SENATE,12,356689.41000000003
NEBRASKA,JUSTIN T. WAYNE,STATE SENATE,13,20536.11
NEBRASKA,JOHN CAVANAUGH,STATE SENATE,9,29616.079999999998
NEBRASKA,MARK A. KOLTERMAN,STATE SENATE,24,79462.28000000001
NEBRASKA,ELIOT BOSTAR,STATE SENATE,29,444511.21
NEBRASKA,CAROL BLOOD,STATE SENATE,3,0.0
NEBRASKA,DAVE MURMAN,STATE SENATE,38,65517.04
NEBRASKA,JONI ALBRECHT,STATE SENATE,17,132450.58000000002
NEBRASKA,MIKE MOSER,STATE SENATE,22,100831.32
NEBRASKA,TIMOTHY J. GRAGERT,STATE SENATE,40,30477.1
NEBRASKA,ANNA WISHART,STATE SENATE,27,209805.32
NEBRASKA,ADAM MORFELD,STATE SENATE,46,91185.57000000002
NEBRASKA,MACHAELA CAVANAUGH,STATE SENATE,6,160900.36000000002
NEBRASKA,MATT WILLIAMS,STATE SENATE,36,37087.35
NEBRASKA,TOM BREWER,STATE SENATE,43,164696.65000000002
NEBRASKA,ROBERT CLEMENTS,STATE SENATE,2,89465.62
NEBRASKA,JEN DAY,STATE SENATE,49,207922.67
NEBRASKA,JOHN ARCH,STATE SENATE,14,119707.11
NEBRASKA,PETE RICKETTS,GOVERNOR,,3411592.99
NEBRASKA,MYRON DORN,STATE SENATE,30,83130.86000000002
NEBRASKA,JOHN P. STINNER,STATE SENATE,48,45878.31
NEBRASKA,MIKE FOLEY,LIEUTENANT GOVERNOR,,2400.31
NEBRASKA,MICHAEL GROENE,STATE SENATE,42,39198.26000000001
NEBRASKA,LOU ANN LINEHAN,STATE SENATE,39,284630.14
NEBRASKA,RAYMOND M. AGUILAR,STATE SENATE,35,0.0
NEBRASKA,MATT HANSEN,STATE SENATE,26,98001.11000000002
NEBRASKA,DAN HUGHES,STATE SENATE,44,37677.020000000004
NEBRASKA,CURT FRIESEN,STATE SENATE,34,49958.86
NEBRASKA,BRUCE BOSTELMAN,STATE SENATE,23,140011.1
NEBRASKA,JULIE SLAMA,STATE SENATE,1,211310.82
NEBRASKA,RICH J. PAHLS,STATE SENATE,31,154263.84
