STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,REIMBURSEMENT,2058.88
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,FUEL & GAS,1713.3300000000002
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,CONTRIBUTION & DONATION,1652.25
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,SOFTWARE & TECHNOLOGY,1028.09
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,OFFICE EXPENSES,630.0
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,WEBSITE SERVICES,597.77
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,ACCOUNTING & FINANCIAL MANAGEMENT,575.0
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,CANVASSING & FIELD WORK,550.0
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,TRAVEL & LODGING,197.55
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,SHIPPING & POSTAGE,111.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,CAMPAIGN SIGNS & PARAPHERNALIA,1200.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,PRINTING,950.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,GENERAL OPERATIONS & SUPPLIES,304.07
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,CONTRIBUTION & DONATION,300.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,CANVASSING & FIELD WORK,196.62
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,EVENT EXPENSES,100.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,0,0.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,0,0.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,0,0.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,MEDIA & ADS,85.15
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,GENERAL OPERATIONS & SUPPLIES,50.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,PRINTING,40.65
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,CANVASSING & FIELD WORK,40.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,CONTRIBUTION & DONATION,11300.0
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,GENERAL OPERATIONS & SUPPLIES,5368.03
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,SHIPPING & POSTAGE,2887.31
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,PRINTING,2810.94
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,MEDIA & ADS,1155.3500000000001
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,MEALS & CATERING,192.2
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,TRAVEL & LODGING,123.0
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,CAMPAIGN SIGNS & PARAPHERNALIA,62.57
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,CREDIT CARD PROCESSING FEES,21.729999999999997
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,0,0.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,CONTRIBUTION & DONATION,36756.59
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,PRINTING,2880.02
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,TRAVEL & LODGING,1660.93
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,GENERAL OPERATIONS & SUPPLIES,1177.12
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,SOFTWARE & TECHNOLOGY,422.24
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,MEALS & CATERING,370.68
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,UTILITIES,340.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,CREDIT CARD PAYMENT & BANK FEES,332.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,ACCOUNTING & FINANCIAL MANAGEMENT,300.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,POLITICAL FUNDS & GROUPS,250.0
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,SHIPPING & POSTAGE,20823.8
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,CAMPAIGN CONSULTING,11818.14
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,PRINTING,5697.05
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,DIGITAL ADVERTISING,4032.78
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,CANVASSING & FIELD WORK,3552.34
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,WEBSITE SERVICES,3539.6899999999996
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,TRAVEL & LODGING,1890.8799999999999
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,FUNDRAISING & FUNDRAISING CONSULTING,1711.15
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,CAMPAIGN SIGNS & PARAPHERNALIA,1542.5600000000002
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,CREDIT CARD PROCESSING FEES,679.37
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,CONTRIBUTION & DONATION,1000.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,CANVASSING & FIELD WORK,800.63
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,GENERAL OPERATIONS & SUPPLIES,276.34
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,EVENT EXPENSES,100.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,SALARY & PAYROLL,25.35
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,CREDIT CARD PROCESSING FEES,14.040000000000001
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,0,0.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,0,0.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,0,0.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,0,0.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,CONTRIBUTION & DONATION,8500.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,CREDIT CARD PROCESSING FEES,1453.15
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,UTILITIES,1169.98
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,CANVASSING & FIELD WORK,810.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,PRINTING,771.5699999999999
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,TRAVEL & LODGING,526.19
