STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,9266.29
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,3050.69
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,215.8
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,23921.130000000005
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,45182.45
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,56389.18
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,2216.36
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,14393.89
NEW MEXICO,CLIFF R. PIRTLE,STATE SENATE,32,26988.489999999998
NEW MEXICO,WILLIAM E. SHARER,STATE SENATE,1,21486.059999999998
NEW MEXICO,STEFANI LORD,STATE HOUSE,22,749.55
NEW MEXICO,ELIZABETH STEFANICS,STATE SENATE,39,8941.56
NEW MEXICO,STEVEN P. NEVILLE,STATE SENATE,2,12122.04
NEW MEXICO,HAROLD JAMES POPE,STATE SENATE,23,1632.83
NEW MEXICO,ELIZABETH L. THOMSON,STATE HOUSE,24,28558.49
NEW MEXICO,MARK DAVID MOORES,STATE SENATE,21,16064.05
NEW MEXICO,MIMI STEWART,STATE SENATE,17,64750.62
NEW MEXICO,JOHN PATRICK WOODS,STATE SENATE,7,9913.04
NEW MEXICO,NATALIE R. FIGUEROA,STATE HOUSE,30,5334.899999999999
NEW MEXICO,DAYAN M. HOCHMAN-VIGIL,STATE HOUSE,15,29088.71
NEW MEXICO,GREGORY A. BACA,STATE SENATE,29,16205.130000000001
NEW MEXICO,BILL G. TALLMAN,STATE SENATE,18,5652.89
NEW MEXICO,BRITTNEY AILEENE BARRERAS,STATE HOUSE,12,0.0
NEW MEXICO,JOY IRVINE GARRATT,STATE HOUSE,29,6352.599999999999
NEW MEXICO,GREGORIO ANDRÉS ROMERO,STATE HOUSE,10,7773.360000000001
NEW MEXICO,MIGUEL P. GARCIA,STATE HOUSE,14,15671.279999999999
NEW MEXICO,LARRY R. SCOTT,STATE HOUSE,62,19990.3
NEW MEXICO,WILLIAM BALDWIN O'NEILL,STATE SENATE,13,0.0
NEW MEXICO,RACHEL A. BLACK,STATE HOUSE,51,5312.22
NEW MEXICO,ANTONIO MAESTAS,STATE HOUSE,16,39506.9
NEW MEXICO,KELLY K. FAJARDO,STATE HOUSE,7,34263.31
