STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,CAMPAIGN CONSULTING,21567.2
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,GENERAL OPERATIONS & SUPPLIES,18646.010000000002
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,CONTRIBUTION & DONATION,10800.04
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,OFFICE EXPENSES,9420.949999999997
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,FUNDRAISING & FUNDRAISING CONSULTING,4516.35
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,TRAVEL & LODGING,2857.6800000000003
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,PRINTING,2125.98
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,SOFTWARE & TECHNOLOGY,1651.42
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,TAXES,1600.0
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,MEALS & CATERING,1500.78
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,SOFTWARE & TECHNOLOGY,5274.399999999998
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,PRINTING,3461.74
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,UTILITIES,3276.84
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,CONTRIBUTION & DONATION,3125.0
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,REIMBURSEMENT,3017.2400000000002
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,GENERAL OPERATIONS & SUPPLIES,1820.24
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,EVENT EXPENSES,1656.51
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,MEALS & CATERING,1215.38
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,MEDIA & ADS,1180.5300000000002
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,TRAVEL & LODGING,1087.2
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,FUNDRAISING & FUNDRAISING CONSULTING,23160.6
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,GENERAL OPERATIONS & SUPPLIES,10012.789999999999
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,TRAVEL & LODGING,8690.82
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,OFFICE EXPENSES,4319.23
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,SOFTWARE & TECHNOLOGY,4088.68
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,CONTRIBUTION & DONATION,3225.0
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,SHIPPING & POSTAGE,2693.0699999999997
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,CAMPAIGN CONSULTING,2000.0
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,EVENT EXPENSES,1412.0
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,MEALS & CATERING,1406.5800000000002
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0,0.0
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,"PR, COMMUNICATIONS, & MARKETING",397804.23
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,FUNDRAISING & FUNDRAISING CONSULTING,82789.07
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,SALARY & PAYROLL,78859.09999999999
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,GENERAL OPERATIONS & SUPPLIES,19410.0
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,CONTRIBUTION & DONATION,16850.0
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,CAMPAIGN CONSULTING,11965.07
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,OFFICE EXPENSES,10878.88
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,LEGAL SERVICES,10000.0
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,PRINTING,5494.52
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,CREDIT CARD PAYMENT & BANK FEES,4726.379999999999
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,"PR, COMMUNICATIONS, & MARKETING",156779.4
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,GENERAL OPERATIONS & SUPPLIES,35118.61
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,CAMPAIGN CONSULTING,23000.0
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,OFFICE EXPENSES,9257.560000000001
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,PRINTING,6434.110000000001
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,SHIPPING & POSTAGE,4760.0
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,FUNDRAISING & FUNDRAISING CONSULTING,3563.48
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,REIMBURSEMENT,2964.0399999999995
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,CAMPAIGN SIGNS & PARAPHERNALIA,2449.79
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,DIGITAL ADVERTISING,2401.3599999999997
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,"PR, COMMUNICATIONS, & MARKETING",157285.80999999997
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,GENERAL OPERATIONS & SUPPLIES,40030.57
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,CONTRIBUTION & DONATION,13490.0
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,POLLING & RESEARCH,11500.0
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,PRINTING,10391.640000000001
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,OFFICE EXPENSES,3721.9
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,CAMPAIGN SIGNS & PARAPHERNALIA,3462.43
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,SHIPPING & POSTAGE,3037.0
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,CAMPAIGN CONSULTING,2500.0
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,FUNDRAISING & FUNDRAISING CONSULTING,2340.92
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,OFFICE EXPENSES,30177.239999999998
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,GENERAL OPERATIONS & SUPPLIES,17396.219999999998
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,CAMPAIGN CONSULTING,4219.2
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,TRAVEL & LODGING,3688.66
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,SOFTWARE & TECHNOLOGY,2470.0
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,EVENT EXPENSES,1640.14
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,FUNDRAISING & FUNDRAISING CONSULTING,1500.0
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,MEALS & CATERING,1371.3
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,PRINTING,1230.75
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,CREDIT CARD PROCESSING FEES,530.37
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,GENERAL OPERATIONS & SUPPLIES,20436.51
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,PRINTING,10901.33
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,DIRECT MAIL,10461.720000000001
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,REIMBURSEMENT,5973.49
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,MEDIA & ADS,3980.0
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,FUNDRAISING & FUNDRAISING CONSULTING,1949.54
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,POLITICAL FUNDS & GROUPS,1000.0
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,CREDIT CARD PROCESSING FEES,975.01
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,SHIPPING & POSTAGE,336.0
