STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
NEW YORK,ZELLNOR MYRIE,STATE SENATE,20,80219.97
NEW YORK,DANIEL J. O'DONNELL,STATE ASSEMBLY,69,27798.33
NEW YORK,VICTOR M. PICHARDO,STATE ASSEMBLY,86,63009.44
NEW YORK,AMANDA SEPTIMO,STATE ASSEMBLY,84,0.0
NEW YORK,MICHAEL N. GIANARIS,STATE SENATE,12,648352.3
NEW YORK,ANGELO L. SANTABARBARA,STATE ASSEMBLY,111,251340.22
NEW YORK,PATRICK B. BURKE,STATE ASSEMBLY,142,254416.20999999996
NEW YORK,ROBERT J. RODRIGUEZ,STATE ASSEMBLY,68,64987.95
NEW YORK,STACEY G. PHEFFER AMATO,STATE ASSEMBLY,23,56538.600000000006
NEW YORK,JOSÉ M. SERRANO,STATE SENATE,29,31405.53
NEW YORK,NEIL D. BRESLIN,STATE SENATE,44,99385.89000000001
NEW YORK,CHARLES BARRON,STATE ASSEMBLY,60,80.98
NEW YORK,ALICIA L. HYNDMAN,STATE ASSEMBLY,29,67145.42
NEW YORK,KEVIN S. PARKER,STATE SENATE,21,343750.07
NEW YORK,ANDREW M. CUOMO,GOVERNOR,,30028268.580000002
NEW YORK,ALEXIS WEIK,STATE SENATE,3,6684.99
NEW YORK,KEITH P. BROWN,STATE ASSEMBLY,12,88604.61
NEW YORK,CHRIS BURDICK,STATE ASSEMBLY,93,272137.02
NEW YORK,GEORGE M. BORRELLO,STATE SENATE,57,0.0
NEW YORK,MICHAELLE C. SOLAGES,STATE ASSEMBLY,22,29588.93
NEW YORK,STEFANI L. ZINERMAN,STATE ASSEMBLY,56,39777.67
NEW YORK,DEBORAH J. GLICK,STATE ASSEMBLY,66,74861.23999999999
NEW YORK,PETER J. ABBATE,STATE ASSEMBLY,49,212917.03999999998
NEW YORK,JOSH JENSEN,STATE ASSEMBLY,134,15184.609999999999
NEW YORK,MELISSA L. MILLER,STATE ASSEMBLY,20,6458.159999999999
NEW YORK,TAYLOR DARLING,STATE ASSEMBLY,18,32700.059999999998
NEW YORK,PHILIP R. RAMOS,STATE ASSEMBLY,6,102106.32
NEW YORK,JABARI BRISPORT,STATE SENATE,25,298009.85
NEW YORK,EMILY GALLAGHER,STATE ASSEMBLY,50,82926.98
NEW YORK,STEVEN C. ENGLEBRIGHT,STATE ASSEMBLY,4,17519.52
NEW YORK,KHALEEL ANDERSON,STATE ASSEMBLY,31,0.0
NEW YORK,JARETT GANDOLFO,STATE ASSEMBLY,7,12121.809999999998
NEW YORK,JOHN K. MIKULIN,STATE ASSEMBLY,17,18347.77
NEW YORK,JOSEPH P. ADDABBO,STATE SENATE,15,295104.09
NEW YORK,CLYDE VANEL,STATE ASSEMBLY,33,24701.06
NEW YORK,PHARA SOUFFRANT FORREST,STATE ASSEMBLY,57,0.0
NEW YORK,JAMES NICHOLAS TEDISCO,STATE SENATE,49,101550.42000000001
NEW YORK,CHRISTOPHER TAGUE,STATE ASSEMBLY,102,89937.81999999999
NEW YORK,JENIFER RAJKUMAR,STATE ASSEMBLY,38,240442.08999999997
NEW YORK,MARIANNE BUTTENSCHON,STATE ASSEMBLY,119,201717.03999999998
NEW YORK,EDWARD P. RA,STATE ASSEMBLY,19,109547.94
NEW YORK,JENNIFER LUNSFORD,STATE ASSEMBLY,135,386165.51999999996
NEW YORK,TOBY ANN STAVISKY,STATE SENATE,16,36021.21
NEW YORK,DOUGLAS M. SMITH,STATE ASSEMBLY,5,26490.83
