STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,POLITICAL FUNDS & GROUPS,113726.00000000001
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,MEDIA & ADS,90593.13
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,CAMPAIGN CONSULTING,39238.75
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,GENERAL OPERATIONS & SUPPLIES,34814.35
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,CONTRIBUTION & DONATION,18785.0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,"PR, COMMUNICATIONS, & MARKETING",18000.0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,DIRECT MAIL,9185.05
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,SHIPPING & POSTAGE,8028.17
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,CAMPAIGN SIGNS & PARAPHERNALIA,4994.049999999999
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,SOFTWARE & TECHNOLOGY,4941.049999999999
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,POLITICAL FUNDS & GROUPS,44900.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,"PR, COMMUNICATIONS, & MARKETING",20632.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,CAMPAIGN CONSULTING,12750.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,GENERAL OPERATIONS & SUPPLIES,4814.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,PRINTING,3525.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,MEDIA & ADS,3117.5
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,MEALS & CATERING,1193.64
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,TRAVEL & LODGING,945.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,CREDIT CARD PAYMENT & BANK FEES,618.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,CREDIT CARD PROCESSING FEES,485.15000000000003
OHIO,PHIL PLUMMER,STATE HOUSE,40,POLITICAL FUNDS & GROUPS,120642.29000000001
OHIO,PHIL PLUMMER,STATE HOUSE,40,MEDIA & ADS,13045.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,CONTRIBUTION & DONATION,7500.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,CAMPAIGN CONSULTING,5000.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,ACCOUNTING & FINANCIAL MANAGEMENT,4660.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,CAMPAIGN SIGNS & PARAPHERNALIA,4200.52
OHIO,PHIL PLUMMER,STATE HOUSE,40,MEALS & CATERING,1821.74
OHIO,PHIL PLUMMER,STATE HOUSE,40,CREDIT CARD PROCESSING FEES,664.03
OHIO,PHIL PLUMMER,STATE HOUSE,40,CREDIT CARD PAYMENT & BANK FEES,105.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,REIMBURSEMENT,85.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,GENERAL OPERATIONS & SUPPLIES,18262.23
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,POLITICAL FUNDS & GROUPS,15750.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,CAMPAIGN CONSULTING,15440.1
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,MEDIA & ADS,5057.2
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,PRINTING,5040.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,TRAVEL & LODGING,2300.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,CREDIT CARD PROCESSING FEES,980.05
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,SALARY & PAYROLL,972.9800000000001
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,MEALS & CATERING,535.39
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,CAMPAIGN SIGNS & PARAPHERNALIA,463.27
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,CONTRIBUTION & DONATION,61262.67
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,POLITICAL FUNDS & GROUPS,21737.45
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,ACCOUNTING & FINANCIAL MANAGEMENT,7980.0
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,MEALS & CATERING,7301.489999999999
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,PRINTING,4820.22
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,GENERAL OPERATIONS & SUPPLIES,4169.04
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,LEGAL SERVICES,3000.0
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,CREDIT CARD PROCESSING FEES,2231.9900000000002
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,SHIPPING & POSTAGE,1441.65
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,CAMPAIGN SIGNS & PARAPHERNALIA,1109.31
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,GENERAL OPERATIONS & SUPPLIES,137918.73
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,POLITICAL FUNDS & GROUPS,21743.0
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,"PR, COMMUNICATIONS, & MARKETING",5653.56
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,FUEL & GAS,5119.200000000001
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,CONTRIBUTION & DONATION,5050.0
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,CAMPAIGN CONSULTING,3519.4
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,PRINTING,2304.4700000000003
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,MEALS & CATERING,2235.06
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,EVENT EXPENSES,1237.5
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,CAMPAIGN SIGNS & PARAPHERNALIA,821.85
OHIO,RON FERGUSON,STATE HOUSE,96,CONTRIBUTION & DONATION,45225.0
OHIO,RON FERGUSON,STATE HOUSE,96,MEDIA & ADS,15295.0
OHIO,RON FERGUSON,STATE HOUSE,96,GENERAL OPERATIONS & SUPPLIES,10982.560000000001
OHIO,RON FERGUSON,STATE HOUSE,96,SHIPPING & POSTAGE,7364.28
OHIO,RON FERGUSON,STATE HOUSE,96,POLITICAL FUNDS & GROUPS,6865.92
OHIO,RON FERGUSON,STATE HOUSE,96,WEBSITE SERVICES,390.38
OHIO,RON FERGUSON,STATE HOUSE,96,SOFTWARE & TECHNOLOGY,387.4
OHIO,RON FERGUSON,STATE HOUSE,96,CAMPAIGN SIGNS & PARAPHERNALIA,316.01
OHIO,RON FERGUSON,STATE HOUSE,96,OFFICE EXPENSES,71.62
OHIO,RON FERGUSON,STATE HOUSE,96,SALARY & PAYROLL,46.51
OHIO,ALLISON RUSSO,STATE HOUSE,24,POLITICAL FUNDS & GROUPS,59175.88
OHIO,ALLISON RUSSO,STATE HOUSE,24,MEDIA & ADS,47938.51
OHIO,ALLISON RUSSO,STATE HOUSE,24,CAMPAIGN CONSULTING,24500.0
OHIO,ALLISON RUSSO,STATE HOUSE,24,GENERAL OPERATIONS & SUPPLIES,13642.76
OHIO,ALLISON RUSSO,STATE HOUSE,24,LEGAL SERVICES,10823.48
OHIO,ALLISON RUSSO,STATE HOUSE,24,CONTRIBUTION & DONATION,10400.0
OHIO,ALLISON RUSSO,STATE HOUSE,24,SALARY & PAYROLL,5917.02
OHIO,ALLISON RUSSO,STATE HOUSE,24,SOFTWARE & TECHNOLOGY,4358.110000000001
OHIO,ALLISON RUSSO,STATE HOUSE,24,MEALS & CATERING,3451.51
OHIO,ALLISON RUSSO,STATE HOUSE,24,CREDIT CARD PROCESSING FEES,3420.6299999999997
OHIO,GAYLE L. MANNING,STATE HOUSE,55,POLITICAL FUNDS & GROUPS,188754.39999999997
OHIO,GAYLE L. MANNING,STATE HOUSE,55,MEDIA & ADS,24327.47
OHIO,GAYLE L. MANNING,STATE HOUSE,55,DIRECT MAIL,18549.18
OHIO,GAYLE L. MANNING,STATE HOUSE,55,CAMPAIGN CONSULTING,9627.130000000001
OHIO,GAYLE L. MANNING,STATE HOUSE,55,MEALS & CATERING,7129.050000000001
OHIO,GAYLE L. MANNING,STATE HOUSE,55,GENERAL OPERATIONS & SUPPLIES,5148.0
OHIO,GAYLE L. MANNING,STATE HOUSE,55,CAMPAIGN SIGNS & PARAPHERNALIA,4849.97
OHIO,GAYLE L. MANNING,STATE HOUSE,55,PRINTING,3550.56
OHIO,GAYLE L. MANNING,STATE HOUSE,55,SALARY & PAYROLL,3468.0
OHIO,GAYLE L. MANNING,STATE HOUSE,55,OFFICE EXPENSES,2894.82
OHIO,RIORDAN T. MCCLAIN,STATE HOUSE,87,MEDIA & ADS,1091.56
OHIO,RIORDAN T. MCCLAIN,STATE HOUSE,87,PRINTING,885.97
OHIO,RIORDAN T. MCCLAIN,STATE HOUSE,87,MEALS & CATERING,623.89
