STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
OHIO,ADAM C. MILLER,STATE HOUSE,17,0.0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,355136.52
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,93011.45
OHIO,PHIL PLUMMER,STATE HOUSE,40,157723.58000000002
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,65484.25
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,116936.04
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,187050.39
OHIO,RON FERGUSON,STATE HOUSE,96,86968.05
OHIO,ALLISON RUSSO,STATE HOUSE,24,193347.14
OHIO,GAYLE L. MANNING,STATE HOUSE,55,277760.75
OHIO,RIORDAN T. MCCLAIN,STATE HOUSE,87,4866.97
OHIO,MARILYN JOHN,STATE HOUSE,2,94164.67
OHIO,SANDRA WILLIAMS,STATE SENATE,21,239619.58000000002
OHIO,GEORGE F. LANG,STATE SENATE,4,580304.5800000001
OHIO,THOMAS E. WEST,STATE HOUSE,49,65286.45
OHIO,DANIEL P. TROY,STATE HOUSE,60,0.0
OHIO,REGGIE L. STOLTZFUS,STATE HOUSE,50,75272.04000000001
OHIO,KRISTINA DALEY ROEGNER,STATE SENATE,27,305203.42
OHIO,GARY N. CLICK,STATE HOUSE,88,219757.34999999998
OHIO,BRETT HUDSON HILLYER,STATE HOUSE,98,147900.93
OHIO,KIRK J. SCHURING,STATE SENATE,29,505102.89
OHIO,FRANK HOAGLAND,STATE SENATE,30,150227.61
OHIO,SUSAN MANCHESTER,STATE HOUSE,84,112074.68999999999
OHIO,BOB YOUNG,STATE HOUSE,36,92178.16
OHIO,JUANITA BRENT,STATE HOUSE,12,40864.71
OHIO,KRISTIN BOGGS,STATE HOUSE,18,229600.34
OHIO,BRIAN E. LAMPTON,STATE HOUSE,73,96430.26000000001
OHIO,ROBERT R. CUPP,STATE HOUSE,4,752295.18
OHIO,TAVIA GALONSKI,STATE HOUSE,35,62783.97
OHIO,BETH LISTON,STATE HOUSE,21,224511.78999999998
OHIO,RICHARD D. BROWN,STATE HOUSE,20,109117.06999999999
OHIO,DARRELL D. KICK,STATE HOUSE,70,26354.95
OHIO,MATT HUFFMAN,STATE SENATE,12,1573399.6999999997
OHIO,MARK J. ROMANCHUK,STATE SENATE,22,330854.4
OHIO,HARAZ N. GHANBARI,STATE HOUSE,3,191491.30000000002
OHIO,ADAM HOLMES,STATE HOUSE,97,71740.62
OHIO,RICK CARFAGNA,STATE HOUSE,68,262999.16
OHIO,NIRAJ J. ANTANI,STATE SENATE,6,324101.79000000004
OHIO,THOMAS HALL,STATE HOUSE,53,53361.4
OHIO,MARY LIGHTBODY,STATE HOUSE,19,149411.51
OHIO,TINA MAHARATH,STATE SENATE,3,7916.84
OHIO,KENT SMITH,STATE HOUSE,8,43363.47
OHIO,JAY HOTTINGER,STATE SENATE,31,424308.52
OHIO,ROBERT D. HACKETT,STATE SENATE,10,232622.88
OHIO,LOUIS W. BLESSING,STATE SENATE,8,188660.13999999998
OHIO,JAMES M. HOOPS,STATE HOUSE,81,81397.64
OHIO,PAUL ZELTWANGER,STATE HOUSE,54,2506.89
OHIO,TOM YOUNG,STATE HOUSE,42,88440.89
OHIO,KRIS JORDAN,STATE HOUSE,67,18292.690000000002
OHIO,MARK JOHNSON,STATE HOUSE,92,79687.68999999999
OHIO,BRIAN BALDRIDGE,STATE HOUSE,90,107888.23999999999
OHIO,CINDY ABRAMS,STATE HOUSE,29,91335.97
OHIO,MICHAEL A. RULLI,STATE SENATE,33,153019.0
OHIO,RODNEY CREECH,STATE HOUSE,43,93082.62000000001
OHIO,MICHAEL P. SHEEHY,STATE HOUSE,46,42467.66
OHIO,BRIAN S. STEWART,STATE HOUSE,78,54521.54000000001
OHIO,BRIGID KELLY,STATE HOUSE,31,31075.780000000002
OHIO,ANDREA WHITE,STATE HOUSE,41,91404.42000000001
OHIO,JENA POWELL,STATE HOUSE,80,12034.009999999998
OHIO,ALESSANDRO CUTRONA,STATE HOUSE,59,115365.01000000001
OHIO,TIMOTHY E. GINTER,STATE HOUSE,5,115434.78
OHIO,JEAN SCHMIDT,STATE HOUSE,65,65905.66
OHIO,LARRY HOUSEHOLDER,STATE HOUSE,72,2436151.95
OHIO,TERRENCE UPCHURCH,STATE HOUSE,10,47665.119999999995
OHIO,JENNIFER L. GROSS,STATE HOUSE,52,44025.950000000004
OHIO,EMILIA STRONG SYKES,STATE HOUSE,34,607422.8999999999
OHIO,DIANE V. GRENDELL,STATE HOUSE,76,0.0
OHIO,BRIDE ROSE SWEENEY,STATE HOUSE,14,38531.93
OHIO,SCOTT LIPPS,STATE HOUSE,62,110876.51999999999
OHIO,TERESA M. FEDOR,STATE SENATE,11,122798.82
OHIO,JON CROSS,STATE HOUSE,83,0.0
OHIO,BILL DEAN,STATE HOUSE,74,3645.06
OHIO,VERNON L. SYKES,STATE SENATE,28,116321.81999999999
OHIO,ANDREW O. BRENNER,STATE SENATE,19,114154.43999999999
OHIO,WILLIAM F. REINEKE,STATE SENATE,26,475129.57
OHIO,SEDRICK DENSON,STATE HOUSE,33,28247.57
OHIO,ROBERT MCCOLLEY,STATE SENATE,1,323888.77999999997
OHIO,JAY EDWARDS,STATE HOUSE,94,835325.57
OHIO,MICHAEL J. SKINDELL,STATE HOUSE,13,30234.730000000003
