STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
OREGON,JAMI J. CATE,STATE HOUSE,17,MEDIA & ADS,75994.27
OREGON,JAMI J. CATE,STATE HOUSE,17,PRINTING,37329.02
OREGON,JAMI J. CATE,STATE HOUSE,17,GENERAL OPERATIONS & SUPPLIES,9890.87
OREGON,JAMI J. CATE,STATE HOUSE,17,REIMBURSEMENT,7825.3099999999995
OREGON,JAMI J. CATE,STATE HOUSE,17,DIGITAL ADVERTISING,2859.95
OREGON,JAMI J. CATE,STATE HOUSE,17,POLLING & RESEARCH,2744.0
OREGON,JAMI J. CATE,STATE HOUSE,17,TRAVEL & LODGING,2614.98
OREGON,JAMI J. CATE,STATE HOUSE,17,CANDIDATE FILING & BALLOT FEES,1500.0
OREGON,JAMI J. CATE,STATE HOUSE,17,CONTRIBUTION & DONATION,1000.0
OREGON,JAMI J. CATE,STATE HOUSE,17,"PR, COMMUNICATIONS, & MARKETING",650.0
OREGON,BRIAN L. CLEM,STATE HOUSE,21,CAMPAIGN CONSULTING,51700.0
OREGON,BRIAN L. CLEM,STATE HOUSE,21,POLITICAL FUNDS & GROUPS,35000.0
OREGON,BRIAN L. CLEM,STATE HOUSE,21,EVENT EXPENSES,7307.11
OREGON,BRIAN L. CLEM,STATE HOUSE,21,CONTRIBUTION & DONATION,7250.0
OREGON,BRIAN L. CLEM,STATE HOUSE,21,GENERAL OPERATIONS & SUPPLIES,5811.33
OREGON,BRIAN L. CLEM,STATE HOUSE,21,MEDIA & ADS,5327.3099999999995
OREGON,BRIAN L. CLEM,STATE HOUSE,21,MEALS & CATERING,3415.1100000000006
OREGON,BRIAN L. CLEM,STATE HOUSE,21,TRAVEL & LODGING,2043.84
OREGON,BRIAN L. CLEM,STATE HOUSE,21,OFFICE EXPENSES,968.61
OREGON,BRIAN L. CLEM,STATE HOUSE,21,SHIPPING & POSTAGE,578.0
OREGON,FRED FRANK GIROD,STATE SENATE,9,CONTRIBUTION & DONATION,709000.0
OREGON,FRED FRANK GIROD,STATE SENATE,9,"PR, COMMUNICATIONS, & MARKETING",13896.3
OREGON,FRED FRANK GIROD,STATE SENATE,9,SHIPPING & POSTAGE,4763.9
OREGON,FRED FRANK GIROD,STATE SENATE,9,REIMBURSEMENT,4483.59
OREGON,FRED FRANK GIROD,STATE SENATE,9,TRAVEL & LODGING,4386.87
OREGON,FRED FRANK GIROD,STATE SENATE,9,GENERAL OPERATIONS & SUPPLIES,2275.18
OREGON,FRED FRANK GIROD,STATE SENATE,9,MEDIA & ADS,1910.5
OREGON,FRED FRANK GIROD,STATE SENATE,9,EVENT EXPENSES,1861.0
OREGON,FRED FRANK GIROD,STATE SENATE,9,MEALS & CATERING,700.0
OREGON,FRED FRANK GIROD,STATE SENATE,9,CREDIT CARD PROCESSING FEES,443.16
OREGON,KATE BROWN,GOVERNOR,,MEDIA & ADS,9771066.870000001
OREGON,KATE BROWN,GOVERNOR,,POLITICAL FUNDS & GROUPS,2055000.0
