STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
OREGON,JAMI J. CATE,STATE HOUSE,17,143631.94
OREGON,BRIAN L. CLEM,STATE HOUSE,21,120196.75
OREGON,FRED FRANK GIROD,STATE SENATE,9,744515.5
OREGON,KATE BROWN,GOVERNOR,,16477955.039999997
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,466689.68
OREGON,CEDRIC ROSS HAYDEN,STATE HOUSE,7,138047.44
OREGON,CHARLES D. RILEY,STATE SENATE,15,134970.93999999997
OREGON,SUSAN L. MCLAIN,STATE HOUSE,29,52926.079999999994
OREGON,RICHARD S. ANDERSON,STATE SENATE,5,870084.74
OREGON,KARIN POWER,STATE HOUSE,41,103264.43
OREGON,WLNSVEY E. CAMPOS,STATE HOUSE,28,106667.61000000002
OREGON,ERIC WERNER RESCHKE,STATE HOUSE,56,0.0
OREGON,RACHEL PRUSAK,STATE HOUSE,37,276703.32
OREGON,TAWNA SANCHEZ,STATE HOUSE,43,31561.11
OREGON,BARBARA LEVY,STATE HOUSE,58,119085.51
OREGON,KATHLEEN TAYLOR,STATE SENATE,21,72370.50000000001
OREGON,LISA REYNOLDS,STATE HOUSE,36,198218.68
OREGON,ELIZABETH STEINER HAYWARD,STATE SENATE,17,152095.24
OREGON,JOSEPH JACK ZIKA,STATE HOUSE,53,181043.85000000003
OREGON,LEE L. BEYER,STATE SENATE,6,199647.09000000003
OREGON,CHRISTINE DRAZAN,STATE HOUSE,39,1013248.44
OREGON,ELIZABETH K. JOHNSON,STATE SENATE,16,0.0
OREGON,MICHAEL JEFF REARDON,STATE HOUSE,48,62103.899999999994
OREGON,SHELLY BOSHART DAVIS,STATE HOUSE,15,334834.87999999995
OREGON,MARK OWENS,STATE HOUSE,60,89434.04
OREGON,BARBARA SMITH WARNER,STATE HOUSE,45,0.0
OREGON,LEW FREDERICK,STATE SENATE,22,96571.04000000001
OREGON,WILLIAM S. HANSELL,STATE SENATE,29,241158.24
OREGON,KATE LIEBER,STATE SENATE,14,218728.07
OREGON,SHERI L. SCHOUTEN,STATE HOUSE,27,57455.67999999999
OREGON,KAYSE M. JAMA,STATE SENATE,24,38067.869999999995
OREGON,BRADLEY K. WITT,STATE HOUSE,31,290008.63
OREGON,DAVID GOMBERG,STATE HOUSE,10,55684.329999999994
OREGON,ROBERT WAGNER,STATE SENATE,19,138202.59999999998
OREGON,MARK W. MEEK,STATE HOUSE,40,118885.41
OREGON,MICHAEL J. NEARMAN,STATE HOUSE,23,34005.81
OREGON,JOHN D. LIVELY,STATE HOUSE,12,57003.53
OREGON,JAMES I. MANNING,STATE SENATE,7,127478.25
OREGON,PETER C. COURTNEY,STATE SENATE,11,536968.05
OREGON,RICK LEWIS,STATE HOUSE,18,51450.810000000005
OREGON,ANNA K. WILLIAMS,STATE HOUSE,52,316665.04
OREGON,COURTNEY B. NERON,STATE HOUSE,26,196314.03999999998
OREGON,DEBORAH L. PATTERSON,STATE SENATE,10,511465.9
OREGON,ROB A. NOSSE,STATE HOUSE,42,277875.01
OREGON,RAQUEL C. MOORE-GREEN,STATE HOUSE,19,359552.1099999999
OREGON,TINA KOTEK,STATE HOUSE,44,526758.0499999999
OREGON,KIMBERLY D. WALLAN,STATE HOUSE,6,113823.18000000001
OREGON,ZACHARY T. HUDSON,STATE HOUSE,49,26899.709999999995
OREGON,PAM J. MARSH,STATE HOUSE,5,95286.11000000002
OREGON,DUANE A. STARK,STATE HOUSE,4,134768.72000000003
OREGON,LYNN P. FINDLEY,STATE SENATE,30,222939.36000000002
OREGON,PAUL R. HOLVEY,STATE HOUSE,8,119168.04000000001
OREGON,KIM THATCHER,STATE SENATE,13,194559.94999999998
OREGON,DANIEL A. RAYFIELD,STATE HOUSE,16,324992.36
OREGON,TIM KNOPP,STATE SENATE,27,1373662.0899999999
OREGON,DACIA J. GRAYBER,STATE HOUSE,35,110603.23999999999
OREGON,JEFFREY S. GOLDEN,STATE SENATE,3,139010.22999999998
OREGON,CHRISTOPHER S. GORSEK,STATE SENATE,25,204625.74000000005
OREGON,MAXINE E. DEXTER,STATE HOUSE,33,259935.23
OREGON,SARA A. GELSER,STATE SENATE,8,102838.18
OREGON,DENNIS B. LINTHICUM,STATE SENATE,28,171257.53
OREGON,ARTHUR B. ROBINSON,STATE SENATE,2,343171.92999999993
OREGON,TERESA ALONSO LEON,STATE HOUSE,22,94968.01000000001
OREGON,SUZANNE WEBER,STATE HOUSE,32,562959.86
OREGON,PAUL L. EVANS,STATE HOUSE,20,378181.21
OREGON,VIKKI BREESE-IVERSON,STATE HOUSE,55,199817.69
OREGON,MARSHALL L. WILDE,STATE HOUSE,11,178309.45
OREGON,GARY L. LEIF,STATE HOUSE,2,65285.33
OREGON,JASON S. KROPF,STATE HOUSE,54,228837.34
OREGON,DALLAS L. HEARD,STATE SENATE,1,244718.88999999998
OREGON,LILY MORGAN,STATE HOUSE,3,81494.59999999999
OREGON,JANELLE S. BYNUM,STATE HOUSE,51,128864.39
OREGON,RONALD H. NOBLE,STATE HOUSE,24,270976.04000000004
OREGON,KENNETH D. HELM,STATE HOUSE,34,57681.37
OREGON,DAVID BROCK SMITH,STATE HOUSE,1,141533.96
OREGON,CHARLES WILLIAM THOMSEN,STATE SENATE,26,554052.26
OREGON,NANCY L. NATHANSON,STATE HOUSE,13,155318.82
OREGON,ANDREA VALDERRAMA,STATE HOUSE,47,268.96000000000004
OREGON,JANEEN A. SOLLMAN,STATE HOUSE,30,74977.93999999999
OREGON,GINNY BURDICK,STATE SENATE,18,256903.75999999998
OREGON,JULIANNE FAHEY,STATE HOUSE,14,98806.34000000001
