STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,MEDIA & ADS,65603.84999999999
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,CAMPAIGN CONSULTING,35610.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,POLLING & RESEARCH,9300.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,SALARY & PAYROLL,5625.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,UTILITIES,4750.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,GENERAL OPERATIONS & SUPPLIES,3760.4299999999994
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,CONTRIBUTION & DONATION,3005.23
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,PRINTING,2240.6400000000003
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,CAMPAIGN SIGNS & PARAPHERNALIA,2100.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,OFFICE EXPENSES,1948.55
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,CONTRIBUTION & DONATION,18450.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,MEDIA & ADS,11037.119999999999
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,TRAVEL & LODGING,3439.5
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,EVENT EXPENSES,1300.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,MEALS & CATERING,1069.6599999999999
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,PRINTING,359.5
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,OFFICE EXPENSES,210.23
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,CAMPAIGN SIGNS & PARAPHERNALIA,125.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,0,0.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,0,0.0
TENNESSEE,RON TRAVIS,STATE HOUSE,31,GENERAL OPERATIONS & SUPPLIES,20733.02
TENNESSEE,RON TRAVIS,STATE HOUSE,31,TRAVEL & LODGING,12761.640000000003
TENNESSEE,RON TRAVIS,STATE HOUSE,31,CREDIT CARD PAYMENT & BANK FEES,6872.24
TENNESSEE,RON TRAVIS,STATE HOUSE,31,CONTRIBUTION & DONATION,5718.6900000000005
TENNESSEE,RON TRAVIS,STATE HOUSE,31,MEDIA & ADS,5564.79
TENNESSEE,RON TRAVIS,STATE HOUSE,31,POLITICAL FUNDS & GROUPS,5000.0
TENNESSEE,RON TRAVIS,STATE HOUSE,31,MEALS & CATERING,4909.48
TENNESSEE,RON TRAVIS,STATE HOUSE,31,EVENT EXPENSES,1672.0
TENNESSEE,RON TRAVIS,STATE HOUSE,31,UTILITIES,1508.46
TENNESSEE,RON TRAVIS,STATE HOUSE,31,INSURANCE,1447.22
TENNESSEE,RUSTY CROWE,STATE SENATE,3,MEALS & CATERING,5633.6900000000005
TENNESSEE,RUSTY CROWE,STATE SENATE,3,CONTRIBUTION & DONATION,3220.0
TENNESSEE,RUSTY CROWE,STATE SENATE,3,MEDIA & ADS,1039.5
TENNESSEE,RUSTY CROWE,STATE SENATE,3,SOFTWARE & TECHNOLOGY,865.02
TENNESSEE,RUSTY CROWE,STATE SENATE,3,UTILITIES,703.68
TENNESSEE,RUSTY CROWE,STATE SENATE,3,GENERAL OPERATIONS & SUPPLIES,474.14
TENNESSEE,RUSTY CROWE,STATE SENATE,3,PRINTING,471.08
TENNESSEE,RUSTY CROWE,STATE SENATE,3,SALARY & PAYROLL,316.16
TENNESSEE,RUSTY CROWE,STATE SENATE,3,CAMPAIGN SIGNS & PARAPHERNALIA,104.03
TENNESSEE,RUSTY CROWE,STATE SENATE,3,0,0.0
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,PRINTING,26905.620000000003
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,CANVASSING & FIELD WORK,10000.0
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,"PR, COMMUNICATIONS, & MARKETING",10000.0
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,GENERAL OPERATIONS & SUPPLIES,7837.68
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,MEDIA & ADS,4492.8
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,UTILITIES,2000.0
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,MEALS & CATERING,1599.87
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,POLLING & RESEARCH,1485.0
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,CREDIT CARD PROCESSING FEES,1007.6999999999999
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,EVENT EXPENSES,1000.0
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,SALARY & PAYROLL,30759.85
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,FUNDRAISING & FUNDRAISING CONSULTING,28854.0
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,SOFTWARE & TECHNOLOGY,7920.0
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,CREDIT CARD PROCESSING FEES,6318.5599999999995
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,"PR, COMMUNICATIONS, & MARKETING",5000.0
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,PRINTING,3670.8
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,GENERAL OPERATIONS & SUPPLIES,1475.0
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,OFFICE EXPENSES,1343.03
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,CONTRIBUTION & DONATION,900.0
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,SHIPPING & POSTAGE,488.0
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,CONTRIBUTION & DONATION,8675.0
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,GENERAL OPERATIONS & SUPPLIES,5803.700000000001
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,MEALS & CATERING,3393.0899999999997
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,EVENT EXPENSES,2200.0
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,PRINTING,1000.0
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,TRAVEL & LODGING,894.9000000000001
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,MEDIA & ADS,180.0
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,SHIPPING & POSTAGE,55.0
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,0,0.0
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,0,0.0
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,CONTRIBUTION & DONATION,4708.0
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,MEDIA & ADS,1267.62
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,MEALS & CATERING,745.63
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,CAMPAIGN SIGNS & PARAPHERNALIA,500.0
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,PRINTING,400.0
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,TRAVEL & LODGING,200.0
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,EVENT EXPENSES,100.0
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,OFFICE EXPENSES,68.83
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,0,0.0
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,0,0.0
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,GENERAL OPERATIONS & SUPPLIES,11000.0
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,SOFTWARE & TECHNOLOGY,4080.0
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,CONTRIBUTION & DONATION,1500.0
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,DIRECT MAIL,640.0
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,CANVASSING & FIELD WORK,250.0
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,WEBSITE SERVICES,105.0
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,0,0.0
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,0,0.0
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,0,0.0
