STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,142180.38
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,35991.01
TENNESSEE,RON TRAVIS,STATE HOUSE,31,70072.16
TENNESSEE,RUSTY CROWE,STATE SENATE,3,12827.3
TENNESSEE,EDDIE MANNIS,STATE HOUSE,18,66708.03
TENNESSEE,BOB FREEMAN,STATE HOUSE,56,87262.83
TENNESSEE,CURTIS G. JOHNSON,STATE HOUSE,68,22201.690000000002
TENNESSEE,JOHN D. RAGAN,STATE HOUSE,33,7990.08
TENNESSEE,JOHN RAY CLEMMONS,STATE HOUSE,55,17575.0
TENNESSEE,PAUL SHERRELL,STATE HOUSE,43,28176.410000000003
TENNESSEE,FERRELL HAILE,STATE SENATE,18,35179.78999999999
TENNESSEE,MIKE CARTER,STATE HOUSE,29,6643.22
TENNESSEE,KAREN D. CAMPER,STATE HOUSE,87,33606.36
TENNESSEE,DENNIS H. POWERS,STATE HOUSE,36,48711.93
TENNESSEE,YUSUF A. HAKEEM,STATE HOUSE,28,4124.19
TENNESSEE,JAY D. REEDY,STATE HOUSE,74,21643.489999999998
TENNESSEE,JEROME MOON,STATE HOUSE,8,9184.7
TENNESSEE,DWAYNE THOMPSON,STATE HOUSE,96,3042.02
TENNESSEE,SUSAN M. LYNN,STATE HOUSE,57,4444.4400000000005
TENNESSEE,BRANDON OGLES,STATE HOUSE,61,10130.35
TENNESSEE,JOHNNY C. GARRETT,STATE HOUSE,45,22648.11
TENNESSEE,KEN YAGER,STATE SENATE,12,85322.47
TENNESSEE,KIRK HASTON,STATE HOUSE,72,45256.46
TENNESSEE,DAVID B. HAWK,STATE HOUSE,5,43077.76
TENNESSEE,JAMES R. MCNALLY,LIEUTENANT GOVERNOR,,37057.08
TENNESSEE,SARA KYLE,STATE SENATE,30,56103.85
TENNESSEE,TIM RUDD,STATE HOUSE,34,21885.05
TENNESSEE,MIKE BELL,STATE SENATE,9,63935.100000000006
TENNESSEE,SCOTT E. CEPICKY,STATE HOUSE,64,30041.699999999997
TENNESSEE,PAT MARSH,STATE HOUSE,62,33920.68
TENNESSEE,VINCENT B. DIXIE,STATE HOUSE,54,34745.99
TENNESSEE,TERRI LYNN WEAVER,STATE HOUSE,40,16015.989999999998
TENNESSEE,HEIDI CAMPBELL,STATE SENATE,20,237789.48
TENNESSEE,JOHN STEVENS,STATE SENATE,24,50878.679999999986
TENNESSEE,TODD GARDENHIRE,STATE SENATE,10,250998.45
TENNESSEE,BRYAN TERRY,STATE HOUSE,48,18987.19
TENNESSEE,TANDY DARBY,STATE HOUSE,76,32335.8
TENNESSEE,MARK COCHRAN,STATE HOUSE,23,9039.64
TENNESSEE,JOE TOWNS,STATE HOUSE,84,1230.26
TENNESSEE,JON C. LUNDBERG,STATE SENATE,4,75967.28
TENNESSEE,JACK C. JOHNSON,STATE SENATE,23,69367.02
TENNESSEE,RYAN WILLIAMS,STATE HOUSE,42,142069.13999999998
TENNESSEE,GARY W. HICKS,STATE HOUSE,9,37072.56
TENNESSEE,MARK PODY,STATE SENATE,17,59238.469999999994
TENNESSEE,CURTIS HALFORD,STATE HOUSE,79,61593.18999999999
TENNESSEE,JOHN B. HOLSCLAW,STATE HOUSE,4,50934.51
TENNESSEE,MARK HALL,STATE HOUSE,24,20837.57
TENNESSEE,CARSON BECK,STATE HOUSE,51,0.0
TENNESSEE,SAM WHITSON,STATE HOUSE,65,43850.01000000001
TENNESSEE,DAVE WRIGHT,STATE HOUSE,19,2931.88
TENNESSEE,CHRIS TODD,STATE HOUSE,73,24766.82
TENNESSEE,CHRIS HURT,STATE HOUSE,82,29470.83
TENNESSEE,CHARLIE BAUM,STATE HOUSE,37,6567.79
TENNESSEE,BARBARA WARD COOPER,STATE HOUSE,86,21221.0
TENNESSEE,SABI KUMAR,STATE HOUSE,66,0.0
TENNESSEE,CAMERON SEXTON,STATE HOUSE,25,203720.66999999998
TENNESSEE,KATRINA ROBINSON,STATE SENATE,33,10623.060000000001
TENNESSEE,HAROLD M. LOVE,STATE HOUSE,58,12869.269999999999
TENNESSEE,TODD WARNER,STATE HOUSE,92,126996.67
TENNESSEE,LOWELL RUSSELL,STATE HOUSE,21,29004.16
TENNESSEE,JUSTIN LAFFERTY,STATE HOUSE,89,2551.0
TENNESSEE,BILL LEE,GOVERNOR,,4700103.869999999
TENNESSEE,ANTONIO PARKINSON,STATE HOUSE,98,11287.829999999998
TENNESSEE,CLARK BOYD,STATE HOUSE,46,38203.06
TENNESSEE,ROBERT L. RAMSEY,STATE HOUSE,20,0.0
TENNESSEE,DALE CARR,STATE HOUSE,12,32190.219999999998
TENNESSEE,MICHELE CARRINGER,STATE HOUSE,16,45493.61
TENNESSEE,JESSE CHISM,STATE HOUSE,85,28344.850000000002
TENNESSEE,BECKY DUNCAN MASSEY,STATE SENATE,6,56421.899999999994
TENNESSEE,PAUL ROSE,STATE SENATE,32,450615.39
TENNESSEE,CHARLES HULSEY,STATE HOUSE,2,17746.21
TENNESSEE,JOHN MARK WINDLE,STATE HOUSE,41,0.0
TENNESSEE,MIKE SPARKS,STATE HOUSE,49,15658.0
TENNESSEE,JOHN GILLESPIE,STATE HOUSE,97,99101.65999999999
TENNESSEE,ED JACKSON,STATE SENATE,27,8840.189999999999
TENNESSEE,FRANK S. NICELEY,STATE SENATE,8,35437.21
TENNESSEE,DAVID BYRD,STATE HOUSE,71,41792.91
TENNESSEE,SCOTTY CAMPBELL,STATE HOUSE,3,50127.340000000004
TENNESSEE,BO MITCHELL,STATE HOUSE,50,21079.230000000003
TENNESSEE,KERRY E. ROBERTS,STATE SENATE,25,21412.89
TENNESSEE,ROBIN SMITH,STATE HOUSE,26,91127.39
TENNESSEE,BRIAN KELSEY,STATE SENATE,31,65017.6
TENNESSEE,MARY LITTLETON,STATE HOUSE,78,60421.46
TENNESSEE,DARREN S. JERNIGAN,STATE HOUSE,60,86643.48
TENNESSEE,BILL POWERS,STATE SENATE,22,324777.2
TENNESSEE,MICHAEL G. CURCIO,STATE HOUSE,69,86597.49
TENNESSEE,IRIS RUDDER,STATE HOUSE,39,4913.6
TENNESSEE,RUSTY GRILLS,STATE HOUSE,77,111028.7
TENNESSEE,JANICE H. BOWLING,STATE SENATE,16,29688.82
TENNESSEE,JERRY SEXTON,STATE HOUSE,35,30738.440000000002
TENNESSEE,RICHARD BRIGGS,STATE SENATE,7,26983.34
TENNESSEE,SHANE REEVES,STATE SENATE,14,70403.09
TENNESSEE,PAUL BAILEY,STATE SENATE,15,20366.85
TENNESSEE,CLAY DOGGETT,STATE HOUSE,70,15998.099999999999
TENNESSEE,BRENDA GILMORE,STATE SENATE,19,20830.9
TENNESSEE,PAGE WALLEY,STATE SENATE,26,124717.41
TENNESSEE,B. RUSH BRICKEN,STATE HOUSE,47,11475.64
TENNESSEE,JEREMY FAISON,STATE HOUSE,11,75283.12
TENNESSEE,DEBRA MOODY,STATE HOUSE,81,13351.130000000001
TENNESSEE,TORREY HARRIS,STATE HOUSE,90,24762.600000000002
TENNESSEE,PATSY HAZLEWOOD,STATE HOUSE,27,44426.130000000005
TENNESSEE,JASON POWELL,STATE HOUSE,53,7133.13
TENNESSEE,JOHN K. CRAWFORD,STATE HOUSE,1,5012.08
TENNESSEE,RON M. GANT,STATE HOUSE,94,53286.990000000005
TENNESSEE,REBECCA KEEFAUVER ALEXANDER,STATE HOUSE,7,86230.12
TENNESSEE,TIM HICKS,STATE HOUSE,6,93673.81
TENNESSEE,KELLY T. KEISLING,STATE HOUSE,38,62742.8
TENNESSEE,JOEY HENSLEY,STATE SENATE,28,16804.46
TENNESSEE,STEVE SOUTHERLAND,STATE SENATE,1,11970.04
TENNESSEE,TOM LEATHERWOOD,STATE HOUSE,99,79093.80000000002
TENNESSEE,DAN HOWELL,STATE HOUSE,22,36577.159999999996
TENNESSEE,SAMUEL MCKENZIE,STATE HOUSE,15,7676.639999999999
TENNESSEE,BO WATSON,STATE SENATE,11,29436.210000000003
TENNESSEE,JASON POTTS,STATE HOUSE,59,3455.93
TENNESSEE,JOHNNY W. SHAW,STATE HOUSE,80,12330.539999999999
TENNESSEE,BRUCE I. GRIFFEY,STATE HOUSE,75,14538.11
TENNESSEE,KEVIN VAUGHAN,STATE HOUSE,95,30333.909999999996
TENNESSEE,LARRY J. MILLER,STATE HOUSE,88,16891.32
TENNESSEE,LONDON P. LAMAR,STATE HOUSE,91,7089.9
TENNESSEE,RAUMESH AKBARI,STATE SENATE,29,0.0
TENNESSEE,JEFF YARBRO,STATE SENATE,21,20468.1
TENNESSEE,RICK ELDRIDGE,STATE HOUSE,10,13423.99
TENNESSEE,G. A. HARDAWAY,STATE HOUSE,93,327.74
TENNESSEE,JASON HODGES,STATE HOUSE,67,10373.689999999997
TENNESSEE,JASON ZACHARY,STATE HOUSE,14,27663.679999999997
TENNESSEE,KENT CALFEE,STATE HOUSE,32,55269.509999999995
TENNESSEE,GLEN CASADA,STATE HOUSE,63,116014.79
TENNESSEE,GLORIA JOHNSON,STATE HOUSE,13,39607.11
TENNESSEE,ART SWANN,STATE SENATE,2,0.0
TENNESSEE,ESTHER HELTON,STATE HOUSE,30,9692.859999999999
TENNESSEE,WILLIAM G. LAMBERTH,STATE HOUSE,44,65813.53
TENNESSEE,MARK WHITE,STATE HOUSE,83,82631.66
TENNESSEE,DAWN WHITE,STATE SENATE,13,12122.17
