STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
TEXAS,TAN PARKER,STATE HOUSE,63,SALARY & PAYROLL,3926.11
TEXAS,TAN PARKER,STATE HOUSE,63,CONTRIBUTION & DONATION,3340.0
TEXAS,TAN PARKER,STATE HOUSE,63,GENERAL OPERATIONS & SUPPLIES,3271.0599999999995
TEXAS,TAN PARKER,STATE HOUSE,63,"PR, COMMUNICATIONS, & MARKETING",3000.0
TEXAS,TAN PARKER,STATE HOUSE,63,OFFICE EXPENSES,2337.36
TEXAS,TAN PARKER,STATE HOUSE,63,LEGAL SERVICES,1975.0
TEXAS,TAN PARKER,STATE HOUSE,63,MEDIA & ADS,1665.0
TEXAS,TAN PARKER,STATE HOUSE,63,MEALS & CATERING,1422.73
TEXAS,TAN PARKER,STATE HOUSE,63,EVENT EXPENSES,1125.0
TEXAS,TAN PARKER,STATE HOUSE,63,SHIPPING & POSTAGE,283.65999999999997
TEXAS,YVONNE DAVIS,STATE HOUSE,111,OFFICE EXPENSES,36595.909999999996
TEXAS,YVONNE DAVIS,STATE HOUSE,111,SALARY & PAYROLL,36445.799999999996
TEXAS,YVONNE DAVIS,STATE HOUSE,111,MEALS & CATERING,23569.31
TEXAS,YVONNE DAVIS,STATE HOUSE,111,CONTRIBUTION & DONATION,20510.6
TEXAS,YVONNE DAVIS,STATE HOUSE,111,ACCOUNTING & FINANCIAL MANAGEMENT,12412.869999999999
TEXAS,YVONNE DAVIS,STATE HOUSE,111,SOFTWARE & TECHNOLOGY,7336.910000000001
TEXAS,YVONNE DAVIS,STATE HOUSE,111,GENERAL OPERATIONS & SUPPLIES,7037.05
TEXAS,YVONNE DAVIS,STATE HOUSE,111,PRINTING,6718.9400000000005
TEXAS,YVONNE DAVIS,STATE HOUSE,111,CREDIT CARD PROCESSING FEES,6434.84
TEXAS,YVONNE DAVIS,STATE HOUSE,111,EVENT EXPENSES,5930.0
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,OFFICE EXPENSES,76751.31
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,CREDIT CARD PROCESSING FEES,12909.519999999999
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,TRAVEL & LODGING,11189.4
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,CONTRIBUTION & DONATION,4208.9400000000005
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,GENERAL OPERATIONS & SUPPLIES,4023.8
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,UTILITIES,2555.33
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,CAMPAIGN SIGNS & PARAPHERNALIA,1229.2
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,CANVASSING & FIELD WORK,1100.0
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,CREDIT CARD PAYMENT & BANK FEES,1017.7099999999998
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,PRINTING,846.87
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,CONTRIBUTION & DONATION,86705.34
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,SHIPPING & POSTAGE,22597.28
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,GENERAL OPERATIONS & SUPPLIES,19010.89
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,PRINTING,15352.1
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,TRAVEL & LODGING,11485.89
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,EVENT EXPENSES,9600.18
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,CAMPAIGN SIGNS & PARAPHERNALIA,6115.76
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,OFFICE EXPENSES,5535.55
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,MEDIA & ADS,5117.0
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,MEALS & CATERING,3930.29
TEXAS,GREG BONNEN,STATE HOUSE,24,CAMPAIGN CONSULTING,65728.56
TEXAS,GREG BONNEN,STATE HOUSE,24,CONTRIBUTION & DONATION,56221.58
TEXAS,GREG BONNEN,STATE HOUSE,24,SALARY & PAYROLL,34115.0
TEXAS,GREG BONNEN,STATE HOUSE,24,POLITICAL FUNDS & GROUPS,26734.27
TEXAS,GREG BONNEN,STATE HOUSE,24,OFFICE EXPENSES,22505.440000000002
TEXAS,GREG BONNEN,STATE HOUSE,24,PRINTING,22033.010000000002
TEXAS,GREG BONNEN,STATE HOUSE,24,MEALS & CATERING,11557.87
TEXAS,GREG BONNEN,STATE HOUSE,24,CAMPAIGN SIGNS & PARAPHERNALIA,11012.69
TEXAS,GREG BONNEN,STATE HOUSE,24,GENERAL OPERATIONS & SUPPLIES,7053.54
TEXAS,GREG BONNEN,STATE HOUSE,24,DIGITAL ADVERTISING,6129.029999999999
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,PRINTING,58228.46
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,CONTRIBUTION & DONATION,38950.0
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,TRAVEL & LODGING,36598.64
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,CREDIT CARD PROCESSING FEES,12827.48
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,OFFICE EXPENSES,5882.950000000001
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,SALARY & PAYROLL,5660.0
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,MEDIA & ADS,5533.0
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,EVENT EXPENSES,4470.0
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,UTILITIES,4088.3500000000004
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,CANVASSING & FIELD WORK,3861.8100000000004
TEXAS,TONI ROSE,STATE HOUSE,110,TRAVEL & LODGING,50587.270000000004
TEXAS,TONI ROSE,STATE HOUSE,110,CONTRIBUTION & DONATION,16586.059999999998
TEXAS,TONI ROSE,STATE HOUSE,110,GENERAL OPERATIONS & SUPPLIES,15786.790000000003
TEXAS,TONI ROSE,STATE HOUSE,110,MEALS & CATERING,7121.050000000001
TEXAS,TONI ROSE,STATE HOUSE,110,INSURANCE,6817.1
TEXAS,TONI ROSE,STATE HOUSE,110,EVENT EXPENSES,6540.08
TEXAS,TONI ROSE,STATE HOUSE,110,CAMPAIGN CONSULTING,6500.0
TEXAS,TONI ROSE,STATE HOUSE,110,OFFICE EXPENSES,6242.9299999999985
TEXAS,TONI ROSE,STATE HOUSE,110,PRINTING,6149.89
TEXAS,TONI ROSE,STATE HOUSE,110,SHIPPING & POSTAGE,4603.050000000001
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,CONTRIBUTION & DONATION,497032.88
TEXAS,CHRIS TURNER,STATE HOUSE,101,CREDIT CARD PROCESSING FEES,192223.49999999997
TEXAS,CHRIS TURNER,STATE HOUSE,101,FUNDRAISING & FUNDRAISING CONSULTING,63000.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,SALARY & PAYROLL,59838.58
TEXAS,CHRIS TURNER,STATE HOUSE,101,LEGAL SERVICES,49354.53
TEXAS,CHRIS TURNER,STATE HOUSE,101,TRAVEL & LODGING,29601.499999999996
TEXAS,CHRIS TURNER,STATE HOUSE,101,PRINTING,21213.159999999996
TEXAS,CHRIS TURNER,STATE HOUSE,101,OFFICE EXPENSES,20496.169999999995
TEXAS,CHRIS TURNER,STATE HOUSE,101,CANVASSING & FIELD WORK,17300.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,GENERAL OPERATIONS & SUPPLIES,13308.07
TEXAS,KEITH BELL,STATE HOUSE,4,0,0.0
TEXAS,KEITH BELL,STATE HOUSE,4,0,0.0
TEXAS,KEITH BELL,STATE HOUSE,4,0,0.0
TEXAS,KEITH BELL,STATE HOUSE,4,0,0.0
TEXAS,KEITH BELL,STATE HOUSE,4,0,0.0
TEXAS,KEITH BELL,STATE HOUSE,4,0,0.0
TEXAS,KEITH BELL,STATE HOUSE,4,0,0.0
TEXAS,KEITH BELL,STATE HOUSE,4,0,0.0
