STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
TEXAS,TAN PARKER,STATE HOUSE,63,22430.920000000002
TEXAS,YVONNE DAVIS,STATE HOUSE,111,169165.32
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,117870.06999999999
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,203756.66
TEXAS,GREG BONNEN,STATE HOUSE,24,285535.37
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,192307.24
TEXAS,TONI ROSE,STATE HOUSE,110,151283.24
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,1054764.6900000002
TEXAS,KEITH BELL,STATE HOUSE,4,0.0
TEXAS,GINA HINOJOSA,STATE HOUSE,49,169799.72000000003
TEXAS,ARMANDO MARTINEZ,STATE HOUSE,39,252454.44
TEXAS,ANN JOHNSON,STATE HOUSE,134,1448420.77
TEXAS,SHAWN NICOLE THIERRY,STATE HOUSE,146,48204.369999999995
TEXAS,RAY LOPEZ,STATE HOUSE,125,296613.26
TEXAS,BARBARA GERVIN-HAWKINS,STATE HOUSE,120,93238.62
TEXAS,GLENN ROGERS,STATE HOUSE,60,765293.1699999999
TEXAS,DAVID SPILLER,STATE HOUSE,68,181404.37999999998
TEXAS,LEO PACHECO,STATE HOUSE,118,135544.7
TEXAS,JACEY JETTON,STATE HOUSE,26,595230.1799999999
TEXAS,GARY VANDEAVER,STATE HOUSE,1,80991.32999999999
TEXAS,GEANIE W. MORRISON,STATE HOUSE,30,370110.73
TEXAS,RAMON ROMERO,STATE HOUSE,90,254759.39
TEXAS,JULIE JOHNSON,STATE HOUSE,115,435423.03
TEXAS,MATT SCHAEFER,STATE HOUSE,6,92827.68
TEXAS,DONNA SUE CAMPBELL,STATE SENATE,25,0.0
TEXAS,JAY DEAN,STATE HOUSE,7,149788.85
TEXAS,SARAH ECKHARDT,STATE SENATE,14,521260.31
TEXAS,JEFF LEACH,STATE HOUSE,67,1265298.6600000001
TEXAS,JAMES D. TALARICO,STATE HOUSE,52,621231.1399999999
TEXAS,LACEY HULL,STATE HOUSE,138,424232.83999999997
TEXAS,CAROL ALVARADO,STATE SENATE,6,200352.68000000002
TEXAS,ANA-MARIA RAMOS,STATE HOUSE,102,229295.43
TEXAS,KELLY HANCOCK,STATE SENATE,9,0.0
TEXAS,PHIL S. KING,STATE HOUSE,61,0.0
TEXAS,DEWAYNE BURNS,STATE HOUSE,58,140666.49
TEXAS,DANIEL G. HUBERTY,STATE HOUSE,127,0.0
TEXAS,JOSÉ MENÉNDEZ,STATE SENATE,26,395566.69999999995
TEXAS,JON E. ROSENTHAL,STATE HOUSE,135,530013.36
