STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
UTAH,BRAD WILSON,STATE HOUSE,15,ACCOUNTING & FINANCIAL MANAGEMENT,123338.73
UTAH,BRAD WILSON,STATE HOUSE,15,BALANCE TRANSFER,118338.73
UTAH,BRAD WILSON,STATE HOUSE,15,GENERAL OPERATIONS & SUPPLIES,74049.06
UTAH,BRAD WILSON,STATE HOUSE,15,CONTRIBUTION & DONATION,37417.15
UTAH,BRAD WILSON,STATE HOUSE,15,POLITICAL FUNDS & GROUPS,27034.71
UTAH,BRAD WILSON,STATE HOUSE,15,TRAVEL & LODGING,13335.79
UTAH,BRAD WILSON,STATE HOUSE,15,EVENT EXPENSES,10050.75
UTAH,BRAD WILSON,STATE HOUSE,15,DIRECT MAIL,9979.15
UTAH,BRAD WILSON,STATE HOUSE,15,CAMPAIGN CONSULTING,7755.72
UTAH,BRAD WILSON,STATE HOUSE,15,SOFTWARE & TECHNOLOGY,5933.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,GENERAL OPERATIONS & SUPPLIES,2821.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,POLITICAL FUNDS & GROUPS,2457.06
UTAH,ADAM ROBERTSON,STATE HOUSE,63,CANVASSING & FIELD WORK,2456.2999999999997
UTAH,ADAM ROBERTSON,STATE HOUSE,63,POLLING & RESEARCH,1711.43
UTAH,ADAM ROBERTSON,STATE HOUSE,63,CONTRIBUTION & DONATION,1100.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,UTILITIES,800.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,MEDIA & ADS,700.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,PRINTING,550.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,ACCOUNTING & FINANCIAL MANAGEMENT,494.89
UTAH,ADAM ROBERTSON,STATE HOUSE,63,BALANCE TRANSFER,494.89
UTAH,SPENCER J. COX,GOVERNOR,,GENERAL OPERATIONS & SUPPLIES,3356718.51
UTAH,SPENCER J. COX,GOVERNOR,,MEDIA & ADS,2213683.26
UTAH,SPENCER J. COX,GOVERNOR,,ACCOUNTING & FINANCIAL MANAGEMENT,1093561.09
UTAH,SPENCER J. COX,GOVERNOR,,BALANCE TRANSFER,891010.77
UTAH,SPENCER J. COX,GOVERNOR,,POLITICAL FUNDS & GROUPS,489474.37000000005
UTAH,SPENCER J. COX,GOVERNOR,,CONTRIBUTION & DONATION,354391.19999999995
UTAH,SPENCER J. COX,GOVERNOR,,SALARY & PAYROLL,348662.33999999997
UTAH,SPENCER J. COX,GOVERNOR,,EVENT EXPENSES,220971.04999999996
UTAH,SPENCER J. COX,GOVERNOR,,CAMPAIGN SIGNS & PARAPHERNALIA,169692.99999999997
UTAH,SPENCER J. COX,GOVERNOR,,TRAVEL & LODGING,153464.07
UTAH,ANGELA ROMERO,STATE HOUSE,26,CONTRIBUTION & DONATION,13214.750000000002
UTAH,ANGELA ROMERO,STATE HOUSE,26,ACCOUNTING & FINANCIAL MANAGEMENT,11553.33
UTAH,ANGELA ROMERO,STATE HOUSE,26,BALANCE TRANSFER,11553.33
UTAH,ANGELA ROMERO,STATE HOUSE,26,GENERAL OPERATIONS & SUPPLIES,9181.220000000001
UTAH,ANGELA ROMERO,STATE HOUSE,26,POLITICAL FUNDS & GROUPS,2982.06
UTAH,ANGELA ROMERO,STATE HOUSE,26,UTILITIES,1550.0
UTAH,ANGELA ROMERO,STATE HOUSE,26,PRINTING,1450.0
UTAH,ANGELA ROMERO,STATE HOUSE,26,MEALS & CATERING,1423.76
UTAH,ANGELA ROMERO,STATE HOUSE,26,EVENT EXPENSES,867.01
UTAH,ANGELA ROMERO,STATE HOUSE,26,SOFTWARE & TECHNOLOGY,700.0
UTAH,STEVE WALDRIP,STATE HOUSE,8,GENERAL OPERATIONS & SUPPLIES,23454.31
UTAH,STEVE WALDRIP,STATE HOUSE,8,POLITICAL FUNDS & GROUPS,20177.08
UTAH,STEVE WALDRIP,STATE HOUSE,8,CAMPAIGN CONSULTING,19762.510000000002
UTAH,STEVE WALDRIP,STATE HOUSE,8,CONTRIBUTION & DONATION,9491.98
UTAH,STEVE WALDRIP,STATE HOUSE,8,CANVASSING & FIELD WORK,6694.74
UTAH,STEVE WALDRIP,STATE HOUSE,8,CREDIT CARD PAYMENT & BANK FEES,5250.0
UTAH,STEVE WALDRIP,STATE HOUSE,8,ACCOUNTING & FINANCIAL MANAGEMENT,5028.54
UTAH,STEVE WALDRIP,STATE HOUSE,8,BALANCE TRANSFER,4728.54
UTAH,STEVE WALDRIP,STATE HOUSE,8,PRINTING,4252.49
UTAH,STEVE WALDRIP,STATE HOUSE,8,EVENT EXPENSES,3633.75
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,POLITICAL FUNDS & GROUPS,27462.91
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,GENERAL OPERATIONS & SUPPLIES,18734.159999999996
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,CONTRIBUTION & DONATION,5500.0
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,FUEL & GAS,5395.96
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,ACCOUNTING & FINANCIAL MANAGEMENT,4271.38
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,BALANCE TRANSFER,4271.38
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,SHIPPING & POSTAGE,3952.74
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,TRAVEL & LODGING,3144.06
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,SOFTWARE & TECHNOLOGY,2283.65
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,MEDIA & ADS,1996.46
UTAH,WALT BROOKS,STATE HOUSE,75,GENERAL OPERATIONS & SUPPLIES,8075.78
UTAH,WALT BROOKS,STATE HOUSE,75,CONTRIBUTION & DONATION,2693.48
UTAH,WALT BROOKS,STATE HOUSE,75,ACCOUNTING & FINANCIAL MANAGEMENT,2596.92
UTAH,WALT BROOKS,STATE HOUSE,75,BALANCE TRANSFER,2596.92
UTAH,WALT BROOKS,STATE HOUSE,75,CAMPAIGN SIGNS & PARAPHERNALIA,2434.2
UTAH,WALT BROOKS,STATE HOUSE,75,TRAVEL & LODGING,2388.3300000000004
UTAH,WALT BROOKS,STATE HOUSE,75,PRINTING,2380.75
UTAH,WALT BROOKS,STATE HOUSE,75,POLITICAL FUNDS & GROUPS,2225.0
UTAH,WALT BROOKS,STATE HOUSE,75,UTILITIES,1800.0
UTAH,WALT BROOKS,STATE HOUSE,75,MEDIA & ADS,1250.0
UTAH,DANIEL W. THATCHER,STATE SENATE,12,GENERAL OPERATIONS & SUPPLIES,33069.67
UTAH,DANIEL W. THATCHER,STATE SENATE,12,CAMPAIGN SIGNS & PARAPHERNALIA,20450.909999999996
UTAH,DANIEL W. THATCHER,STATE SENATE,12,BALANCE TRANSFER,19180.26
UTAH,DANIEL W. THATCHER,STATE SENATE,12,POLITICAL FUNDS & GROUPS,18744.97
UTAH,DANIEL W. THATCHER,STATE SENATE,12,MEDIA & ADS,8859.789999999999
UTAH,DANIEL W. THATCHER,STATE SENATE,12,TRAVEL & LODGING,7820.74
UTAH,DANIEL W. THATCHER,STATE SENATE,12,MEALS & CATERING,3906.4099999999994
UTAH,DANIEL W. THATCHER,STATE SENATE,12,CONTRIBUTION & DONATION,3820.0
UTAH,DANIEL W. THATCHER,STATE SENATE,12,FUEL & GAS,2989.1800000000003
UTAH,DANIEL W. THATCHER,STATE SENATE,12,PRINTING,2753.15
UTAH,STEVE CHRISTIANSEN,STATE HOUSE,47,GENERAL OPERATIONS & SUPPLIES,39488.19
UTAH,STEVE CHRISTIANSEN,STATE HOUSE,47,POLITICAL FUNDS & GROUPS,25311.690000000002
UTAH,STEVE CHRISTIANSEN,STATE HOUSE,47,MEDIA & ADS,17410.97
UTAH,STEVE CHRISTIANSEN,STATE HOUSE,47,CAMPAIGN CONSULTING,17396.51
