STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
UTAH,BRAD WILSON,STATE HOUSE,15,466450.43000000005
UTAH,ADAM ROBERTSON,STATE HOUSE,63,14302.59
UTAH,SPENCER J. COX,GOVERNOR,,10339272.67
UTAH,ANGELA ROMERO,STATE HOUSE,26,58781.840000000004
UTAH,STEVE WALDRIP,STATE HOUSE,8,110799.52
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,85657.22
UTAH,WALT BROOKS,STATE HOUSE,75,32073.979999999996
UTAH,DANIEL W. THATCHER,STATE SENATE,12,129355.24
UTAH,STEVE CHRISTIANSEN,STATE HOUSE,47,120536.63
UTAH,JEFF STENQUIST,STATE HOUSE,51,55013.0
UTAH,MATT GWYNN,STATE HOUSE,29,23240.64
UTAH,KAREN KWAN,STATE HOUSE,34,105236.55
UTAH,NORM K. THURSTON,STATE HOUSE,64,57861.65
UTAH,REX P. SHIPP,STATE HOUSE,72,23275.14
UTAH,JERRY W. STEVENSON,STATE SENATE,21,246534.36
UTAH,ANDREW STODDARD,STATE HOUSE,44,49031.31999999999
UTAH,JOHN D. JOHNSON,STATE SENATE,19,270530.77
UTAH,MIKE SCHULTZ,STATE HOUSE,12,215377.24
UTAH,CLARE COLLARD,STATE HOUSE,22,120336.01
UTAH,NELSON ABBOTT,STATE HOUSE,60,44082.219999999994
UTAH,DOUG OWENS,STATE HOUSE,36,247124.72999999998
UTAH,SUSAN PULSIPHER,STATE HOUSE,50,36057.49999999999
UTAH,TODD WEILER,STATE SENATE,23,219065.81999999998
UTAH,CARL R. ALBRECHT,STATE HOUSE,70,80474.40999999997
UTAH,TIMOTHY D. HAWKES,STATE HOUSE,18,139181.14
UTAH,F. ANN MILLNER,STATE SENATE,18,430119.62
UTAH,CHERYL K. ACTON,STATE HOUSE,43,67787.9
UTAH,GENE DAVIS,STATE SENATE,3,349866.42999999993
UTAH,CHRISTINE F. WATKINS,STATE HOUSE,69,31065.95
UTAH,CRAIG HALL,STATE HOUSE,33,257217.96000000002
UTAH,JANI IWAMOTO,STATE SENATE,4,181678.95
UTAH,STEPHEN G. HANDY,STATE HOUSE,16,73126.81999999998
UTAH,STEWART E. BARLOW,STATE HOUSE,17,149535.2
UTAH,PHIL LYMAN,STATE HOUSE,73,37470.5
UTAH,DANIEL MCCAY,STATE SENATE,11,223398.72
UTAH,RAYMOND WARD,STATE HOUSE,19,69033.33
UTAH,GAY LYNN BENNION,STATE HOUSE,46,78947.33000000002
UTAH,CURTIS S. BRAMBLE,STATE SENATE,16,361468.82000000007
UTAH,CALVIN R. MUSSELMAN,STATE HOUSE,9,154355.29
UTAH,CASEY SNIDER,STATE HOUSE,5,42823.89
UTAH,JOEL K. BRISCOE,STATE HOUSE,25,55496.26
UTAH,DERRIN R. OWENS,STATE SENATE,24,75251.06
UTAH,JAMES DUNNIGAN,STATE HOUSE,39,520142.29
UTAH,CHRIS H. WILSON,STATE SENATE,25,254041.65
UTAH,DAN N. JOHNSON,STATE HOUSE,4,49222.07
UTAH,KELLY B. MILES,STATE HOUSE,11,184755.65
UTAH,GREGG BUXTON,STATE SENATE,20,0.0
UTAH,MARK A. STRONG,STATE HOUSE,41,33185.55
UTAH,V. LOWRY SNOW,STATE HOUSE,74,67117.0
UTAH,CANDICE PIERUCCI,STATE HOUSE,52,0.0
UTAH,ELIZABETH WEIGHT,STATE HOUSE,31,37899.86
UTAH,DAVID PARLEY HINKINS,STATE SENATE,27,116107.98
UTAH,FRANCIS D. GIBSON,STATE HOUSE,65,348012.87
UTAH,SANDRA HOLLINS,STATE HOUSE,23,16027.25
UTAH,BRIAN S. KING,STATE HOUSE,28,145221.06999999998
UTAH,MERRILL F. NELSON,STATE HOUSE,68,46443.560000000005
UTAH,SUZANNE HARRISON,STATE HOUSE,32,218394.19
UTAH,DOUG WELTON,STATE HOUSE,67,6325.43
UTAH,LINCOLN FILLMORE,STATE SENATE,10,346783.88
UTAH,JEN DAILEY-PROVOST,STATE HOUSE,24,46565.76
UTAH,STEPHANIE PITCHER,STATE HOUSE,40,16857.84
UTAH,JOEL FERRY,STATE HOUSE,1,104197.71999999999
UTAH,KIRK A. CULLIMORE,STATE SENATE,9,104134.5
UTAH,KEVEN J. STRATTON,STATE HOUSE,48,219838.0
UTAH,MARSHA JUDKINS,STATE HOUSE,61,58446.76000000001
UTAH,MIKE K. MCKELL,STATE SENATE,7,141835.46
UTAH,CAROL SPACKMAN MOSS,STATE HOUSE,37,119819.17
UTAH,PAUL RAY,STATE HOUSE,13,81781.94
UTAH,KEITH GROVER,STATE SENATE,15,341476.11
UTAH,MELISSA GARFF BALLARD,STATE HOUSE,20,64557.89
UTAH,JEFFERSON S. BURTON,STATE HOUSE,66,48878.25
UTAH,BRADLEY G. LAST,STATE HOUSE,71,204276.28999999998
UTAH,MARK A. WHEATLEY,STATE HOUSE,35,27758.91
UTAH,WAYNE A. HARPER,STATE SENATE,6,164535.13
UTAH,KAREN MAYNE,STATE SENATE,5,497791.36
