STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,SALARY & PAYROLL,3500.0
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,PRINTING,3418.7300000000005
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,SHIPPING & POSTAGE,1873.67
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,MEDIA & ADS,1256.3
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,SOFTWARE & TECHNOLOGY,1077.4
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,GENERAL OPERATIONS & SUPPLIES,676.44
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,CREDIT CARD PROCESSING FEES,378.07000000000005
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,CAMPAIGN SIGNS & PARAPHERNALIA,332.45
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,OFFICE EXPENSES,207.38
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,WEBSITE SERVICES,132.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,MEDIA & ADS,18310.35
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,MEALS & CATERING,1200.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,PRINTING,307.13
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,GENERAL OPERATIONS & SUPPLIES,200.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,CREDIT CARD PAYMENT & BANK FEES,4.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,0,0.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,0,0.0
