STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,13064.029999999999
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,20021.480000000003
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,3135.34
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,1926.1100000000001
VERMONT,PHILLIP B. SCOTT,GOVERNOR,,331882.49
VERMONT,EMMA MULVANEY-STANAK,STATE HOUSE,CHITTENDEN-6-2,10332.34
VERMONT,KEVIN B. CHRISTIE,STATE HOUSE,WINDSOR-4-2,1950.0
VERMONT,ROBERT G. HELM,STATE HOUSE,RUTLAND-3,0.0
VERMONT,RICHARD T. MAZZA,STATE SENATE,GRAND ISLE,0.0
VERMONT,MICHAEL L. YANTACHKA,STATE HOUSE,CHITTENDEN-4-1,528.8299999999999
VERMONT,RANDOLPH D. BROCK,STATE SENATE,FRANKLIN,8217.33
VERMONT,CHRISTOPHER MATTOS,STATE HOUSE,CHITTENDEN-10,1862.05
VERMONT,MARY A. MORRISSEY,STATE HOUSE,BENNINGTON-2-2,0.0
VERMONT,BRIAN CINA,STATE HOUSE,CHITTENDEN-6-4,425.25
VERMONT,ROBERT HOOPER,STATE HOUSE,CHITTENDEN-6-1,832.1500000000001
VERMONT,MOLLIE S. BURKE,STATE HOUSE,WINDHAM-2-2,0.0
VERMONT,JOHN O'BRIEN,STATE HOUSE,WINDSOR-ORANGE-1,834.96
VERMONT,JAY HOOPER,STATE HOUSE,ORANGE-WASHINGTON-ADDISON,0.0
VERMONT,KENNETH W. GOSLANT,STATE HOUSE,WASHINGTON-1,5145.43
VERMONT,JAMES GREGOIRE,STATE HOUSE,FRANKLIN-6,2671.5899999999997
VERMONT,ALICE W. NITKA,STATE SENATE,WINDSOR,7006.220000000001
VERMONT,KIMBERLY JESSUP,STATE HOUSE,WASHINGTON-5,1454.1299999999999
VERMONT,JILL L. KROWINSKI,STATE HOUSE,CHITTENDEN-6-3,481.4
VERMONT,MICHAEL SIROTKIN,STATE SENATE,CHITTENDEN,15395.05
VERMONT,KATHLEEN JAMES,STATE HOUSE,BENNINGTON-4,10453.33
VERMONT,WOODMAN H. PAGE,STATE HOUSE,ORLEANS-2,0.0
VERMONT,SCOTT BECK,STATE HOUSE,CALEDONIA-3,3596.8500000000004
VERMONT,JANE M. KITCHEL,STATE SENATE,CALEDONIA,2382.05
VERMONT,SETH BONGARTZ,STATE HOUSE,BENNINGTON-4,9793.45
VERMONT,MATT BIRONG,STATE HOUSE,ADDISON-3,5971.45
VERMONT,PETER CONLON,STATE HOUSE,ADDISON-2,0.0
VERMONT,SARAH AUSTIN,STATE HOUSE,CHITTENDEN-9-2,3011.1899999999996
VERMONT,LELAND J. MORGAN,STATE HOUSE,GRAND ISLE-CHITTENDEN,8390.119999999999
VERMONT,CHARLES H. SHAW,STATE HOUSE,RUTLAND-6,4146.1
VERMONT,SELENE COLBURN,STATE HOUSE,CHITTENDEN-6-4,701.08
VERMONT,TIFF BLUEMLE,STATE HOUSE,CHITTENDEN-6-5,18178.95
VERMONT,JOHN L. BARTHOLOMEW,STATE HOUSE,WINDSOR-1,1822.3300000000002
VERMONT,ALYSSA HUGHES BLACK,STATE HOUSE,CHITTENDEN-8-3,7656.06
VERMONT,SARAH L. COPELAND-HANZAS,STATE HOUSE,ORANGE-2,5368.86
VERMONT,WILLIAM J. LIPPERT,STATE HOUSE,CHITTENDEN-4-2,4270.16
VERMONT,THOMAS S. STEVENS,STATE HOUSE,WASHINGTON-CHITTENDEN,4344.38
VERMONT,TERRI LYNN WILLIAMS,STATE HOUSE,ESSEX-CALEDONIA,1628.26
VERMONT,VIRGINIA V. LYONS,STATE SENATE,CHITTENDEN,6618.75
VERMONT,KATE DONNALLY,STATE HOUSE,LAMOILLE-2,11965.210000000001
VERMONT,AVRAM PATT,STATE HOUSE,LAMOILLE-WASHINGTON,4911.1900000000005
VERMONT,CHRISTOPHER A. PEARSON,STATE SENATE,CHITTENDEN,14072.0
VERMONT,TIMOTHY R. CORCORAN,STATE HOUSE,BENNINGTON-2-1,0.0
VERMONT,LORI HOUGHTON,STATE HOUSE,CHITTENDEN-8-2,3500.16
VERMONT,MARK A. HIGLEY,STATE HOUSE,ORLEANS-LAMOILLE,320.0
VERMONT,JAMES M. MCCULLOUGH,STATE HOUSE,CHITTENDEN-2,4106.75
VERMONT,SETH CHASE,STATE HOUSE,CHITTENDEN-9-1,0.0
VERMONT,PETER J. FAGAN,STATE HOUSE,RUTLAND-5-1,2347.8
VERMONT,PETER D. ANTHONY,STATE HOUSE,WASHINGTON-3,4910.57
VERMONT,FRANCIS MATTHEW MCFAUN,STATE HOUSE,WASHINGTON-2,52.0
VERMONT,JESSICA COMAI BRUMSTED,STATE HOUSE,CHITTENDEN-5-2,1268.96
VERMONT,SCOTT CAMPBELL,STATE HOUSE,CALEDONIA-3,10777.969999999998
VERMONT,THOMAS A. BOCK,STATE HOUSE,WINDSOR-3-1,1300.0
VERMONT,EMILIE KORNHEISER,STATE HOUSE,WINDHAM-2-1,2879.9399999999996
VERMONT,JANET ANCEL,STATE HOUSE,WASHINGTON-6,500.0
VERMONT,TIM BRIGLIN,STATE HOUSE,WINDSOR-ORANGE-2,850.0
VERMONT,ALISON HUDNUT CLARKSON,STATE SENATE,WINDSOR,16640.730000000003
VERMONT,DAVID K. DURFEE,STATE HOUSE,BENNINGTON-3,1420.5300000000002
VERMONT,CURTIS A. MCCORMACK,STATE HOUSE,CHITTENDEN-6-3,110.0
VERMONT,CAROL ODE,STATE HOUSE,CHITTENDEN-6-1,2737.41
VERMONT,MARTIN LALONDE,STATE HOUSE,CHITTENDEN-7-1,457.40999999999997
VERMONT,RICHARD J. MCCORMACK,STATE SENATE,WINDSOR,4239.16
VERMONT,SALLY ACHEY,STATE HOUSE,RUTLAND-BENNINGTON,9959.27
VERMONT,CASEY J. TOOF,STATE HOUSE,FRANKLIN-3-1,7044.86
VERMONT,JANA BROWN,STATE HOUSE,CHITTENDEN-1,3978.7299999999996
VERMONT,DAVID W. YACOVONE,STATE HOUSE,LAMOILLE-WASHINGTON,6998.5
VERMONT,KIRK WHITE,STATE HOUSE,WINDSOR-RUTLAND,9256.6
VERMONT,HEATHER SURPRENANT,STATE HOUSE,WINDSOR-4-1,1737.8600000000001
VERMONT,EMILY J. LONG,STATE HOUSE,WINDHAM-5,0.0
VERMONT,PAUL MARTIN,STATE HOUSE,FRANKLIN-5,3492.4
VERMONT,HENRY PEARL,STATE HOUSE,CALEDONIA-WASHINGTON,3715.2599999999998
VERMONT,MICHAEL NIGRO,STATE HOUSE,BENNINGTON-2-2,2064.46
VERMONT,WARREN FREDERICK KITZMILLER,STATE HOUSE,WASHINGTON-4,0.0
VERMONT,RICHARD W. SEARS,STATE SENATE,BENNINGTON,6818.99
VERMONT,GABRIELLE STEBBINS,STATE HOUSE,CHITTENDEN-6-5,8735.58
VERMONT,FELISHA LEFFLER,STATE HOUSE,FRANKLIN-7,4880.96
VERMONT,BRIAN COLLAMORE,STATE SENATE,RUTLAND,6141.25
VERMONT,JEANETTE K. WHITE,STATE SENATE,WINDHAM,1080.0
VERMONT,LESLIE GOLDMAN,STATE HOUSE,WINDHAM-3,7958.459999999999
VERMONT,KRISTI MORRIS,STATE HOUSE,WINDSOR-3-2,1795.2700000000002
VERMONT,MICHAEL D. MCCARTHY,STATE HOUSE,FRANKLIN-3-1,5836.73
VERMONT,JOSEPH TROIANO,STATE HOUSE,CALEDONIA-2,5930.789999999999
VERMONT,MARK A. MACDONALD,STATE SENATE,ORANGE,5386.85
VERMONT,MARYBETH CHRISTIE REDMOND,STATE HOUSE,CHITTENDEN-8-1,11722.970000000001
VERMONT,MARTHA A. FELTUS,STATE HOUSE,CALEDONIA-4,520.7
VERMONT,THOMAS B. BURDITT,STATE HOUSE,RUTLAND-2,0.0
VERMONT,KELLY MACLAURY PAJALA,STATE HOUSE,WINDHAM-BENNINGTON-WINDSOR,2957.09
VERMONT,LOGAN NICOLL,STATE HOUSE,RUTLAND-WINDSOR-2,701.69
VERMONT,THOMAS P. TERENZINI,STATE HOUSE,RUTLAND-4,3588.7
VERMONT,CHRISTOPHER A. BRAY,STATE SENATE,ADDISON,2487.5
VERMONT,MICHAEL MROWICKI,STATE HOUSE,WINDHAM-4,3690.1
VERMONT,ERIN BRADY,STATE HOUSE,CHITTENDEN-2,5620.639999999999
VERMONT,SARA COFFEY,STATE HOUSE,WINDHAM-1,4158.16
VERMONT,BARBARA RACHELSON,STATE HOUSE,CHITTENDEN-6-6,1340.4399999999998
