STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,CANVASSING & FIELD WORK,116398.51999999999
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,CONTRIBUTION & DONATION,73675.82
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,GENERAL OPERATIONS & SUPPLIES,32776.92
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,SALARY & PAYROLL,20755.51
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,POLITICAL FUNDS & GROUPS,8495.0
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,DIRECT MAIL,6930.63
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,SOFTWARE & TECHNOLOGY,5120.0
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,CREDIT CARD PROCESSING FEES,4374.25
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,POLLING & RESEARCH,3000.0
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,SHIPPING & POSTAGE,2166.4
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,POLITICAL FUNDS & GROUPS,51858.76
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,CONTRIBUTION & DONATION,47082.21000000001
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,OFFICE EXPENSES,12941.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,PRINTING,10008.93
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,TRAVEL & LODGING,8404.11
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,GENERAL OPERATIONS & SUPPLIES,7463.26
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,EVENT EXPENSES,4763.0599999999995
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,CAMPAIGN CONSULTING,4005.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,UTILITIES,3213.49
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,MEALS & CATERING,2060.86
