STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,276500.88
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,160086.41
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,34565.240000000005
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0.0
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,164245.55
VIRGINIA,JAMES E. EDMUNDS,STATE HOUSE,60,55659.91
VIRGINIA,KELLY K. CONVIRS-FOWLER,STATE HOUSE,21,407347.24999999994
VIRGINIA,JEFFREY L. CAMPBELL,STATE HOUSE,6,28531.13
VIRGINIA,SIOBHAN S. DUNNAVANT,STATE SENATE,12,1509940.0099999998
VIRGINIA,WILLIAM C. WAMPLER,STATE HOUSE,4,175015.02000000002
VIRGINIA,JOHN A. COSGROVE,STATE SENATE,14,133637.51
VIRGINIA,ISRAEL D. O'QUINN,STATE HOUSE,5,146950.43000000002
VIRGINIA,MARK H. LEVINE,STATE HOUSE,45,25559.58
VIRGINIA,JENNIFER L. MCCLELLAN,STATE SENATE,9,281550.03
VIRGINIA,RICHARD C. SULLIVAN,STATE HOUSE,48,33950.32000000001
VIRGINIA,KATHY J. BYRON,STATE HOUSE,22,246040.76
VIRGINIA,MICHAEL P. MULLIN,STATE HOUSE,93,211487.02000000002
VIRGINIA,LAMONT BAGBY,STATE HOUSE,74,137812.32
VIRGINIA,FRANK MILLER RUFF,STATE SENATE,15,166921.87
VIRGINIA,JEFFREY M. BOURNE,STATE HOUSE,71,83339.07999999999
VIRGINIA,DAVID A. REID,STATE HOUSE,32,83908.33
VIRGINIA,ALEX Q. ASKEW,STATE HOUSE,85,472255.01000000007
VIRGINIA,GEORGE L. BARKER,STATE SENATE,39,206513.05000000002
VIRGINIA,BILL WILEY,STATE HOUSE,29,0.0
VIRGINIA,LUKE E. TORIAN,STATE HOUSE,52,126751.45000000001
VIRGINIA,NANCY D. GUY,STATE HOUSE,83,531864.2400000001
VIRGINIA,ROSLYN CAIN TYLER,STATE HOUSE,75,183253.08
VIRGINIA,MARK D. OBENSHAIN,STATE SENATE,26,451187.68
VIRGINIA,JERRAULD C. JONES,STATE HOUSE,89,113077.23
VIRGINIA,DAN I. HELMER,STATE HOUSE,40,25945.39
VIRGINIA,TRAVIS HACKWORTH,STATE SENATE,38,175300.55
VIRGINIA,DAVID W. MARSDEN,STATE SENATE,37,122955.45999999999
VIRGINIA,HYLAND F. FOWLER,STATE HOUSE,55,30118.7
VIRGINIA,L. LOUISE LUCAS,STATE SENATE,18,81860.31999999999
VIRGINIA,TONY O. WILT,STATE HOUSE,26,154085.83000000002
VIRGINIA,CHARLES D. POINDEXTER,STATE HOUSE,9,50034.14
VIRGINIA,SUHAS SUBRAMANYAM,STATE HOUSE,87,183739.02000000002
VIRGINIA,ROBERT SPURGEON BLOXOM,STATE HOUSE,100,153139.86
VIRGINIA,SCOTT A. SUROVELL,STATE SENATE,36,382341.11
VIRGINIA,DAWN M. ADAMS,STATE HOUSE,68,171454.40000000002
VIRGINIA,PATRICK A. HOPE,STATE HOUSE,47,63773.020000000004
VIRGINIA,RALPH S. NORTHAM,GOVERNOR,,28941791.119999997
VIRGINIA,GWENDOLYN W. GOODITIS,STATE HOUSE,10,815229.1099999999
VIRGINIA,WILLIAM R. DESTEPH,STATE SENATE,8,637482.25
VIRGINIA,MARK L. KEAM,STATE HOUSE,35,90750.74
VIRGINIA,CARRIE EMERSON COYNER,STATE HOUSE,62,98672.98999999999
VIRGINIA,JUSTIN E. FAIRFAX,LIEUTENANT GOVERNOR,,31385.760000000002
VIRGINIA,CHRISTOPHER T. HEAD,STATE HOUSE,17,54030.26
VIRGINIA,BARRY D. KNIGHT,STATE HOUSE,81,280037.9
VIRGINIA,LYNWOOD W. LEWIS,STATE SENATE,6,211019.87
VIRGINIA,ROXANN L. ROBINSON,STATE HOUSE,27,453434.55000000005
VIRGINIA,STEPHEN D. NEWMAN,STATE SENATE,23,209326.21999999997
VIRGINIA,VIVIAN EDNA WATTS,STATE HOUSE,39,39032.09
VIRGINIA,BRYCE E. REEVES,STATE SENATE,17,605568.54
VIRGINIA,SCHUYLER T. VANVALKENBURG,STATE HOUSE,72,419571.87
VIRGINIA,CHRIS S. RUNION,STATE HOUSE,25,159728.45
VIRGINIA,RONNIE R. CAMPBELL,STATE HOUSE,24,105488.17
VIRGINIA,GHAZALA F. HASHMI,STATE SENATE,10,1433237.1099999999
VIRGINIA,JOHN CHAPMAN PETERSEN,STATE SENATE,34,333441.48000000004
VIRGINIA,EMMETT W. HANGER,STATE SENATE,24,253926.2
VIRGINIA,JANET DENISON HOWELL,STATE SENATE,32,332500.26
VIRGINIA,DON L. SCOTT,STATE HOUSE,80,52579.11
VIRGINIA,JENNIFER A. KIGGANS,STATE SENATE,7,1078975.58
VIRGINIA,EILEEN R. FILLER-CORN,STATE HOUSE,41,620387.9199999999
VIRGINIA,C. MATT FARISS,STATE HOUSE,59,58522.770000000004
VIRGINIA,NICHOLAS J. FREITAS,STATE HOUSE,30,0.0
VIRGINIA,DAVID L. BULOVA,STATE HOUSE,37,93910.03
VIRGINIA,CANDI KING,STATE HOUSE,2,93773.14
VIRGINIA,WILLIAM M. STANLEY,STATE SENATE,20,0.0
VIRGINIA,MARCUS B. SIMON,STATE HOUSE,53,84770.35
VIRGINIA,G. AVOLI,STATE HOUSE,20,39282.64
VIRGINIA,BETSY B. CARR,STATE HOUSE,69,73643.44
VIRGINIA,LARRY N. RUSH,STATE HOUSE,7,102852.33
VIRGINIA,ROBERT DICKSON ORROCK,STATE HOUSE,54,218830.77000000002
VIRGINIA,RYAN T. MCDOUGLE,STATE SENATE,4,563645.82
VIRGINIA,DANICA A. ROEM,STATE HOUSE,13,521062.67000000004
VIRGINIA,MARK L. COLE,STATE HOUSE,88,59782.14
VIRGINIA,LIONELL SPRUILL,STATE SENATE,5,128625.06
VIRGINIA,PAUL E. KRIZEK,STATE HOUSE,44,86444.74
VIRGINIA,MAMIE E. LOCKE,STATE SENATE,2,128650.9
VIRGINIA,BARBARA A. FAVOLA,STATE SENATE,31,242285.67
VIRGINIA,DAVID R. SUETTERLEIN,STATE SENATE,19,94751.04999999999
VIRGINIA,KARRIE K. DELANEY,STATE HOUSE,67,63525.15000000001
VIRGINIA,ALFONSO H. LOPEZ,STATE HOUSE,49,120197.05
VIRGINIA,GLENN R. DAVIS,STATE HOUSE,84,91332.44
VIRGINIA,R. CREIGH DEEDS,STATE SENATE,25,252596.77000000002
VIRGINIA,T. MONTGOMERY MASON,STATE SENATE,1,95030.57
VIRGINIA,ADAM P. EBBIN,STATE SENATE,30,250203.58999999997
VIRGINIA,AMANDA E. BATTEN,STATE HOUSE,96,72703.66
VIRGINIA,L. KAYE KORY,STATE HOUSE,38,71256.05
VIRGINIA,DELORES L. MCQUINN,STATE HOUSE,70,32904.76
VIRGINIA,TERRY GENE KILGORE,STATE HOUSE,1,376879.04000000004
VIRGINIA,JOHN S. EDWARDS,STATE SENATE,21,100345.23
VIRGINIA,MARCIA S. PRICE,STATE HOUSE,95,42207.63
VIRGINIA,LEE J. CARTER,STATE HOUSE,50,215409.08000000002
VIRGINIA,DANIEL W. MARSHALL,STATE HOUSE,14,163001.09
VIRGINIA,ROBERT LEE WARE,STATE HOUSE,65,6549.67
VIRGINIA,TERRY L. AUSTIN,STATE HOUSE,19,72678.47
VIRGINIA,RODNEY T. WILLETT,STATE HOUSE,73,815815.1200000001
VIRGINIA,JOHN J. BELL,STATE SENATE,13,1386260.42
VIRGINIA,JOSEPH P. MCNAMARA,STATE HOUSE,8,112469.33999999998
VIRGINIA,ELIZABETH R. GUZMAN,STATE HOUSE,31,557319.8499999999
VIRGINIA,MARGARET BEVANS RANSONE,STATE HOUSE,99,198991.8
VIRGINIA,CLINTON L. JENKINS,STATE HOUSE,76,534740.27
VIRGINIA,M. KEITH HODGES,STATE HOUSE,98,41053.53
VIRGINIA,STEPHEN E. HERETICK,STATE HOUSE,79,48410.549999999996
VIRGINIA,SALLY L. HUDSON,STATE HOUSE,57,228754.83
VIRGINIA,JEION A. WARD,STATE HOUSE,92,82835.20000000001
VIRGINIA,JEREMY S. MCPIKE,STATE SENATE,29,194048.06
VIRGINIA,AMANDA FREEMAN CHASE,STATE SENATE,11,275381.84
VIRGINIA,ANGELIA WILLIAMS GRAVES,STATE HOUSE,90,0.0
VIRGINIA,EMILY M. BREWER,STATE HOUSE,64,60387.64000000001
VIRGINIA,RICHARD H. STUART,STATE SENATE,28,381048.56
VIRGINIA,MARK J. PEAKE,STATE SENATE,22,116261.34
VIRGINIA,MARK D. SICKLES,STATE HOUSE,43,241807.78
VIRGINIA,DAVE A. LAROCK,STATE HOUSE,33,85691.09
VIRGINIA,JAMES A. LEFTWICH,STATE HOUSE,78,82952.06
VIRGINIA,IBRAHEEM S. SAMIRAH,STATE HOUSE,86,97792.64
VIRGINIA,THOMAS C. WRIGHT,STATE HOUSE,61,0.0
VIRGINIA,CHRIS L. HURST,STATE HOUSE,12,311578.66000000003
VIRGINIA,JOSHUA G. COLE,STATE HOUSE,28,439571.35000000003
VIRGINIA,LESLIE R. ADAMS,STATE HOUSE,16,46225.17999999999
VIRGINIA,ROBERT B. BELL,STATE HOUSE,58,439312.23000000004
VIRGINIA,MARVIN KIRKLAND COX,STATE HOUSE,66,1144668.6
VIRGINIA,RICHARD LAWRENCE SASLAW,STATE SENATE,35,1003139.6399999999
VIRGINIA,WENDELL S. WALKER,STATE HOUSE,23,53183.130000000005
VIRGINIA,MARTHA M. MUGLER,STATE HOUSE,91,209868.52000000002
VIRGINIA,JENNIFER BARTON BOYSKO,STATE SENATE,33,533745.68
VIRGINIA,SCOTT A. WYATT,STATE HOUSE,97,54628.33
VIRGINIA,JAMES W. MOREFIELD,STATE HOUSE,3,54681.409999999996
VIRGINIA,SHELLY A. SIMONDS,STATE HOUSE,94,601600.9900000001
VIRGINIA,JILL HOLTZMAN VOGEL,STATE SENATE,27,280554.02999999997
VIRGINIA,KATHLEEN J. MURPHY,STATE HOUSE,34,309427.65
VIRGINIA,S. RASOUL,STATE HOUSE,11,0.0
VIRGINIA,TODD E. PILLION,STATE SENATE,40,261714.21
VIRGINIA,MICHAEL J. WEBERT,STATE HOUSE,18,132737.1
VIRGINIA,THOMAS KENT NORMENT,STATE SENATE,3,1312374.17
VIRGINIA,C. TODD GILBERT,STATE HOUSE,15,538630.5399999999
VIRGINIA,JOSEPH D. MORRISSEY,STATE SENATE,16,12098.640000000001
VIRGINIA,JOHN J. MCGUIRE,STATE HOUSE,56,102875.05
VIRGINIA,KENNETH RAY PLUM,STATE HOUSE,36,78120.41
VIRGINIA,JASON S. MIYARES,STATE HOUSE,82,136437.78999999998
