STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,ACCOUNTING & FINANCIAL MANAGEMENT,288000.0
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,GENERAL OPERATIONS & SUPPLIES,3165.7799999999997
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,CANDIDATE FILING & BALLOT FEES,527.66
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,CREDIT CARD PROCESSING FEES,367.71
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,MEALS & CATERING,119.28
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,OFFICE EXPENSES,106.0
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,SHIPPING & POSTAGE,92.0
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,0,0.0
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,0,0.0
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,0,0.0
WASHINGTON,DEREK STANFORD,STATE SENATE,1,ACCOUNTING & FINANCIAL MANAGEMENT,85375.75
WASHINGTON,DEREK STANFORD,STATE SENATE,1,CAMPAIGN CONSULTING,5645.0
WASHINGTON,DEREK STANFORD,STATE SENATE,1,CONTRIBUTION & DONATION,2864.42
WASHINGTON,DEREK STANFORD,STATE SENATE,1,SOFTWARE & TECHNOLOGY,2103.83
WASHINGTON,DEREK STANFORD,STATE SENATE,1,CAMPAIGN SIGNS & PARAPHERNALIA,2000.0
WASHINGTON,DEREK STANFORD,STATE SENATE,1,SHIPPING & POSTAGE,1617.69
WASHINGTON,DEREK STANFORD,STATE SENATE,1,CANVASSING & FIELD WORK,1479.38
WASHINGTON,DEREK STANFORD,STATE SENATE,1,GENERAL OPERATIONS & SUPPLIES,1162.67
WASHINGTON,DEREK STANFORD,STATE SENATE,1,REIMBURSEMENT,1000.0
WASHINGTON,DEREK STANFORD,STATE SENATE,1,UTILITIES,822.59
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,PRINTING,57883.57
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,MEDIA & ADS,43320.93
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,GENERAL OPERATIONS & SUPPLIES,30486.25
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,CANVASSING & FIELD WORK,23684.58
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,SHIPPING & POSTAGE,18420.76
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,CONTRIBUTION & DONATION,15500.0
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,CAMPAIGN CONSULTING,15000.0
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,CAMPAIGN SIGNS & PARAPHERNALIA,13723.630000000001
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,FUNDRAISING & FUNDRAISING CONSULTING,7429.6
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,FUEL & GAS,5577.72
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,CAMPAIGN CONSULTING,26335.39
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,MEDIA & ADS,18575.13
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,GENERAL OPERATIONS & SUPPLIES,15400.5
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,FUNDRAISING & FUNDRAISING CONSULTING,11750.0
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,SHIPPING & POSTAGE,10580.78
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,PRINTING,3179.8
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,SOFTWARE & TECHNOLOGY,3075.75
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,DATA & DATABASE SERVICES,3069.3199999999997
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,CAMPAIGN SIGNS & PARAPHERNALIA,1550.0
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,CANVASSING & FIELD WORK,1047.54
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,CAMPAIGN CONSULTING,234487.17
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,SALARY & PAYROLL,38703.299999999996
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,FUNDRAISING & FUNDRAISING CONSULTING,25000.0
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,UTILITIES,9981.439999999999
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,TRAVEL & LODGING,9448.650000000001
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,CAMPAIGN SIGNS & PARAPHERNALIA,8190.0
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,POLITICAL FUNDS & GROUPS,7685.280000000001
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,CREDIT CARD PROCESSING FEES,6186.379999999999
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,MEDIA & ADS,5500.0
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,GENERAL OPERATIONS & SUPPLIES,5134.950000000001
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,MEDIA & ADS,51087.71
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,REIMBURSEMENT,41416.89
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,PRINTING,31535.960000000003
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,GENERAL OPERATIONS & SUPPLIES,31139.620000000003
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,TRAVEL & LODGING,22224.510000000002
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,FUNDRAISING & FUNDRAISING CONSULTING,22100.0
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,SALARY & PAYROLL,17555.030000000002
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,DIGITAL ADVERTISING,15422.869999999999
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,SOFTWARE & TECHNOLOGY,14884.53
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,CAMPAIGN SIGNS & PARAPHERNALIA,5828.610000000001
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,CAMPAIGN CONSULTING,229335.0
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,PRINTING,32582.690000000002
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,SALARY & PAYROLL,30289.55
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,DIRECT MAIL,11970.0
