STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,292378.42999999993
WASHINGTON,DEREK STANFORD,STATE SENATE,1,106578.38
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,247981.76
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,97282.20999999999
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,377691.89
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,273384.26
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,350481.74
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,146364.97999999998
WASHINGTON,MARKO LIIAS,STATE SENATE,21,360365.93999999994
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,225094.26
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,78615.91
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,189981.7
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,81739.78
WASHINGTON,STEVE BERGQUIST,STATE HOUSE,11 POSITION 2,143156.39000000004
WASHINGTON,CAROLYN ESLICK,STATE HOUSE,39 POSITION 2,40719.45999999999
WASHINGTON,MARY DYE,STATE HOUSE,9 POSITION 1,56610.950000000004
WASHINGTON,CHRIS GILDON,STATE SENATE,25,300984.56999999995
WASHINGTON,ED ORCUTT,STATE HOUSE,20 POSITION 2,103832.06000000001
WASHINGTON,STEVE E. CONWAY,STATE SENATE,29,113900.14
WASHINGTON,JAMILA TAYLOR,STATE HOUSE,30 POSITION 1,258461.52
WASHINGTON,DREW STOKESBARY,STATE HOUSE,31 POSITION 1,261015.83
WASHINGTON,EMILY RANDALL,STATE SENATE,26,657431.08
WASHINGTON,JIM MCCUNE,STATE SENATE,2,81671.95999999999
WASHINGTON,VANDANA SLATTER,STATE HOUSE,48 POSITION 1,98994.39
WASHINGTON,CLAIRE WILSON,STATE SENATE,30,474952.17000000004
WASHINGTON,LYNDA WILSON,STATE SENATE,17,357075.97000000003
WASHINGTON,VICKI KRAFT,STATE HOUSE,17 POSITION 1,110057.5
WASHINGTON,ANN RIVERS,STATE SENATE,18,201508.59
WASHINGTON,MONA DAS,STATE SENATE,47,354389.58
WASHINGTON,NOEL CHRISTINA FRAME,STATE HOUSE,36 POSITION 1,74401.14
WASHINGTON,ERIC E. ROBERTSON,STATE HOUSE,31 POSITION 2,116147.09
WASHINGTON,KEVIN VAN DE WEGE,STATE SENATE,24,191255.13999999996
WASHINGTON,LARRY A. HOFF,STATE HOUSE,18 POSITION 2,128222.9
WASHINGTON,JEFF HOLY,STATE SENATE,6,123343.88
WASHINGTON,KEITH L. WAGONER,STATE SENATE,39,24474.059999999998
WASHINGTON,MARK G. SCHOESLER,STATE SENATE,9,389745.60000000003
WASHINGTON,CHRIS CORRY,STATE HOUSE,14 POSITION 1,136711.24
WASHINGTON,JT WILCOX,STATE HOUSE,2 POSITION 2,346326.25
WASHINGTON,MIKE STEELE,STATE HOUSE,12 POSITION 2,0.0
WASHINGTON,ROBERT J. SUTHERLAND,STATE HOUSE,39 POSITION 1,19576.980000000003
WASHINGTON,DENNY HECK,LIEUTENANT GOVERNOR,,1115881.1099999999
WASHINGTON,TIMOTHY SHELDON,STATE SENATE,35,288100.25
WASHINGTON,SKYLER RUDE,STATE HOUSE,16 POSITION 2,84386.92
WASHINGTON,JAVIER VALDEZ,STATE HOUSE,46 POSITION 2,60840.07000000001
WASHINGTON,MIKE PADDEN,STATE SENATE,4,126120.2
WASHINGTON,MONICA JURADO STONIER,STATE HOUSE,49 POSITION 2,135965.92
WASHINGTON,JESSE JOHNSON,STATE HOUSE,30 POSITION 2,167033.13
WASHINGTON,STROM H. PETERSON,STATE HOUSE,21 POSITION 1,119817.87
WASHINGTON,DANIEL G. GRIFFEY,STATE HOUSE,35 POSITION 1,117841.07
WASHINGTON,JESSE L. YOUNG,STATE HOUSE,26 POSITION 1,237990.55000000002
WASHINGTON,RON MUZZALL,STATE SENATE,10,426072.21
WASHINGTON,BILL RAMOS,STATE HOUSE,5 POSITION 1,150377.49
WASHINGTON,PETER ABBARNO,STATE HOUSE,20 POSITION 1,87998.65
