STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,"PR, COMMUNICATIONS, & MARKETING",17391.190000000002
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,CONTRIBUTION & DONATION,9271.04
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,MEDIA & ADS,7612.5
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,GENERAL OPERATIONS & SUPPLIES,2522.75
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,FUEL & GAS,849.65
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,TRAVEL & LODGING,718.55
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,POLITICAL FUNDS & GROUPS,450.0
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,EVENT EXPENSES,250.0
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,LEGAL SERVICES,250.0
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,OFFICE EXPENSES,223.5
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,MEDIA & ADS,13108.65
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,GENERAL OPERATIONS & SUPPLIES,13107.37
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,DIRECT MAIL,5761.01
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,CONTRIBUTION & DONATION,2775.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,TRAVEL & LODGING,849.54
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,OFFICE EXPENSES,574.65
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,PRINTING,337.5
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,SHIPPING & POSTAGE,297.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,EVENT EXPENSES,120.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,CANDIDATE FILING & BALLOT FEES,100.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,MEDIA & ADS,6885.860000000001
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,DIGITAL ADVERTISING,1574.12
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,TRAVEL & LODGING,1268.98
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,OFFICE EXPENSES,100.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,SHIPPING & POSTAGE,4.19
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,0,0.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,0,0.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,0,0.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,0,0.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,0,0.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,MEDIA & ADS,76081.08
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,DIRECT MAIL,33338.3
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,CAMPAIGN CONSULTING,14800.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,DIGITAL ADVERTISING,850.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,MEALS & CATERING,728.97
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,EVENT EXPENSES,650.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,SHIPPING & POSTAGE,600.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,CREDIT CARD PROCESSING FEES,448.97
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,WEBSITE SERVICES,272.85
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,GENERAL OPERATIONS & SUPPLIES,265.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,CONTRIBUTION & DONATION,28601.56
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,MEDIA & ADS,12352.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,TRAVEL & LODGING,1000.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,GENERAL OPERATIONS & SUPPLIES,329.5
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,CANDIDATE FILING & BALLOT FEES,100.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,0,0.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,0,0.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,0,0.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,0,0.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,0,0.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,"PR, COMMUNICATIONS, & MARKETING",2169.9
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,MEDIA & ADS,600.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,WEBSITE SERVICES,305.03999999999996
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,GENERAL OPERATIONS & SUPPLIES,100.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,CREDIT CARD PROCESSING FEES,12.2
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,MEDIA & ADS,4734.09
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,TRAVEL & LODGING,1552.73
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,GENERAL OPERATIONS & SUPPLIES,638.25
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,SALARY & PAYROLL,350.0
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,WEBSITE SERVICES,280.0
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,FUNDRAISING & FUNDRAISING CONSULTING,130.32
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,MEALS & CATERING,130.05
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,EVENT EXPENSES,100.0
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,UTILITIES,100.0
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,FUEL & GAS,37.63
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,MEDIA & ADS,3405.31
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,DIGITAL ADVERTISING,1634.54
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,WEBSITE SERVICES,762.0
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,PRINTING,79.49
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,0,0.0
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,0,0.0
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,0,0.0
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,0,0.0
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,0,0.0
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,0,0.0
WEST VIRGINIA,CHARLES S. TRUMP,STATE SENATE,15,MEDIA & ADS,12137.35
WEST VIRGINIA,CHARLES S. TRUMP,STATE SENATE,15,TRAVEL & LODGING,900.0
WEST VIRGINIA,CHARLES S. TRUMP,STATE SENATE,15,SALARY & PAYROLL,100.0
