STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,39801.38
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,37040.72
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,9833.15
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,128035.17
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,42383.06
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,3187.14
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,8085.07
WEST VIRGINIA,JOHNNIE ANDREW WAMSLEY,STATE HOUSE,14,5881.34
WEST VIRGINIA,CHARLES S. TRUMP,STATE SENATE,15,13137.349999999999
WEST VIRGINIA,SHAWN LUCAS FLUHARTY,STATE HOUSE,3,37519.76
WEST VIRGINIA,FREDRIK ERIC NELSON,STATE SENATE,17,581802.73
WEST VIRGINIA,LAURA KIMBLE,STATE HOUSE,48,18526.839999999997
WEST VIRGINIA,CHAD LOVEJOY,STATE HOUSE,17,62237.7
WEST VIRGINIA,JOHN PAUL HOTT,STATE HOUSE,54,600.0
WEST VIRGINIA,MARK R. MAYNARD,STATE SENATE,6,54689.86
WEST VIRGINIA,CLAY RILEY,STATE HOUSE,48,37471.369999999995
WEST VIRGINIA,DOUGLAS JOHN SKAFF,STATE HOUSE,35,67601.13
WEST VIRGINIA,ROBERT D. BEACH,STATE SENATE,13,6659.969999999999
WEST VIRGINIA,CHANDLER SWOPE,STATE SENATE,6,17732.269999999997
WEST VIRGINIA,PATRICK RILEY MCGEEHAN,STATE HOUSE,1,0.0
WEST VIRGINIA,CALEB HANNA,STATE HOUSE,44,16051.269999999999
WEST VIRGINIA,RUPERT PHILLIPS,STATE SENATE,7,104332.73000000001
WEST VIRGINIA,DANIELLE WALKER,STATE HOUSE,51,50435.439999999995
WEST VIRGINIA,DAVID ALLEN STOVER,STATE SENATE,9,10139.029999999999
WEST VIRGINIA,PAUL ALLEN ESPINOSA,STATE HOUSE,66,59876.66
WEST VIRGINIA,CHARLES K. HORST,STATE HOUSE,62,500.0
WEST VIRGINIA,CARL STEPHEN WESTFALL,STATE HOUSE,12,30807.15
WEST VIRGINIA,DONNA JEAN BOLEY,STATE SENATE,3,6802.349999999999
WEST VIRGINIA,BARRY L. BRUCE,STATE HOUSE,42,36969.979999999996
WEST VIRGINIA,MARK PETER ZATEZALO,STATE HOUSE,1,9571.28
WEST VIRGINIA,BEN QUEEN,STATE HOUSE,48,38275.92
WEST VIRGINIA,STEPHEN BALDWIN,STATE SENATE,10,76771.54
WEST VIRGINIA,HEATHER TULLY,STATE HOUSE,41,6219.38
WEST VIRGINIA,LAWRENCE BRENT BOGGS,STATE HOUSE,34,0.0
WEST VIRGINIA,SEAN HORNBUCKLE,STATE HOUSE,16,10819.720000000001
WEST VIRGINIA,DENNIS S. KIMES,STATE HOUSE,9,0.0
WEST VIRGINIA,DANA J. FERRELL,STATE HOUSE,39,10624.11
