STATE,CANDIDATE,OFFICE,DISTRICT,CATEGORY,AMOUNT
WYOMING,SANDY NEWSOME,STATE HOUSE,24,MEDIA & ADS,5731.9400000000005
WYOMING,SANDY NEWSOME,STATE HOUSE,24,"PR, COMMUNICATIONS, & MARKETING",4646.0
WYOMING,SANDY NEWSOME,STATE HOUSE,24,PRINTING,2132.23
WYOMING,SANDY NEWSOME,STATE HOUSE,24,DIGITAL ADVERTISING,1759.1000000000001
WYOMING,SANDY NEWSOME,STATE HOUSE,24,WEBSITE SERVICES,1054.0
WYOMING,SANDY NEWSOME,STATE HOUSE,24,SHIPPING & POSTAGE,825.0
WYOMING,SANDY NEWSOME,STATE HOUSE,24,CAMPAIGN SIGNS & PARAPHERNALIA,378.56
WYOMING,SANDY NEWSOME,STATE HOUSE,24,CREDIT CARD PROCESSING FEES,76.80000000000001
WYOMING,SANDY NEWSOME,STATE HOUSE,24,0,0.0
WYOMING,SANDY NEWSOME,STATE HOUSE,24,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,DIRECT MAIL,9069.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,MEDIA & ADS,500.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,CONTRIBUTION & DONATION,800.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,DIRECT MAIL,750.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,WEBSITE SERVICES,161.16
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,MEALS & CATERING,129.5
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,POLITICAL FUNDS & GROUPS,100.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,0,0.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,0,0.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,0,0.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,0,0.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,0,0.0
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,MEDIA & ADS,2204.5
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,PRINTING,1836.9799999999998
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,SHIPPING & POSTAGE,1805.81
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,CAMPAIGN SIGNS & PARAPHERNALIA,1743.48
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,OFFICE EXPENSES,470.84
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,DIGITAL ADVERTISING,340.0
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,MEALS & CATERING,177.18
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,0,0.0
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,0,0.0
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,0,0.0
WYOMING,OCEAN ANDREW,STATE HOUSE,46,SHIPPING & POSTAGE,4447.31
WYOMING,OCEAN ANDREW,STATE HOUSE,46,CAMPAIGN SIGNS & PARAPHERNALIA,1878.83
WYOMING,OCEAN ANDREW,STATE HOUSE,46,PRINTING,1355.23
WYOMING,OCEAN ANDREW,STATE HOUSE,46,GENERAL OPERATIONS & SUPPLIES,327.79
WYOMING,OCEAN ANDREW,STATE HOUSE,46,MEDIA & ADS,312.6
WYOMING,OCEAN ANDREW,STATE HOUSE,46,WEBSITE SERVICES,224.44000000000003
